Word,Start Time,End Time,start_time_diff
hi,16.353943,16.673174,0.0
you,21.142403,21.381826,4.788460000000001
hear,21.381826,21.701057,0.2394229999999986
can,25.77125,25.930866,4.389423999999998
you,25.930866,26.09048,0.1596160000000033
hear,26.09048,26.250095,0.1596139999999977
me,26.250095,26.409712,0.15961500000000228
okay,28.73976,28.9796,2.4896649999999987
okay,34.336037,34.49593,5.596276999999997
so,34.655823,34.895664,0.31978600000000057
you,34.895664,34.97561,0.23984099999999842
wanna,34.97561,35.21545,0.07994600000000673
start,35.21545,35.45529,0.23983999999999384
okay,37.853695,38.013588,2.638245000000005
i,45.303482,45.463356,7.449787000000001
know,45.463356,45.70316,0.15987399999999496
you're,45.70316,45.783096,0.23980399999999946
a,45.783096,45.942966,0.07993600000000356
star,45.942966,46.022903,0.15986999999999796
our,46.022903,46.182774,0.07993700000000104
scientist,46.182774,46.682774,0.15987100000000254
you,47.30187,47.461742,1.119095999999999
want,47.461742,47.541676,0.15987200000000001
us,47.541676,47.781483,0.0799340000000015
about,47.781483,47.86142,0.239806999999999
a,47.86142,48.02129,0.07993700000000104
call,48.02129,48.261097,0.15986999999999796
you,48.820644,48.980515,0.799354000000001
wanna,48.980515,49.30026,0.15987099999999543
buy,49.30026,49.46013,0.3197450000000046
out,49.46013,49.699936,0.15986999999999796
okay,99.872025,100.111244,50.411894999999994
so,101.227615,101.62632,1.3555900000000065
we're,101.62632,101.94529,0.39870500000000675
excited,101.94529,102.18451,0.3189699999999931
to,102.18451,102.42373,0.2392200000000031
report,102.42373,102.66296,0.2392200000000031
you,102.66296,102.902176,0.23922999999999206
we,104.09829,104.257774,1.4353300000000075
can,104.257774,104.496994,0.15948399999999197
grant,104.496994,104.73622,0.2392200000000031
you,104.73622,105.23622,0.23922600000000216
six,105.61337,105.85259,0.8771500000000003
months,105.85259,106.35259,0.2392200000000031
of,106.41078,106.65,0.5581899999999962
paid,106.65,107.048706,0.2392200000000031
about,107.048706,107.20819,0.39870599999999
a,107.20819,107.36767,0.15948400000000618
call,107.36767,107.44741,0.15948000000000206
we,107.68663,107.76637,0.3189599999999899
would,107.76637,107.92586,0.07974000000000103
pay,107.92586,108.32456,0.15949000000000524
ten,108.32456,108.643524,0.39870000000000516
thousand,108.643524,109.12197,0.31896399999999403
per,109.44093,109.68016,0.7974059999999952
month,109.68016,109.91938,0.23923000000000627
and,110.47757,110.71679,0.7974099999999993
we,110.71679,110.876274,0.2392200000000031
can,110.876274,111.376274,0.15948399999999197
grant,111.434456,111.75342,0.5581820000000022
you,111.75342,112.231865,0.31896400000000824
maximum,112.231865,112.63057,0.47844499999999357
of,112.63057,113.10902,0.39870500000000675
twenty,113.10902,113.42798,0.47844999999999516
four,113.42798,113.82668,0.31896000000000413
months,113.82668,114.06591,0.39869999999999095
about,114.639244,114.95838,0.812564000000009
call,114.95838,115.11794,0.3191360000000003
we,116.7934,116.95297,1.83502
can,116.95297,117.11254,0.159569999999988
also,117.11254,117.35189,0.1595700000000022
talk,117.35189,117.59125,0.23935000000000173
about,117.59125,117.8306,0.2393600000000049
buying,118.94757,119.18692,1.3563199999999966
out,119.18692,119.34649,0.23935000000000173
your,119.34649,119.58584,0.1595700000000022
patent,119.58584,119.904976,0.23935000000000173
we,120.94216,121.10173,1.3563199999999966
would,121.10173,121.2613,0.1595700000000022
be,121.2613,121.42087,0.1595700000000022
willing,121.42087,121.74,0.159569999999988
to,121.74,122.218704,0.31913000000000125
have,122.218704,122.298485,0.47870400000000757
a,122.298485,122.53784,0.079780999999997
start,122.53784,122.6974,0.23935500000000332
an,123.01654,123.25589,0.47870000000000346
opening,123.25589,123.57503,0.23934999999998752
bit,123.57503,123.7346,0.3191400000000044
of,123.7346,124.2346,0.1595700000000022
two,124.77178,125.01114,1.0371800000000064
hundred,125.01114,125.25049,0.2393599999999907
and,125.25049,125.41006,0.23935000000000173
twenty,125.41006,125.72919,0.1595700000000022
thousand,125.72919,126.12811,0.31913000000000125
okay,138.45499,138.69499,12.725800000000007
so,139.415,139.915,0.9600099999999827
we,140.45499,140.69499,1.0399900000000173
support,140.69499,140.855,0.23999999999998067
yours,140.855,141.17499,0.16000999999999976
got,141.17499,141.25499,0.3199900000000184
a,141.25499,141.415,0.07999999999998408
cold,141.415,141.735,0.16000999999999976
request,141.735,142.055,0.3200000000000216
we,143.34892,143.5087,1.613919999999979
would,143.5087,143.90814,0.15978000000001202
be,143.90814,144.06792,0.39943999999999846
happy,144.06792,144.30759,0.1597799999999836
to,144.30759,144.54724,0.23967000000001804
approve,144.54724,144.86679,0.23964999999998327
the,144.86679,145.18634,0.3195500000000209
six,145.18634,145.68634,0.31954999999999245
months,145.90533,146.30478,0.7189899999999909
paid,146.30478,146.62433,0.39945000000000164
leave,146.62433,147.12433,0.31954999999999245
and,147.50308,148.00308,0.878750000000025
maximum,148.22208,148.7014,0.7189999999999941
twenty,148.7014,149.02095,0.4793200000000013
four,149.02095,149.3405,0.31954999999999245
months,149.3405,149.66005,0.31954999999999245
but,151.57736,151.73714,2.236860000000007
the,151.73714,151.89691,0.15978000000001202
rest,151.89691,151.97679,0.15976999999998043
of,151.97679,152.13657,0.07988000000000284
them,152.13657,152.37624,0.15978000000001202
months,152.37624,152.61589,0.2396699999999896
would,152.61589,152.77567,0.2396500000000117
not,152.77567,153.01534,0.1597799999999836
be,153.01534,153.17511,0.23967000000001804
paid,153.17511,153.41476,0.15976999999998043
and,154.69298,154.93263,1.5178700000000163
the,154.93263,155.01253,0.23964999999998327
university,155.01253,155.51253,0.07990000000000919
would,155.65163,155.8114,0.6391000000000133
be,155.8114,155.97118,0.15976999999998043
willing,155.97118,156.29073,0.15978000000001202
to,156.29073,156.79073,0.31954999999999245
understand,158.22499,158.385,1.9342599999999948
your,158.385,158.705,0.16000999999999976
request,158.705,158.86499,0.3200000000000216
for,158.86499,159.025,0.15998999999999342
a,159.025,159.185,0.16000999999999976
buyout,159.185,159.665,0.1599999999999966
of,159.665,159.825,0.47999999999998977
your,159.825,159.985,0.1599999999999966
patent,159.985,160.385,0.160000000000025
would,161.425,161.58499,1.4399999999999977
be,161.58499,161.745,0.15998999999999342
willing,161.745,162.065,0.16000999999999976
to,162.065,162.305,0.3199999999999932
have,162.305,162.385,0.2400000000000091
an,162.385,162.545,0.07999999999998408
opening,162.545,162.86499,0.1599999999999966
bid,162.86499,162.94499,0.3199900000000184
of,162.94499,163.425,0.07999999999998408
two,163.425,163.925,0.48001000000002136
two,164.065,164.385,0.6399999999999864
hundred,164.385,164.625,0.3199999999999932
and,164.625,164.785,0.2400000000000091
twenty,164.785,165.105,0.1599999999999966
thousand,165.105,165.50499,0.3199999999999932
okay,191.04285,191.28192,25.937849999999997
yeah,191.99915,192.23822,0.9562999999999988
we,192.47731,192.87576,0.4781600000000026
understand,192.87576,193.03516,0.3984500000000253
the,193.03516,193.11484,0.15939999999997667
importance,193.11484,193.43361,0.0796799999999962
of,193.43361,193.593,0.31877000000000066
your,193.593,193.75238,0.15939000000000192
work,193.75238,193.99146,0.15937999999999874
we,194.38992,194.5493,0.6375400000000013
would,194.5493,194.7087,0.15937999999999874
be,194.7087,194.78838,0.1594000000000051
willing,194.78838,195.02745,0.0796799999999962
to,195.02745,195.52745,0.23906999999999812
negotiate,195.665,195.90407,0.6375500000000045
and,196.06346,196.22284,0.39846000000000004
we,196.22284,196.30254,0.15937999999999874
could,196.30254,196.6213,0.07970000000000255
consider,196.6213,196.94008,0.3187599999999975
creating,196.94008,197.25883,0.31878000000000384
the,197.25883,197.41823,0.3187499999999943
offer,197.41823,197.6573,0.1594000000000051
up,197.6573,197.81668,0.23906999999999812
to,197.81668,198.27,0.15937999999999874
two,198.46906,198.70792,0.6523800000000222
hundred,198.70792,198.86717,0.2388599999999883
and,198.86717,199.10603,0.1592499999999859
seventy,199.10603,199.50414,0.23886000000001673
five,199.50414,199.74301,0.39811000000000263
which,200.53922,200.77809,1.0350799999999936
is,200.77809,200.93733,0.23886999999999148
the,200.93733,201.1762,0.15924000000001115
maximum,201.1762,201.6762,0.23886999999999148
our,201.81317,201.97241,0.6369700000000194
budget,201.97241,202.47241,0.15923999999998273
allows,202.52975,202.92787,0.5573400000000106
that,203.72409,203.88333,1.1943399999999826
would,203.88333,204.04257,0.15924000000001115
be,204.04257,204.20181,0.15924000000001115
