Word,Start Time,End Time,start_time_diff
hi,1.6387724,2.038473,0.0
good,6.75494,6.91482,5.116167600000001
to,6.91482,7.0747004,0.15987999999999936
see,7.0747004,7.2345805,0.15988040000000048
you,7.2345805,7.474401,0.15988009999999964
again,7.474401,7.634281,0.23982050000000044
okay,11.951048,12.110928,4.476647
but,13.565,13.804999,1.6139519999999994
so,13.804999,14.205,0.23999900000000096
do,14.205,14.365,0.4000009999999996
we,14.365,14.525,0.16000000000000014
do,15.485,15.6449995,1.1199999999999992
we,15.6449995,15.885,0.1599995000000014
start,15.885,16.205,0.24000049999999895
now,16.205,16.705,0.3199999999999985
or,16.765,17.265,0.5600000000000023
do,17.645,17.805,0.879999999999999
we,17.805,18.045,0.16000000000000014
take,18.045,18.285,0.240000000000002
notes,18.285,18.445,0.23999999999999844
yeah,18.845,18.925,0.5599999999999987
i'm,19.164999,19.244999,0.3199990000000028
a,19.244999,19.325,0.0799999999999983
little,19.325,19.564999,0.08000099999999932
bit,19.564999,19.965,0.23999900000000096
confused,19.965,20.205,0.4000009999999996
mh,24.365,24.685,4.399999999999999
okay,29.97697,30.136854,5.611970000000003
okay,32.215324,32.455147,2.238354000000001
okay,44.854286,44.934128,12.638962
so,45.173653,45.413174,0.31936699999999973
we,45.413174,45.493015,0.23952099999999632
should,45.493015,45.6527,0.07984100000000183
just,45.6527,45.81238,0.15968500000000319
start,45.81238,45.972065,0.1596799999999945
and,45.972065,46.211586,0.15968500000000319
then,46.211586,46.37127,0.23952099999999632
we,46.37127,46.530952,0.1596840000000057
take,46.530952,46.770477,0.15968199999999655
notes,46.770477,47.08984,0.23952500000000043
on,47.08984,47.249523,0.31936300000000273
the,47.249523,47.409206,0.15968300000000113
side,47.409206,47.56889,0.15968299999999402
okay,51.32143,51.48111,3.912224000000002
no,59.00119,59.160873,7.679760000000002
i,59.4004,59.560078,0.3992099999999965
can't,59.560078,59.799603,0.15967799999999954
see,59.799603,59.959286,0.23952500000000043
now,59.959286,60.11897,0.15968300000000113
do,134.155,134.315,74.19571400000001
you,134.315,134.555,0.1599999999999966
see,134.555,134.635,0.2400000000000091
a,134.635,134.955,0.07999999999998408
script,134.955,135.455,0.3200000000000216
or,135.515,135.675,0.5599999999999739
anything,135.675,136.175,0.160000000000025
or,136.47499,136.97499,0.7999899999999798
are,137.275,137.515,0.8000100000000145
regis,137.515,137.83499,0.23999999999998067
yeah,139.11499,139.355,1.5999900000000196
are,139.675,139.915,0.5600100000000054
regis,139.915,139.995,0.23999999999998067
just,139.995,140.37,0.0800000000000125
starting,140.56966,141.06966,0.5746599999999944
to,141.12874,141.44821,0.5590799999999945
like,141.60794,141.84755,0.47920000000002005
i,142.08714,142.167,0.47919999999999163
don't,142.167,142.32675,0.07985999999999649
know,142.32675,142.40662,0.1597500000000025
i'm,142.56635,142.64622,0.23959999999999582
a,142.64622,142.80595,0.07986999999999966
i'm,142.88582,143.04556,0.23959999999999582
a,143.04556,143.12543,0.15973999999999933
little,143.12543,143.28516,0.07986999999999966
bit,143.28516,143.6845,0.15972999999999615
confused,143.6845,143.9241,0.39934000000002357
like,144.4033,144.48317,0.7187999999999874
do,144.56305,144.72278,0.1597500000000025
we,144.72278,144.80264,0.15972999999999615
just,144.80264,144.96237,0.07985999999999649
start,144.96237,145.20198,0.15972999999999615
talking,145.20198,145.70198,0.239609999999999
or,145.84093,146.16039,0.6389499999999941
okay,150.63298,150.71284,4.7920500000000175
same,151.03232,151.51152,0.39933999999999514
because,151.51152,151.67125,0.47919999999999163
i,151.75111,151.91086,0.23959000000002106
saw,151.91086,152.07059,0.1597500000000025
the,152.07059,152.445,0.15972999999999615
like,152.7237,152.80331,0.6531099999999981
did,153.04218,153.1218,0.3184799999999939
you,153.1218,153.20142,0.07962000000000558
see,153.20142,153.36067,0.07962000000000558
they,153.36067,153.67915,0.1592499999999859
mention,153.67915,153.83841,0.3184799999999939
the,153.83841,154.07727,0.1592600000000175
script,154.07727,154.31615,0.2388599999999883
earlier,154.31615,154.63463,0.23887999999999465
but,154.79387,155.03275,0.47772000000000503
i'm,155.19199,155.2716,0.3981200000000058
not,155.2716,155.7716,0.0796100000000024
seeing,155.82896,156.06784,0.5573599999999885
that,156.06784,156.3067,0.23887999999999465
now,156.3067,156.46596,0.23886000000001673
so,156.70482,156.86406,0.3981200000000058
okay,158.61577,158.77501,1.9109499999999855
yes,166.0373,166.27658,7.42152999999999
i,166.59564,166.83493,0.5583400000000154
do,166.83493,166.99446,0.2392900000000111
so,167.23376,167.47305,0.39882999999997537
i,167.63258,167.79211,0.3988200000000006
am,167.79211,168.0314,0.15953000000001794
top,168.58975,168.82906,0.7976400000000012
ranked,168.82906,169.32906,0.23930999999998903
scientist,169.3874,169.8874,0.5583400000000154
at,169.94576,170.10529,0.5583599999999933
the,170.10529,170.26482,0.1595299999999895
university,170.26482,170.76482,0.1595299999999895
and,171.62082,172.12082,1.356000000000023
i've,172.49823,172.65776,0.8774099999999976
been,172.65776,172.89705,0.1595299999999895
working,172.89705,173.29588,0.2392900000000111
non,173.29588,173.61493,0.3988300000000038
nonstop,173.61493,173.77446,0.31904999999997585
i,174.01376,174.1733,0.3988300000000038
work,174.1733,174.57211,0.1595400000000211
fourteen,174.57211,174.97093,0.39880999999999744
hour,174.97093,175.29,0.3988200000000006
days,175.29,175.60905,0.3190699999999822
and,176.32693,176.72575,1.0369300000000123
it's,176.72575,176.88528,0.3988200000000006
very,176.88528,177.12459,0.1595299999999895
difficult,177.12459,177.60316,0.23931000000001745
for,177.60316,177.84247,0.4785699999999906
me,177.84247,178.16153,0.23930999999998903
to,178.16153,178.66153,0.31906000000000745
be,179.29237,179.45168,1.1308400000000063
able,179.45168,179.69063,0.15931000000000495
to,179.69063,179.77026,0.23894999999998845
do,179.77026,180.00922,0.07963000000000875
my,180.00922,180.32782,0.23895999999999162
research,180.32782,180.56676,0.31860000000000355
now,180.56676,180.88536,0.23893999999998528
just,180.88536,181.20395,0.31860000000000355
because,181.20395,181.36325,0.3185900000000004
i'm,181.4429,181.68185,0.23895000000001687
so,181.68185,181.84114,0.23894999999998845
burnt,181.84114,182.0801,0.1592899999999986
out,182.0801,182.3987,0.23895999999999162
all,182.3987,182.47835,0.31860000000000355
the,182.47835,182.71729,0.0796500000000151
time,182.71729,182.95624,0.23893999999998528
my,183.43413,183.75273,0.716840000000019
assistants,183.75273,184.25273,0.31860000000000355
are,184.31027,184.54922,0.5575399999999888
feeling,184.54922,184.78816,0.23894999999998845
the,184.78816,185.02711,0.2389400000000137
same,185.02711,185.26605,0.23894999999998845
thing,185.26605,185.58466,0.2389400000000137
in,185.58466,185.74396,0.3186100000000067
the,185.74396,185.90326,0.15929999999997335
lab,185.90326,186.22185,0.15930000000000177
they,186.54045,186.77939,0.6371900000000039
never,186.77939,187.09799,0.2389400000000137
really,187.09799,187.41658,0.31860000000000355
have,187.41658,187.73518,0.3185900000000004
time,188.45203,188.69098,1.0354499999999973
to,188.69098,188.92992,0.23894999999998845
rest,188.92992,189.4078,0.2389400000000137
and,189.4078,189.80606,0.477879999999999
actually,189.80606,190.12465,0.3982599999999934
be,190.12465,190.2043,0.3185900000000004
able,190.2043,190.44325,0.07964999999998668
to,190.44325,190.76186,0.23895000000001687
pursue,190.76186,191.0008,0.3186100000000067
what,191.0008,191.1601,0.23893999999998528
they,191.1601,191.39905,0.15930000000000177
want,191.39905,191.55833,0.23894999999998845
to,191.55833,191.71764,0.15928000000002385
do,191.71764,191.87694,0.15930999999997653
and,192.52928,192.84814,0.8116400000000112
so,192.84814,193.34814,0.3188600000000008
i'm,193.56557,193.6453,0.7174300000000073
am,193.6453,193.88443,0.07972999999998365
asking,193.88443,194.38443,0.23913000000001716
for,194.44243,194.841,0.5579999999999927
three,194.841,195.00043,0.39857000000000653
hundred,195.00043,195.31929,0.1594299999999862
and,195.31929,195.47871,0.3188600000000008
fifty,195.47871,195.87729,0.15942000000001144
thousand,195.87729,196.19615,0.3985799999999813
dollars,196.19615,196.59471,0.3188600000000008
to,196.59471,196.75415,0.39856000000000336
go,196.75415,196.83386,0.1594400000000178
on,196.83386,196.91357,0.0797099999999773
sa,196.99329,197.15271,0.15943000000001462
medical,197.15271,197.55128,0.15942000000001144
i,198.74701,199.06586,1.5942999999999756
asking,199.06586,199.38472,0.31884999999999764
this,199.38472,199.863,0.3188600000000008
because,199.863,200.3413,0.47828000000001225
one,200.3413,200.50072,0.4782999999999902
of,200.50072,200.73985,0.15942000000001144
my,200.73985,200.979,0.23912999999998874
colleagues,200.979,201.479,0.2391500000000235
was,202.25443,202.41386,1.27543
able,202.41386,202.73271,0.1594299999999862
to,202.73271,202.97186,0.31884999999999764
get,202.97186,203.29071,0.2391499999999951
four,203.29071,203.52986,0.31884999999999764
hundred,203.52986,203.84871,0.2391500000000235
thousand,203.84871,204.24728,0.31884999999999764
dollars,204.24728,204.64586,0.3985699999999781
from,204.64586,204.96472,0.3985800000000097
a,204.96472,205.28357,0.3188600000000008
private,205.28357,205.68214,0.31884999999999764
firm,205.68214,205.84157,0.39857000000000653
and,206.49435,206.81332,0.8122099999999932
so,206.81332,207.05255,0.3189700000000073
i,207.1323,207.29178,0.31897999999998206
was,207.29178,207.45126,0.15948000000000206
hoping,207.45126,207.69048,0.15948000000000206
that,207.69048,207.77022,0.2392200000000173
i,207.9297,208.00945,0.23921999999998889
could,208.00945,208.16893,0.07974999999999
just,208.16893,208.32841,0.15948000000000206
go,208.32841,208.64738,0.15948000000000206
directly,208.64738,209.0461,0.3189700000000073
to,209.0461,209.20558,0.3987199999999973
the,209.20558,209.36507,0.15948000000000206
university,209.36507,209.86507,0.15949000000000524
instead,210.4017,210.72067,1.0366300000000024
of,210.72067,211.22067,0.3189700000000073
trying,212.15604,212.39526,1.4353699999999776
to,212.39526,212.71422,0.2392200000000173
contact,212.71422,213.11293,0.31896000000000413
a,213.11293,213.35216,0.3987099999999941
private,213.35216,213.85216,0.23922999999999206
firm,213.91035,214.22932,0.5581899999999962
just,214.22932,214.38881,0.3189700000000073
so,214.38881,214.62804,0.15949000000000524
that,214.62804,214.7875,0.23922999999999206
it's,214.7875,215.02673,0.15945999999999572
more,215.02673,215.52673,0.23922999999999206
secure,215.9039,216.06339,0.8771700000000067
and,217.0203,217.17978,1.1163999999999987
so,217.17978,217.33926,0.15948000000000206
that,217.33926,217.49873,0.15948000000000206
i'm,217.65822,217.73796,0.31896000000000413
able,217.73796,218.05693,0.07973999999998682
to,218.05693,218.3759,0.3189700000000073
make,218.94923,219.1088,0.8923000000000059
sure,219.1088,219.34813,0.1595700000000022
that,219.34813,219.74702,0.23932999999999538
the,219.74702,219.98637,0.3988899999999944
money,219.98637,220.22571,0.23935000000000173
is,220.22571,220.46506,0.23933999999999855
guaranteed,220.46506,220.86395,0.23935000000000173
i,222.61913,222.77869,2.1540700000000186
sort,222.77869,222.93823,0.15955999999999904
of,222.93823,223.17758,0.1595399999999927
need,223.17758,223.41692,0.23935000000000173
this,223.41692,223.91692,0.23933999999999855
just,224.37428,224.77318,0.9573599999999942
because,224.77318,225.27318,0.3988999999999976
i,226.04967,226.20923,1.2764899999999955
won't,226.20923,226.36879,0.15955999999999904
be,226.36879,226.44856,0.15955999999999904
able,226.44856,226.68791,0.07976999999999634
to,226.68791,227.00703,0.23935000000000173
keep,227.00703,227.1666,0.31911999999999807
doing,227.1666,227.48572,0.1595700000000022
good,227.48572,227.72505,0.31911999999999807
work,227.72505,228.12396,0.2393300000000238
for,228.12396,228.44307,0.39891000000000076
the,228.44307,228.60263,0.3191099999999949
university,228.60263,229.10263,0.15955999999999904
if,229.32066,229.40044,0.7180299999999988
i'm,229.56,229.71956,0.23933999999999855
really,229.71956,229.9589,0.15955999999999904
tired,229.9589,230.27802,0.23933999999999855
and,231.15561,231.31517,1.196709999999996
then,231.31517,231.5545,0.15955999999999904
also,231.79384,232.11296,0.47866999999999393
i've,233.885,233.965,2.091160000000002
have,233.965,234.125,0.0800000000000125
already,234.125,234.625,0.1599999999999966
set,234.925,235.085,0.8000000000000114
up,235.085,235.485,0.1599999999999966
plans,235.485,235.885,0.4000000000000057
to,235.885,236.045,0.39999999999997726
go,236.045,236.205,0.1599999999999966
on,236.205,236.285,0.160000000000025
this,236.285,236.685,0.07999999999998408
medical,236.685,237.005,0.4000000000000057
so,237.405,237.645,0.7199999999999989
i've,237.80501,238.045,0.40001000000000886
already,238.045,238.545,0.2399899999999775
sold,238.605,239.005,0.5600000000000023
my,239.005,239.325,0.4000000000000057
condominium,239.325,239.825,0.3199999999999932
and,241.085,241.585,1.7600000000000193
what,241.80501,241.885,0.720010000000002
i,242.045,242.125,0.2399899999999775
would,242.125,242.285,0.0800000000000125
really,242.285,242.525,0.1599999999999966
like,242.525,242.685,0.2400000000000091
to,242.685,242.845,0.1599999999999966
do,242.845,243.345,0.1599999999999966
is,243.565,244.065,0.7199999999999989
that's,245.4993,245.8185,1.9343000000000075
okay,245.8185,245.8983,0.31919999999999504
i,246.6165,246.8559,0.7980000000000018
really,246.8559,247.1751,0.23939999999998918
like,247.1751,247.4145,0.31919999999999504
to,247.4145,247.8135,0.2394000000000176
go,248.1327,248.2923,0.718199999999996
to,248.2923,248.4519,0.15960000000001173
the,248.4519,248.9307,0.1595999999999833
institute,248.9307,249.1701,0.4788000000000068
for,249.1701,249.4095,0.23939999999998918
advance,249.4095,249.7287,0.2394000000000176
at,249.7287,249.8883,0.31919999999999504
least,249.8883,250.1277,0.1595999999999833
for,250.1277,250.3671,0.2394000000000176
nine,250.3671,250.5267,0.23939999999998918
months,250.5267,250.8459,0.15960000000001173
in,250.8459,251.0055,0.31919999999999504
order,251.0055,251.3247,0.15960000000001173
to,251.3247,251.6439,0.31919999999999504
be,251.6439,252.1439,0.31919999999999504
with,252.6813,252.9207,1.037399999999991
other,252.9207,253.2399,0.2394000000000176
people,253.2399,253.3995,0.31919999999999504
who,253.3995,253.5591,0.1595999999999833
are,253.5591,253.7187,0.15960000000001173
really,253.7187,254.0379,0.15960000000001173
creative,254.0379,254.3571,0.31919999999999504
and,254.9955,255.4955,0.9575999999999851
yeah,255.9531,256.1925,0.9576000000000136
so,256.5117,257.0117,0.5586000000000126
basically,257.2299,257.5491,0.7181999999999675
i,257.7885,257.8683,0.5586000000000126
need,257.8683,258.1875,0.07979999999997744
one,258.1875,258.5067,0.31920000000002346
hundred,258.5067,258.7461,0.31920000000002346
and,258.7461,258.9057,0.23939999999998918
fifty,258.9057,259.3047,0.15960000000001173
thousand,259.3047,259.7037,0.3990000000000009
dollars,259.7037,260.2037,0.3990000000000009
to,260.3421,260.5017,0.6383999999999901
pay,261.63303,261.87195,1.290930000000003
off,261.87195,262.03122,0.23892000000000735
the,262.03122,262.1905,0.15926999999999225
boat,262.1905,262.6905,0.159279999999967
because,262.748,262.98688,0.5575000000000045
i,263.14618,263.30545,0.39818000000002485
am,263.30545,263.7833,0.15926999999999225
taking,263.7833,264.0222,0.47784999999998945
a,264.0222,264.42038,0.238900000000001
lifelong,264.42038,264.92038,0.39818000000002485
trip,264.97787,265.13715,0.557489999999973
of,265.13715,265.37607,0.15928000000002385
mine,265.37607,265.77426,0.23892000000000735
to,265.77426,266.01318,0.3981899999999996
like,266.96884,267.20776,1.1945799999999736
the,267.84488,268.34488,0.876039999999989
western,268.64127,269.14127,0.7963900000000308
pacific,269.9155,270.15442,1.2742299999999886
ocean,270.39334,270.63226,0.4778400000000147
and,271.18973,271.68973,0.796389999999974
also,272.1454,272.3843,0.9556699999999978
i,272.62323,272.7825,0.4778299999999831
need,272.7825,273.1807,0.1592700000000491
fifty,273.1807,273.5789,0.39819999999997435
thousand,273.5789,273.97708,0.39819999999997435
dollars,273.97708,274.45493,0.39818000000002485
for,274.45493,274.85312,0.47784999999998945
my,274.85312,275.09204,0.3981899999999996
boating,275.09204,275.5699,0.23892000000000735
related,275.5699,275.96808,0.47786000000002105
equipment,275.96808,276.36627,0.398179999999968
so,276.77945,277.0183,0.8113700000000108
that,277.0183,277.09793,0.23885000000001355
i,277.25717,277.4164,0.23886999999996306
can,277.4164,277.73492,0.1592300000000364
go,277.73492,277.81454,0.31851999999997815
on,277.81454,278.0534,0.079620000000034
