Word,Start Time,End Time,start_time_diff
hi,6.2476764,6.6456175,0.0
where,9.431206,9.510794,3.1835296
am,9.510794,9.6699705,0.0795880000000011
about,9.6699705,9.908735,0.15917649999999917
you,9.908735,10.1475,0.23876450000000027
okay,105.19597,105.35515,95.28723500000001
okay,108.29991,108.45909,3.1039399999999944
thank,108.936615,109.095795,0.6367050000000063
you,109.095795,109.25497,0.1591799999999921
so,109.25497,109.41415,0.15917500000000473
much,109.41415,109.7325,0.15918000000000632
for,109.7325,109.89168,0.31834999999999525
letting,110.44879,110.68756,0.7162900000000008
me,110.68756,110.84673,0.23877000000000237
know,110.84673,111.085495,0.15916999999998893
all,111.085495,111.324265,0.23876500000000078
those,111.324265,111.56303,0.23877000000000237
things,111.56303,111.96097,0.23876500000000078
and,112.59767,113.09767,1.034639999999996
just,113.329666,113.80887,0.7319960000000094
first,113.80887,113.968605,0.47920399999999574
of,113.968605,114.04848,0.15973499999999774
all,114.04848,114.208206,0.07987500000000125
behalf,114.447815,114.607544,0.39933500000000777
as,114.607544,114.84715,0.15972899999999868
provost,114.84715,115.24649,0.23960599999999488
please,115.64583,115.88543,0.7986800000000045
know,115.88543,116.12503,0.23959999999999582
that,116.12503,116.28477,0.23959999999999582
we,116.28477,116.4445,0.15973999999999933
really,116.4445,116.9445,0.15973000000001036
appreciate,117.562645,117.88212,1.1181449999999984
all,117.88212,118.041855,0.31947499999999707
of,118.041855,118.12172,0.15973499999999774
the,118.12172,118.281456,0.07986499999999808
years,118.281456,118.52106,0.15973600000000943
of,118.52106,118.84053,0.23960399999999993
research,118.84053,118.920395,0.3194699999999955
so,119.08013,119.23987,0.23959999999999582
you,119.23987,119.31973,0.15973999999999933
have,119.31973,119.47947,0.0798600000000107
dedicated,119.47947,119.95867,0.15973999999999933
to,119.95867,120.03854,0.47919999999999163
the,120.03854,120.19827,0.07986999999999966
university,120.19827,120.69827,0.15972999999999615
and,121.47616,121.71576,1.2778899999999993
how,121.71576,121.875496,0.23960000000001003
much,121.875496,122.03523,0.15973599999999522
you've,122.03523,122.19496,0.15973400000000026
been,122.19496,122.69496,0.15972999999999615
beneficial,122.754036,122.83391,0.5590760000000046
to,122.83391,122.99364,0.07987400000000378
both,122.99364,123.15337,0.15972999999999615
our,123.15337,123.31311,0.15972999999999615
students,123.31311,123.63258,0.15973999999999933
and,123.63258,123.71245,0.3194700000000097
the,123.71245,123.872185,0.07986999999999966
rest,123.872185,123.95205,0.15973499999999774
of,123.95205,124.111786,0.07986499999999808
our,124.111786,124.35139,0.15973599999999522
faculty,124.35139,124.750725,0.23960399999999993
so,125.72291,126.12129,1.3715200000000038
just,126.12129,126.36032,0.39838000000000306
even,126.36032,126.59936,0.23902999999999963
before,126.59936,126.75871,0.2390400000000028
we,126.75871,126.91807,0.15934999999998922
get,126.91807,127.07742,0.1593600000000066
into,127.07742,127.1571,0.15935000000000343
the,127.1571,127.6571,0.0796799999999962
negotiations,127.71484,127.79452,0.5577399999999955
just,127.95387,128.11322,0.23902999999999963
wanna,128.11322,128.27258,0.15935000000001764
let,128.27258,128.43193,0.1593599999999924
you,128.43193,128.5913,0.15934999999998922
know,128.5913,128.91,0.15936999999999557
that,128.91,129.06935,0.31870000000000687
in,129.86613,130.10516,0.9561300000000017
terms,130.10516,130.42387,0.23903000000001384
of,130.42387,130.58322,0.3187099999999816
your,130.58322,131.0613,0.15935000000001764
request,131.0613,131.38,0.4780799999999772
so,131.69872,131.93774,0.6374200000000201
i'm,132.65485,132.8142,0.9561300000000017
really,132.8142,133.05322,0.15934999999998922
sorry,133.05322,133.29227,0.23902000000001067
to,133.29227,133.37193,0.23904999999999177
hear,133.37193,133.5313,0.07965999999998985
about,133.5313,133.69064,0.15936999999999557
the,133.69064,133.85,0.15934000000001447
health,133.85,134.08904,0.1593599999999924
issues,134.08904,134.32806,0.23904000000001702
that,134.32806,134.48743,0.23901999999998225
you,134.48743,134.64677,0.15936999999999557
have,134.64677,134.80614,0.15934000000001447
that,134.80614,134.96548,0.15936999999999557
are,134.96548,135.36388,0.15934000000001447
ongoing,135.36388,135.6029,0.398399999999981
right,135.6029,135.92162,0.23902000000001067
now,135.92162,136.08096,0.3187199999999848
and,137.11678,137.43549,1.1951600000000155
we,137.43549,137.59483,0.3187099999999816
can,137.59483,137.83388,0.15934000000001447
grant,137.83388,138.0729,0.23904999999999177
you,138.0729,138.23225,0.23902000000001067
a,138.23225,138.39162,0.15934999999998922
twenty,138.39162,138.71033,0.15936999999999557
one,138.71033,138.86967,0.31871000000001004
month,138.86967,139.1087,0.15934000000001447
sa,139.1087,139.26807,0.23902999999998542
medical,139.26807,139.74612,0.15936999999999557
however,140.71999,141.04,1.4519200000000012
the,141.2,141.36,0.48000999999999294
only,141.36,141.59999,0.160000000000025
thing,141.59999,141.76,0.2399899999999775
is,141.76,142.07999,0.16000999999999976
we,142.07999,142.23999,0.3199900000000184
can,142.23999,142.4,0.1599999999999966
only,142.4,142.71999,0.16000999999999976
pay,142.71999,142.95999,0.31998999999999
for,142.95999,143.12,0.2400000000000091
up,143.12,143.28,0.16000999999999976
to,143.28,143.43999,0.1599999999999966
six,143.43999,143.76,0.15998999999999342
months,143.76,144.07999,0.32000999999999635
worth,144.07999,144.31999,0.3199900000000184
so,144.87999,145.37999,0.799999999999983
throughout,145.51999,145.68,0.6400000000000148
the,145.68,146.0,0.16000999999999976
duration,146.0,146.15999,0.3199999999999932
of,146.15999,146.4,0.15998999999999342
six,146.4,146.56,0.24001000000001227
months,146.56,146.64,0.1599999999999966
you,146.87999,147.04,0.31998999999999
would,147.04,147.2,0.16000999999999976
be,147.2,147.43999,0.1599999999999966
receiving,147.43999,147.76,0.23999000000000592
ten,147.76,148.0,0.32000999999999635
thousand,148.0,148.31999,0.2400000000000091
dollars,148.31999,148.79999,0.31998999999999
each,148.79999,149.04,0.4800000000000182
month,149.04,149.2,0.24000999999998385
and,149.59999,149.76,0.5599899999999991
then,149.76,150.07999,0.16000999999999976
after,150.07999,150.4,0.3199900000000184
those,150.4,150.56,0.32000999999999635
six,150.56,150.79999,0.1599999999999966
months,150.79999,150.95999,0.23999000000000592
or,150.95999,151.2,0.1599999999999966
over,151.2,151.51999,0.24000999999998385
the,152.33408,152.49355,1.1340800000000115
rest,152.49355,152.65302,0.1594699999999989
of,152.65302,152.8125,0.1594699999999989
the,152.8125,152.97197,0.15948000000000206
sa,152.97197,153.4504,0.1594699999999989
would,153.4504,153.68959,0.478430000000003
be,153.68959,153.84908,0.23919000000000779
then,153.84908,154.34908,0.15948999999997682
unpaid,154.48697,154.80591,0.6378900000000272
so,156.9588,157.4588,2.471829999999983
i,157.91565,158.07512,0.9568500000000029
guess,158.07512,158.2346,0.1594699999999989
cat,159.27118,159.35092,1.1960599999999886
is,159.51039,159.59012,0.23921000000001413
that,159.59012,159.82933,0.07973000000001207
kind,159.82933,159.98882,0.2392099999999857
of,159.98882,160.48882,0.15949000000000524
factor,160.70644,161.20644,0.7176199999999824
into,161.2646,161.66328,0.5581600000000151
any,161.66328,161.82275,0.3986799999999846
of,161.82275,161.9025,0.1594700000000273
like,162.06197,162.14171,0.23921999999998889
financial,162.7796,163.2796,0.7176299999999856
any,163.4175,163.9175,0.6379000000000019
financial,164.05539,164.45407,0.6378899999999987
requirements,164.45407,164.85275,0.398680000000013
that,164.85275,165.01224,0.3986799999999846
you're,165.01224,165.09196,0.15949000000000524
gonna,165.09196,165.33118,0.0797200000000089
need,165.33118,165.41092,0.23921999999998889
to,165.41092,165.57039,0.07974000000001524
kinda,165.57039,165.8096,0.1594699999999989
get,165.8096,165.96907,0.2392099999999857
through,165.96907,166.12854,0.1594699999999989
your,166.12854,166.28802,0.1594699999999989
health,166.28802,166.60696,0.15948000000000206
issues,166.60696,166.92592,0.3189399999999978
that's,169.41113,169.72984,2.8041700000000276
just,169.72984,169.88919,0.3187099999999816
kind,169.88919,170.04855,0.15935000000001764
of,170.04855,170.2079,0.1593599999999924
like,170.2079,170.28758,0.15934999999998922
the,170.36726,170.6063,0.1593599999999924
the,170.6063,170.76564,0.23904000000001702
limit,170.76564,171.00468,0.15933999999998605
that,171.00468,171.08435,0.23904000000001702
we're,171.08435,171.24371,0.07966999999999302
working,171.24371,171.48274,0.1593599999999924
with,171.48274,171.6421,0.23903000000001384
that,184.0135,184.5135,12.530759999999987
unfortunately,186.01198,186.51198,1.9984800000000007
not,186.65149,186.81137,0.6395100000000014
no,187.05118,187.21106,0.39968999999999255
six,187.53082,187.77063,0.4796400000000176
months,187.77063,188.0904,0.23981000000000563
is,188.0904,188.3302,0.319769999999977
the,188.3302,188.49008,0.23980000000000246
is,188.64996,188.80984,0.31976000000000226
the,188.80984,188.96971,0.15988000000001534
most,188.96971,189.28947,0.15986999999998375
we,189.28947,189.44936,0.31976000000000226
can,189.44936,189.68916,0.15989000000001852
offer,189.68916,190.00893,0.23979999999997403
from,190.00893,190.16881,0.31977000000000544
a,190.16881,190.32867,0.15988000000001534
a,190.32867,190.5685,0.15985999999998057
paid,190.5685,190.88826,0.23983000000001198
standpoint,190.88826,191.38826,0.31976000000000226
ten,198.49231,198.73175,7.604050000000001
thousand,198.73175,199.05101,0.23944000000000187
is,199.05101,199.29045,0.31925999999998567
also,199.29045,199.60971,0.23944000000000187
the,199.60971,199.84915,0.3192600000000141
the,199.84915,200.00879,0.23944000000000187
final,200.00879,200.24823,0.159639999999996
the,200.40787,200.72713,0.3990799999999979
the,200.72713,200.88675,0.31925999999998567
maximum,200.88675,201.20601,0.15962000000001808
one,201.20601,201.36565,0.31925999999998567
that,201.36565,201.52527,0.159639999999996
we,201.52527,201.6849,0.15962000000001808
can,201.6849,201.84453,0.15962999999999283
do,201.84453,202.32343,0.15962999999999283
unfortunately,202.32343,202.82343,0.4789000000000101
i,206.63342,207.13342,4.309989999999999
yes,214.3893,214.7085,7.755879999999991
yes,216.0651,216.3045,1.6758000000000095
so,216.6237,217.1237,0.5586000000000126
within,217.2621,217.5813,0.6383999999999901
our,217.5813,217.8207,0.31919999999999504
budget,217.8207,218.1399,0.23939999999998918
you,218.7783,218.8581,0.9576000000000136
know,218.8581,219.0177,0.07980000000000587
just,219.1773,219.3369,0.31919999999999504
kinda,219.3369,219.5763,0.15960000000001173
based,219.5763,219.7359,0.23939999999998918
off,219.7359,219.8955,0.1595999999999833
of,219.8955,220.0551,0.15960000000001173
everything,220.0551,220.3743,0.15960000000001173
that,220.3743,220.5339,0.31919999999999504
we've,220.5339,220.6137,0.1595999999999833
been,220.6137,220.6935,0.07980000000000587
looking,220.6935,220.93289,0.07980000000000587
at,220.93289,221.0127,0.239389999999986
and,221.1723,221.2521,0.23941000000002077
we,221.2521,221.4117,0.07980000000000587
do,221.4117,221.4915,0.1595999999999833
have,221.4915,221.6511,0.07980000000000587
a,221.6511,221.8107,0.15960000000001173
serious,221.8107,222.2097,0.1595999999999833
buyer,222.2097,222.5289,0.3990000000000009
in,222.5289,222.6885,0.31919999999999504
mind,222.6885,223.0077,0.15960000000001173
who,223.0077,223.1673,0.31919999999999504
would,223.1673,223.3269,0.15960000000001173
be,223.3269,223.5663,0.1595999999999833
interested,223.5663,223.8855,0.2394000000000176
in,223.8855,224.1,0.31919999999999504
going,224.86,225.18001,0.9745000000000061
forward,225.18001,225.42001,0.32000999999999635
with,225.42001,225.66,0.23999999999998067
purchasing,225.66,225.98001,0.23999000000000592
the,225.98001,226.3,0.32000999999999635
research,226.3,226.46,0.3199900000000184
that,227.5,227.74,1.1999999999999886
limit,227.74,227.98001,0.2400000000000091
is,227.98001,228.14,0.24000999999998385
at,228.14,228.38,0.15998999999999342
two,228.38,228.62001,0.2400000000000091
hundred,228.62001,228.78,0.24001000000001227
and,228.78,229.02,0.15998999999999342
seventy,229.02,229.34001,0.2400000000000091
five,229.34001,229.66,0.32000999999999635
thousand,229.66,230.06001,0.31998999999999
so,230.38,230.46,0.7199999999999989
i,230.54001,230.62001,0.16000999999999976
know,230.62001,230.78,0.0800000000000125
you,230.78,230.86,0.15998999999999342
had,230.86,231.18001,0.0800000000000125
mentioned,231.18001,231.34001,0.32000999999999635
four,231.34001,231.66,0.1599999999999966
hundred,231.66,231.90001,0.31998999999999
thousand,231.90001,232.40001,0.24001000000001227
before,232.54001,232.86,0.6399999999999864
but,233.58,233.74,1.0399900000000173
two,233.74,233.98001,0.1599999999999966
hundred,233.98001,234.14,0.24000999999998385
and,234.14,234.3,0.15998999999999342
seventy,234.3,234.62001,0.160000000000025
five,234.62001,234.86,0.32000999999999635
thousand,234.86,235.18001,0.23999000000000592
is,235.18001,235.42001,0.32000999999999635
really,235.42001,235.74,0.23999999999998067
kind,235.74,235.90001,0.3199900000000184
of,235.90001,236.06001,0.16000999999999976
the,236.06001,236.46,0.1599999999999966
the,236.46,236.62001,0.3999900000000025
most,236.62001,236.86,0.16000999999999976
that,236.86,237.1,0.23999000000000592
we,237.1,237.26001,0.23999999999998067
can,237.26001,237.42001,0.16000999999999976
do,237.42001,237.58,0.1599999999999966
at,237.58,237.82,0.15999000000002184
this,237.82,238.06001,0.23999999999998067
point,238.06001,238.3,0.24001000000001227
wanna,240.47499,240.875,2.4149799999999857
ask,240.875,241.035,0.40001000000000886
you,241.035,241.19499,0.1599999999999966
like,241.275,241.355,0.2400000000000091
i,241.435,241.515,0.1599999999999966
mean,241.515,241.595,0.07999999999998408
have,241.83499,241.995,0.3199900000000184
you,241.995,242.495,0.16000999999999976
negotiated,242.795,243.11499,0.799999999999983
or,243.11499,243.355,0.3199900000000184
talk,243.355,243.515,0.24000999999998385
with,243.515,243.595,0.1599999999999966
any,243.595,243.83499,0.0800000000000125
other,243.83499,244.315,0.23999000000000592
research,244.315,244.715,0.48000999999999294
universities,244.715,245.19499,0.4000000000000057
at,246.315,246.47499,1.5999999999999943
this,246.47499,246.635,0.15998999999999342
time,246.635,246.955,0.16000999999999976
about,246.955,247.11499,0.3200000000000216
kind,247.11499,247.275,0.15998999999999342
of,247.275,247.355,0.16000999999999976
like,247.515,247.595,0.23999999999998067
evaluating,247.915,248.415,0.4000000000000057
the,248.47499,248.715,0.5599899999999991
research,248.715,249.11499,0.24001000000001227
or,249.11499,249.435,0.3999900000000025
how,249.435,249.595,0.32000999999999635
of,249.595,249.915,0.1599999999999966
exactly,249.915,250.155,0.3199999999999932
did,250.155,250.315,0.2400000000000091
you,250.315,250.47499,0.1599999999999966
get,250.47499,250.635,0.15998999999999342
to,250.635,250.715,0.16000999999999976
the,250.715,250.875,0.0800000000000125
four,250.875,251.035,0.1599999999999966
hundred,251.035,251.275,0.1599999999999966
thousand,251.275,251.675,0.2400000000000091
dollar,251.675,251.995,0.4000000000000057
number,251.995,252.155,0.3199999999999932
if,252.155,252.235,0.1599999999999966
can,252.39499,252.715,0.23999000000000592
yeah,277.39484,277.5542,24.99984999999998
i,277.79324,278.03232,0.39840000000003783
i,278.19168,278.27136,0.3984399999999937
definitely,278.27136,278.77136,0.0796799999999962
understand,278.9885,279.3869,0.7171399999999721
and,279.3869,279.70563,0.39840000000003783
just,280.4228,280.66183,1.0358999999999696
knowing,280.66183,281.06024,0.23903000000001384
about,281.06024,281.13992,0.3984100000000126
all,281.13992,281.2993,0.0796799999999962
the,281.2993,281.53833,0.15937999999999874
research,281.53833,281.77737,0.239029999999957
you've,281.77737,281.93674,0.23904000000004544
done,281.93674,282.0961,0.15936999999996715
i,282.66956,282.98904,0.7328200000000038
can,282.98904,283.38843,0.31947999999999865
understand,283.38843,283.54816,0.39939000000003944
how,283.54816,283.78778,0.15972999999996773
you,283.86765,283.94754,0.31949000000003025
know,283.94754,284.0274,0.07988999999997759
maybe,284.10727,284.3469,0.15973000000002457
that,284.3469,284.50665,0.23962999999997692
might,284.50665,284.66638,0.15974999999997408
seem,284.66638,284.906,0.15973000000002457
like,284.906,285.06573,0.23962000000000216
it's,285.06573,285.2255,0.15972999999996773
a,285.2255,285.46512,0.15977000000003727
a,285.46512,285.70474,0.23962000000000216
little,285.70474,285.94434,0.23962000000000216
bit,285.94434,286.02423,0.23959999999999582
of,286.02423,286.1041,0.07988999999997759
a,286.1041,286.34372,0.07987000000002809
a,286.34372,286.5833,0.23962000000000216
a,286.5833,286.6632,0.23957999999998947
global,286.6632,286.90283,0.07990000000000919
ball,286.90283,287.22232,0.23962999999997692
number,287.22232,287.4619,0.31949000000003025
especially,288.3405,288.7399,1.1181799999999953
compared,288.7399,288.9795,0.39939999999995734
to,288.9795,289.29898,0.23959999999999582
other,289.5386,290.01785,0.5591000000000008
people,290.01785,290.17758,0.4792500000000359
that,290.17758,290.4172,0.15972999999996773
you've,290.4172,290.57697,0.23962000000000216
spoken,290.57697,290.97632,0.15977000000003727
with,290.97632,291.13608,0.3993499999999699
but,292.09454,292.33417,1.118220000000008
i,292.4939,292.65366,0.3993600000000015
think,292.65366,293.13287,0.15976000000000568
what,293.13287,293.45236,0.47921000000002323
we,293.45236,293.692,0.3194899999999734
can,293.692,293.9316,0.2396400000000085
try,293.9316,294.09134,0.23959999999999582
to,294.09134,294.2511,0.15973999999999933
do,294.2511,294.41083,0.15976000000000568
is,294.41083,294.91083,0.15972999999996773
again,295.30453,295.46436,0.8937000000000239
in,295.54425,295.70404,0.23971999999997706
terms,295.70404,295.86383,0.15979000000004362
of,295.86383,295.94373,0.15978999999998678
the,295.94373,296.1834,0.07990000000000919
portfolio,296.1834,296.34323,0.2396699999999896
we,296.42313,296.50302,0.23973000000000866
have,296.50302,296.6628,0.07988999999997759
two,296.6628,296.8226,0.15978000000001202
hundred,296.8226,297.06232,0.15980000000001837
seventy,297.06232,297.302,0.23971999999997706
five,297.302,297.5417,0.2396800000000212
thousand,297.5417,297.78137,0.23969999999997071
is,297.78137,297.8613,0.2396699999999896
the,297.8613,298.0211,0.07993000000004713
most,298.0211,298.18088,0.15979999999996153
that,298.18088,298.34067,0.15978000000001202
we,298.34067,298.50046,0.15978999999998678
can,298.50046,298.58035,0.15978999999998678
do,298.58035,298.66025,0.07989000000003443
so,298.74017,298.97986,0.15981999999996788
