Word,Start Time,End Time,start_time_diff
hi,9.4,9.559999,0.0
are,9.88,10.04,0.4800000000000004
you,10.04,10.36,0.15999999999999837
i,14.2893,14.369101,4.249300000000002
guess,14.369101,14.6085005,0.07980099999999979
we,14.6085005,14.768101,0.23939949999999932
can,14.768101,15.0075,0.1596004999999998
just,15.0075,15.3267,0.23939900000000058
start,15.3267,15.8267,0.3192000000000004
ring,16.3641,16.6035,1.0373999999999999
yeah,18.2793,18.5187,1.9151999999999987
okay,20.513699,20.6733,2.234399
so,20.9925,21.391499,0.4788010000000007
i,21.5511,21.7905,0.558600000000002
am,21.7905,22.189499,0.23939999999999984
a,22.189499,22.4289,0.3989989999999999
leading,22.4289,22.9289,0.2394009999999973
scientist,22.9875,23.3067,0.558600000000002
as,23.3067,23.466301,0.3191999999999986
you,23.466301,23.6259,0.1596010000000021
know,23.6259,23.7855,0.15959900000000005
and,24.024899,24.104698,0.3989989999999999
i've,24.2643,24.4239,0.2394009999999973
been,24.4239,24.822899,0.15960000000000107
doing,24.822899,25.1421,0.3989989999999999
a,25.1421,25.3017,0.3192009999999996
lot,25.3017,25.3815,0.15960000000000107
of,25.3815,25.780499,0.07979999999999876
research,25.780499,26.099699,0.3989989999999999
and,26.099699,26.2593,0.31920000000000215
have,26.2593,26.4987,0.15960099999999855
restless,26.4987,26.9987,0.23939999999999984
been,27.0573,27.2169,0.558600000000002
working,27.2169,27.615898,0.15959999999999752
with,28.27,28.77,1.0531000000000006
like,29.47,29.55,1.1999999999999993
the,29.63,29.869999,0.16000000000000014
faculty,29.869999,30.369999,0.23999900000000096
and,30.99,31.07,1.1200009999999985
also,31.23,31.39,0.240000000000002
like,31.47,31.55,0.23999999999999844
phd,31.71,32.19,0.240000000000002
students,32.19,32.51,0.4799999999999969
at,32.51,32.59,0.3200000000000003
the,32.59,32.67,0.0800000000000054
university,32.67,33.17,0.0799999999999983
and,33.79,34.19,1.1199999999999974
due,34.19,34.35,0.3999999999999986
to,34.35,34.51,0.1600000000000037
this,34.51,34.67,0.1599999999999966
i've,34.989998,35.489998,0.4799980000000019
been,36.27,36.43,1.2800020000000032
talking,36.43,36.67,0.1599999999999966
to,36.67,36.83,0.240000000000002
my,36.83,37.07,0.1599999999999966
doctor,37.07,37.39,0.240000000000002
he,37.629997,37.79,0.5599970000000027
has,37.79,38.03,0.16000299999999612
told,38.03,38.27,0.240000000000002
me,38.27,38.43,0.240000000000002
that,38.43,38.91,0.1599999999999966
i'm,38.989998,39.23,0.5599980000000002
having,39.23,39.73,0.24000199999999694
issues,39.79,39.95,0.5600000000000023
with,39.95,40.11,0.1600000000000037
my,40.11,40.35,0.1599999999999966
health,40.35,40.85,0.240000000000002
so,41.245,41.565,0.894999999999996
i,41.725,42.045,0.480000000000004
would,42.045,42.445,0.3200000000000003
like,42.445,42.605,0.3999999999999986
to,42.605,42.925,0.1599999999999966
propose,42.925,43.425,0.3200000000000003
a,43.485,43.805,0.5600000000000023
twenty,43.805,44.045,0.3200000000000003
one,44.045,44.285,0.240000000000002
month,44.285,44.765,0.23999999999999488
gap,45.965,46.285,1.6800000000000068
and,46.285,46.525,0.3199999999999932
break,46.525,46.765,0.240000000000002
and,47.565,47.965,1.0399999999999991
i,48.125,48.364998,0.5600000000000023
believe,48.364998,48.765,0.23999799999999993
that,48.765,49.085,0.40000200000000063
this,49.085,49.245,0.3200000000000003
is,49.245,49.725,0.1599999999999966
necessary,49.725,50.125,0.480000000000004
to,50.125,50.364998,0.3999999999999986
my,50.364998,50.525,0.23999799999999993
health,50.525,50.684998,0.16000199999999865
and,50.845,50.925,0.3200000000000003
also,50.925,51.085,0.0799999999999983
i've,51.245,51.325,0.3200000000000003
been,51.325,51.485,0.0800000000000054
working,51.485,51.965,0.1599999999999966
restless,51.965,52.465,0.480000000000004
for,52.525,52.765,0.5599999999999952
many,52.765,52.925,0.240000000000002
years,52.925,53.405,0.1599999999999966
helping,53.405,53.905,0.480000000000004
students,54.045,54.545,0.6400000000000006
and,54.765,54.925,0.7199999999999989
the,54.925,55.165,0.1599999999999966
faculty,55.165,55.645,0.240000000000002
so,56.2995,56.698498,1.1345000000000027
i,56.858097,57.358097,0.5585969999999989
believe,57.735897,57.9753,0.8778000000000006
that,57.9753,58.4753,0.2394029999999958
this,58.533897,58.8531,0.558597000000006
time,58.8531,59.1723,0.3192029999999946
is,59.1723,59.491497,0.31920000000000215
really,59.491497,59.8107,0.3191970000000026
needed,59.8107,60.209698,0.3192029999999946
in,61.7259,62.124897,1.9152000000000058
addition,62.124897,62.364296,0.3989969999999943
to,62.364296,62.6037,0.2393990000000059
that,62.6037,62.843098,0.2394040000000004
i,65.157295,65.3967,2.5535950000000014
want,65.3967,65.6361,0.23940499999999076
to,65.6361,66.1149,0.2394000000000034
sell,66.1149,66.4341,0.4788000000000068
my,66.4341,66.8331,0.31919999999999504
portfolio,66.8331,67.3119,0.3990000000000009
and,68.2695,68.7695,1.436399999999992
this,69.4665,69.86549,1.1970000000000027
portfolio,69.86549,70.3443,0.39898999999999774
has,70.3443,70.6635,0.47881000000000995
the,70.6635,70.7433,0.31919999999999504
years,70.7433,70.9827,0.07980000000000587
of,70.9827,71.3817,0.23939999999998918
research,71.3817,71.8817,0.3990000000000009
that,72.19484,72.35463,0.8131400000000042
would,72.35463,72.51442,0.159790000000001
really,72.51442,72.834,0.159790000000001
help,72.834,73.073685,0.319580000000002
the,73.073685,73.23347,0.23968499999999437
university,73.23347,73.73347,0.1597849999999994
in,74.43189,74.67158,1.1984199999999987
terms,74.67158,74.91126,0.23969000000001017
of,74.91126,75.15095,0.2396799999999928
rank,75.15095,75.63031,0.23968999999999596
in,75.63031,75.869995,0.4793599999999998
terms,75.869995,76.26947,0.23968500000000859
of,76.26947,76.76947,0.39947499999999536
image,77.86736,78.36736,1.5978900000000067
and,78.50652,78.66631,0.6391599999999897
things,78.66631,78.906,0.159790000000001
of,78.906,79.06579,0.23969000000001017
by,79.06579,79.38537,0.159790000000001
nature,79.38537,79.54515,0.31957999999998776
so,79.70494,80.02452,0.3195699999999988
i,80.18431,80.423996,0.47937000000000296
believe,80.423996,80.743576,0.23968600000000606
that,80.743576,81.243576,0.319580000000002
it,81.70232,82.02189,0.9587439999999958
is,82.02189,82.18168,0.3195699999999988
a,82.18168,82.34147,0.159790000000001
very,82.34147,82.581154,0.159790000000001
valuable,82.581154,82.98063,0.2396839999999969
piece,82.98063,83.14042,0.39947600000000705
of,83.14042,83.64042,0.159790000000001
information,83.699684,84.01926,0.5592639999999989
and,84.01926,84.49863,0.31957599999999786
a,84.49863,84.65842,0.47937000000000296
lot,84.65842,84.81821,0.159790000000001
of,84.81821,85.13779,0.15978999999998678
other,85.13779,85.61716,0.319580000000002
investors,85.61716,86.09653,0.47937000000000296
are,86.09653,86.336205,0.47937000000000296
looking,86.336205,86.815575,0.2396750000000054
into,86.815575,86.89547,0.47936999999998875
it,86.89547,87.05526,0.0798950000000076
but,87.39,87.549995,0.49452999999999747
i,87.63,87.78999,0.23999999999999488
wanna,87.78999,87.95,0.15999000000000763
comes,87.95,88.10999,0.16000999999999976
to,88.10999,88.189995,0.15998999999999342
the,88.189995,88.27,0.08000499999999988
university,88.27,88.77,0.08000499999999988
first,88.909996,89.31,0.6399960000000107
due,89.31,89.46999,0.4000039999999956
to,89.46999,89.63,0.15998999999999342
my,89.63,89.869995,0.16000999999999976
long,89.869995,90.10999,0.2399950000000075
lasting,90.10999,90.60999,0.2399949999999933
connection,90.67,90.829994,0.5600100000000054
with,90.829994,90.909996,0.15999399999999753
university,90.99,91.49,0.16000599999999565
and,91.95,92.03,0.960000000000008
i've,92.10999,92.27,0.15998999999999342
been,92.27,92.42999,0.16000999999999976
working,92.42999,92.75,0.15999000000000763
here,92.75,92.909996,0.32000999999999635
for,92.909996,93.07,0.1599960000000067
so,93.07,93.229996,0.1600039999999865
many,93.229996,93.46999,0.1599960000000067
years,93.46999,93.869995,0.23999399999999582
that,93.869995,94.35,0.40000500000000727
i,94.42999,94.59,0.5599950000000007
just,94.59,94.909996,0.16000999999999976
believe,94.909996,95.149994,0.3199960000000033
that,95.149994,95.229996,0.23999799999999993
like,95.31,95.39,0.16000599999999565
my,95.549995,95.869995,0.2399949999999933
research,95.869995,96.11,0.3200000000000074
should,96.11,96.27,0.24000499999999647
be,96.27,96.42999,0.1599999999999966
should,96.67,96.829994,0.4000000000000057
benefit,96.829994,97.229996,0.15999399999999753
the,97.229996,97.31,0.40000200000000063
university,97.31,97.81,0.0800040000000024
instead,97.95,98.11,0.6400000000000006
of,98.11,98.27,0.1599999999999966
other,98.27,98.42999,0.1599999999999966
their,98.42999,98.67,0.15999000000000763
investors,98.67,99.07,0.24000999999999806
and,99.46999,99.549995,0.799989999999994
i,99.71,99.78999,0.24000999999999806
am,99.78999,100.03,0.07999000000000933
looking,100.03,100.27,0.24000999999999806
to,100.27,100.42999,0.23999999999999488
sell,100.42999,100.59,0.15999000000000763
it,100.59,100.829994,0.16000999999999976
for,100.829994,101.06999,0.23999399999999582
about,101.06999,101.31,0.23999600000000498
