Word,Start Time,End Time,start_time_diff
hi,1.7153513,1.7951351,0.0
how,2.0344865,2.1940541,0.31913519999999984
are,2.1940541,2.3536215,0.15956759999999992
you,2.3536215,2.592973,0.15956740000000025
i'm,5.943892,6.1832433,3.5902705
doing,6.1832433,6.582162,0.23935130000000004
good,6.582162,6.7417297,0.3989187000000003
i,8.816108,9.316108,2.2339459999999995
wanted,9.374595,9.773514,0.5584869999999995
to,9.773514,10.273514,0.39891900000000113
thank,10.332,10.571351,0.5584860000000003
you,10.571351,10.730919,0.2393509999999992
for,10.730919,11.230919,0.15956800000000015
joining,11.847892,12.326594,1.1169729999999998
me,12.326594,12.645729,0.4787020000000002
in,12.645729,12.964865,0.3191349999999993
this,12.964865,13.464865,0.3191360000000003
conversation,13.842486,14.2414055,0.8776209999999995
about,14.2414055,14.7414055,0.39891950000000165
my,15.931526,16.41009,1.690120499999999
sa,16.48985,16.64937,0.5583240000000007
bad,16.64937,17.14937,0.15952000000000055
that,17.207695,17.287455,0.558325
i,17.367214,17.526735,0.15951899999999952
wanna,17.526735,17.845778,0.15952099999999803
take,17.845778,18.24458,0.31904300000000063
and,18.24458,18.74458,0.3988019999999999
i,20.238592,20.398113,1.9940120000000014
just,20.398113,20.557634,0.15952099999999803
wanted,20.557634,20.876677,0.15952100000000158
to,20.876677,21.115957,0.31904300000000063
start,21.115957,21.35524,0.23928000000000083
by,21.35524,21.51476,0.2392829999999968
saying,21.51476,21.993322,0.15952000000000055
that,21.993322,22.493322,0.47856200000000015
i've,22.790928,23.10997,0.7976060000000018
been,23.10997,23.26949,0.3190419999999996
at,23.26949,23.429012,0.15952000000000055
this,23.429012,23.668293,0.15952199999999905
university,23.668293,24.168293,0.2392809999999983
for,24.306377,24.465897,0.6380840000000028
a,24.465897,24.545658,0.159519999999997
really,24.545658,24.784939,0.0797610000000013
long,24.784939,25.103981,0.23928100000000185
time,25.103981,25.423023,0.3190419999999996
and,25.582544,25.662304,0.47856299999999763
i,25.821827,25.981346,0.23928300000000036
really,25.981346,26.220627,0.15951899999999952
value,26.220627,26.539669,0.23928100000000185
my,26.539669,26.778952,0.3190419999999996
time,26.778952,27.097992,0.23928300000000036
here,27.097992,27.337275,0.3190400000000011
and,27.576557,28.076557,0.4785649999999997
i've,28.707115,29.184809,1.1305580000000006
really,29.184809,29.582886,0.4776939999999996
enjoyed,29.582886,29.980963,0.3980769999999971
being,29.980963,30.140194,0.3980770000000007
at,30.140194,30.219809,0.1592310000000019
the,30.219809,30.299423,0.07961500000000044
university,30.37904,30.87904,0.15923099999999835
however,31.095577,31.334423,0.7165369999999989
i,31.573269,31.7325,0.4776920000000011
feel,31.7325,32.05096,0.1592310000000019
really,32.05096,32.28981,0.31846000000000174
burnt,32.28981,32.528656,0.23884999999999934
out,32.528656,32.7675,0.23884599999999523
and,33.006348,33.324806,0.47769200000000467
i,33.48404,33.98404,0.47769199999999756
think,34.120964,34.51904,0.6369240000000005
i,34.598656,35.076347,0.47769199999999756
deserve,35.076347,35.235577,0.4776910000000001
a,35.235577,35.474422,0.15923000000000087
break,35.474422,35.792885,0.23884499999999775
and,36.509422,36.668655,1.0350000000000037
this,36.668655,36.987114,0.1592330000000004
about,36.987114,37.385193,0.31845899999999716
all,37.385193,37.544426,0.39807900000000274
that,37.544426,37.62404,0.1592330000000004
i'm,37.703655,38.203655,0.1592289999999963
trying,38.579422,38.738655,0.8757670000000033
to,38.738655,38.9775,0.1592330000000004
take,38.9775,39.455193,0.23884499999999775
twelve,39.455193,39.773655,0.47769300000000214
month,39.773655,40.273655,0.3184619999999967
twelve,41.062687,41.301624,1.2890319999999988
months,41.301624,41.46091,0.23893699999999995
of,41.46091,41.699844,0.1592860000000016
sailing,41.699844,42.09807,0.23893400000000042
and,42.09807,42.25736,0.3982260000000011
then,42.25736,42.496292,0.1592899999999986
nine,42.496292,42.735226,0.23893199999999837
months,42.735226,42.97416,0.23893400000000042
of,42.97416,43.47416,0.23893400000000042
working,43.611317,44.111317,0.637157000000002
at,44.16883,44.567055,0.5575130000000001
another,44.567055,45.067055,0.3982250000000036
institute,45.124565,45.204212,0.5575099999999935
i,45.443146,45.52279,0.3185810000000018
think,45.52279,45.84137,0.07964400000000182
it'll,45.84137,46.000656,0.3185799999999972
be,46.000656,46.239594,0.1592860000000016
really,46.239594,46.478527,0.23893799999999743
good,46.478527,46.637814,0.23893300000000295
for,46.637814,46.797104,0.15928699999999907
me,46.797104,47.115685,0.1592899999999986
personally,47.115685,47.615685,0.3185810000000018
it'll,47.91213,47.991776,0.7964449999999985
also,47.991776,48.469643,0.07964600000000388
really,48.469643,48.708576,0.47786699999999627
good,48.708576,48.94751,0.23893300000000295
for,48.94751,49.1068,0.23893400000000042
the,49.1068,49.26609,0.1592899999999986
