Word,Start Time,End Time,start_time_diff
hi,3.3019564,3.4610868,0.0
i'm,3.620217,3.7793477,0.3182605999999999
doing,3.7793477,4.018043,0.1591307000000004
alright,4.018043,4.1771736,0.2386952999999994
how,4.336304,4.415869,0.31826100000000057
are,4.415869,4.4954343,0.07956499999999966
you,4.4954343,4.654565,0.0795653000000005
doing,4.654565,4.8932605,0.15913069999999951
twelve,58.670002,58.91,54.015437
months,58.91,59.07,0.23999799999999993
of,59.07,59.31,0.1600000000000037
sailing,59.31,59.550003,0.240000000000002
you,59.550003,59.71,0.24000299999999442
said,59.71,59.870003,0.15999700000000416
okay,63.870003,63.95,4.160002999999996
well,64.19,64.270004,0.31999700000000075
i,64.51,64.590004,0.3200000000000074
mean,64.590004,64.67,0.0800039999999882
first,65.15,65.31,0.5599960000000124
off,65.31,65.39,0.1599999999999966
i,65.55,65.71,0.23999999999999488
hope,65.71,65.79,0.1599999999999966
you,65.79,65.87,0.0800000000000125
have,65.87,65.95,0.0799999999999983
a,65.95,66.11,0.0799999999999983
great,66.11,66.270004,0.1599999999999966
time,66.270004,66.35,0.1600040000000007
do,66.43,66.51,0.1599960000000067
you,66.51,66.590004,0.0799999999999983
know,66.590004,66.67,0.0800039999999882
where,66.67,66.83,0.0799960000000084
you're,66.83,66.99,0.1599999999999966
going,66.99,67.15,0.1599999999999966
to,67.15,67.31,0.1600000000000108
be,67.31,67.47,0.1599999999999966
sailing,67.47,67.71,0.1599999999999966
is,67.965004,68.045,0.49500399999999445
there,68.045,68.285,0.0799960000000084
a,68.285,68.785,0.23999999999999488
you,69.165,69.245,0.8800000000000097
know,69.245,69.405,0.0799999999999983
a,69.485,69.645004,0.23999999999999488
place,69.645004,69.805,0.1600040000000007
in,69.805,69.965004,0.1599960000000067
mind,69.965004,70.285,0.1600039999999865
i,72.445,72.605,2.479996
don't,72.605,73.105,0.1600000000000108
think,73.245,73.565,0.6400000000000006
that,73.565,73.725,0.3199999999999932
we,73.725,73.805,0.1599999999999966
you,74.125,74.205,0.4000000000000057
know,74.205,74.365,0.0799999999999983
we,75.245,75.745,1.0400000000000063
especially,75.965004,76.125,0.7200039999999888
can't,76.125,76.365,0.1599960000000067
pay,76.365,76.445,0.23999999999999488
for,76.445,76.605,0.0799999999999983
twelve,76.605,76.845,0.1600000000000108
months,76.845,77.005005,0.23999999999999488
of,77.005005,77.165,0.16000499999999818
articles,77.165,77.565,0.1599950000000092
so,77.885,78.365,0.7199999999999989
if,78.365,78.525,0.47999999999998977
you're,78.525,78.685,0.1600000000000108
going,78.685,79.005005,0.1599999999999966
i,79.325,79.825,0.6400000000000006
yeah,81.01914,81.258675,1.6941399999999902
there's,81.258675,81.41836,0.2395350000000036
some,81.41836,81.57805,0.1596850000000103
