Word,Start Time,End Time,start_time_diff
hello,5.3722057,5.8722057,0.0
i'm,7.8394413,8.078206,2.4672355999999995
doing,8.078206,8.316971,0.23876469999999994
good,8.316971,8.476147,0.23876500000000078
how,8.635324,8.7945,0.3183530000000001
are,8.7945,8.953676,0.15917599999999865
you,8.953676,9.192441,0.15917600000000043
well,58.445942,58.685375,49.492266
to,59.084435,59.244057,0.6384929999999969
be,59.244057,59.48349,0.15962199999999882
honest,59.48349,59.962357,0.23943300000000534
to,60.68066,60.840282,1.1971699999999998
be,60.840282,60.999905,0.15962199999999882
honest,60.999905,61.239338,0.1596229999999963
that's,61.39896,61.558586,0.39905500000000416
not,61.558586,61.71821,0.15962599999999583
that's,61.87783,62.037453,0.31924400000000475
a,62.037453,62.276886,0.1596229999999963
pretty,62.276886,62.755753,0.23943299999999823
decent,62.755753,63.15481,0.47886700000000104
deal,63.15481,63.394245,0.3990569999999991
though,63.71349,63.952923,0.5586800000000025
i,64.11255,64.19236,0.39905999999999864
would,64.19236,64.43179,0.07980999999999483
like,64.43179,64.83085,0.2394300000000129
to,64.83085,65.33085,0.39905999999999153
negotiate,65.86839,66.107834,1.037540000000007
for,66.107834,66.267456,0.23944399999999177
a,66.267456,66.42708,0.15962199999999882
higher,66.42708,66.92708,0.15962400000000798
price,67.14538,67.46462,0.7182999999999993
given,68.58198,69.08198,1.4365999999999985
given,69.87307,70.37307,1.291089999999997
the,70.430626,70.66957,0.5575560000000053
circumstances,70.66957,71.16957,0.2389439999999894
well,72.02362,72.26257,1.3540500000000009
one,72.501526,72.74047,0.4779060000000044
as,72.97942,73.218376,0.47789400000000626
you,73.218376,73.37767,0.23895600000000172
know,73.37767,73.61662,0.1592939999999885
i'm,74.89102,75.05032,1.5133500000000026
not,75.05032,75.209625,0.15930000000000177
sure,75.209625,75.36892,0.15930500000000336
how,75.36892,75.52822,0.1592950000000002
much,75.52822,75.926476,0.15930000000000177
detail,75.926476,76.24507,0.3982559999999893
was,76.24507,76.484024,0.3185940000000045
given,76.484024,76.88227,0.23895400000000677
before,76.88227,77.12122,0.3982460000000003
but,77.43982,77.93982,0.557549999999992
but,79.271774,79.59037,1.831953999999996
as,79.59037,80.09037,0.31859599999999944
as,80.30722,80.46652,0.716850000000008
you,80.46652,80.625824,0.15930000000000177
know,80.625824,80.705475,0.15930399999999167
i've,80.94442,81.10372,0.31859599999999944
made,81.10372,81.50197,0.15930000000000177
significant,81.50197,82.00197,0.39825000000000443
contributions,82.37812,82.53742,0.8761499999999955
to,82.53742,82.61707,0.15930000000000177
the,82.61707,82.696724,0.07965000000000089
university,82.776375,83.276375,0.15930500000000336
and,83.81182,84.28972,1.0354449999999957
advancement,84.28972,84.60832,0.4779000000000053
in,84.60832,84.68797,0.31860000000000355
the,84.68797,84.847275,0.07965000000000089
field,84.847275,85.08622,0.15930499999998915
and,85.74,86.14,0.8927249999999987
the,86.14,86.38,0.4000000000000057
demands,86.38,86.54,0.23999999999999488
of,86.54,86.7,0.1600000000000108
the,86.7,86.86,0.1599999999999966
career,86.86,87.18,0.1599999999999966
has,87.18,87.34,0.3200000000000074
taken,87.34,87.579994,0.1599999999999966
a,87.579994,87.74,0.23999399999999582
significant,87.74,88.24,0.16000599999999565
toll,88.299995,88.46,0.5599950000000007
so,88.7,89.2,0.40000500000000727
i,89.42,89.579994,0.7199999999999989
know,89.579994,89.899994,0.15999399999999753
that,89.899994,90.14,0.3200000000000074
i,90.299995,90.46,0.40000099999998895
would,90.46,90.78,0.16000499999999818
need,90.78,91.02,0.3200000000000074
to,91.02,91.5,0.23999999999999488
have,91.5,91.82,0.480000000000004
a,91.82,92.14,0.3199999999999932
nine,92.14,92.299995,0.3200000000000074
month,92.299995,92.53999,0.159994999999995
i,93.1,93.42,0.8000049999999987
received,93.42,93.5,0.3200000000000074
the,93.5,93.74,0.0799999999999983
nine,93.74,93.82,0.23999999999999488
month,93.82,94.32,0.0799999999999983
invitation,94.38,94.7,0.5600000000000023
to,94.7,94.78,0.3200000000000074
the,94.78,95.259995,0.0799999999999983
institute,95.259995,95.759995,0.4799950000000024
for,96.06,96.53999,0.8000049999999987
advanced,96.53999,97.02,0.4799900000000008
studies,97.02,97.395,0.48000999999999294
and,97.75445,98.07395,0.7344500000000096
also,98.07395,98.31358,0.3194999999999908
i,98.47334,98.633095,0.3993899999999968
i,98.95261,99.03248,0.47927000000001385
was,99.03248,99.19224,0.07986999999999966
spending,99.19224,99.59162,0.15975999999999146
twelve,99.59162,99.83125,0.39938000000000784
months,99.83125,100.33125,0.23962999999999113
sailing,100.390396,100.70991,0.5591459999999984
the,100.70991,100.78978,0.3195139999999981
pacific,100.94954,101.34892,0.23963000000000534
ocean,101.34892,101.508675,0.39938000000000784
with,101.508675,101.668434,0.15975499999998988
my,101.668434,101.908066,0.1597590000000082
partner,101.908066,102.408066,0.2396320000000003
just,102.46721,102.62696,0.5591439999999892
to,102.62696,102.94647,0.1597500000000025
recover,102.94647,103.265976,0.3195100000000082
and,103.265976,103.345856,0.31950599999998985
that's,103.345856,103.66537,0.07988000000000284
essential,103.66537,103.905,0.3195139999999981
for,103.905,104.06475,0.23963000000000534
my,104.06475,104.38426,0.1597500000000025
recovery,104.38426,104.62389,0.31950999999999397
and,105.18304,105.42267,0.7987800000000078
in,105.42267,105.58242,0.23962999999999113
order,105.58242,105.90193,0.1597500000000025
to,105.90193,106.06168,0.31950999999999397
do,106.06168,106.301315,0.1597500000000025
this,106.301315,106.46107,0.23963500000000693
this,106.62083,106.86046,0.31951499999999555
twenty,106.86046,107.17996,0.23963000000000534
one,107.17996,107.4196,0.3194999999999908
month,107.4196,107.57935,0.2396400000000085
i,107.898865,107.97874,0.47926499999999805
would,107.97874,108.21837,0.07987500000000125
need,108.21837,108.53788,0.23962999999999113
more,108.53788,108.85739,0.3195100000000082
funds,108.85739,109.256775,0.31950999999999397
in,109.256775,109.49641,0.3993850000000094
order,109.49641,109.8958,0.23963499999999271
to,109.8958,110.3958,0.3993899999999968
secure,110.78876,110.948204,0.8929600000000022
this,110.948204,111.2671,0.1594440000000077
and,111.2671,111.426544,0.3188959999999952
just,111.426544,111.926544,0.1594440000000077
yeah,112.14406,112.303505,0.7175159999999892
re,112.54268,113.04268,0.3986200000000082
revamp,113.100746,113.33992,0.5580659999999966
my,113.33992,113.49937,0.23917400000000555
it's,113.65881,114.057434,0.3188899999999961
my,114.057434,114.557434,0.3986239999999981
intellectual,114.77495,114.934395,0.7175160000000034
and,114.934395,115.09384,0.15944499999999096
creativity,115.09384,115.59384,0.15944500000000517
and,115.73163,116.13025,0.6377899999999954
recharge,116.13025,116.44914,0.3986200000000082
myself,116.44914,116.68832,0.3188899999999961
as,116.68832,116.84776,0.2391800000000046
my,116.84776,117.08694,0.15943999999998937
doctor,117.08694,117.40583,0.2391800000000046
said,117.40583,117.645004,0.3188899999999961
so,117.9639,118.36252,0.5580700000000007
in,118.36252,118.521965,0.3986200000000082
order,118.521965,118.92058,0.15944499999999096
to,118.92058,119.23948,0.3986150000000066
have,119.23948,119.478645,0.3188999999999993
this,119.478645,119.978645,0.23916499999999985
done,120.11644,120.355606,0.637794999999997
i,121.07312,121.15285,0.9566800000000057
would,121.15285,121.39201,0.07972999999999786
need,121.39201,121.790634,0.23915999999999826
to,121.790634,122.02981,0.3986239999999981
raise,122.02981,122.52981,0.2391760000000005
