Word,Start Time,End Time,start_time_diff
okay,23.453724,23.693417,0.0
okay,192.1125,192.2721,168.65877600000002
wait,192.5115,192.6711,0.3990000000000009
i'm,193.3095,193.4691,0.7980000000000018
just,193.4691,193.6287,0.1595999999999833
gonna,193.6287,193.9479,0.15960000000001173
clarify,193.9479,194.4479,0.31919999999999504
a,194.5065,194.6661,0.5585999999999842
few,194.6661,194.9055,0.15960000000001173
things,194.9055,195.0651,0.23939999999998918
with,195.0651,195.3045,0.15960000000001173
you,195.3045,195.3843,0.23939999999998918
so,195.6237,195.7833,0.31920000000002346
you,195.7833,195.9429,0.1595999999999833
said,195.9429,196.4429,0.15960000000001173
how,196.8207,197.0601,0.8777999999999793
many,197.0601,197.2995,0.2394000000000176
months,197.2995,197.5389,0.23939999999998918
is,197.5389,197.9379,0.2394000000000176
somatic,197.9379,198.4379,0.3990000000000009
twenty,198.5763,199.0763,0.6383999999999901
one,199.4541,199.7733,0.8778000000000077
or,200.0925,200.4915,0.6383999999999901
is,200.4915,200.6511,0.3990000000000009
that,200.6511,200.7309,0.15960000000001173
was,200.9703,201.1299,0.31919999999999504
that,201.1299,201.3693,0.1595999999999833
correct,201.3693,201.4491,0.2394000000000176
okay,210.18001,210.58,8.81071
and,214.66,214.82,4.479989999999987
then,214.82,215.14,0.1599999999999966
your,215.14,215.64,0.3199999999999932
four,215.78,216.02,0.6400000000000148
hundred,216.02,216.34001,0.2400000000000091
fifty,216.34001,216.74,0.32000999999999635
k,216.74,216.90001,0.3999900000000025
you're,216.90001,217.14,0.16000999999999976
asking,217.14,217.54001,0.2399899999999775
for,217.54001,217.86,0.40001000000000886
you,220.5062,220.74484,2.9661900000000117
is,221.38123,221.54033,0.8750299999999811
that,221.54033,221.77898,0.15910000000002356
for,221.77898,221.93806,0.2386499999999785
the,221.93806,222.01761,0.1590800000000172
ip,222.4949,222.73355,0.556839999999994
or,223.52904,223.92677,1.0341400000000078
are,223.92677,224.08588,0.3977299999999957
you,224.08588,224.32452,0.1591099999999983
saying,224.32452,224.56316,0.23864000000000374
that,224.56316,224.8018,0.23864000000000374
that,224.8018,224.9609,0.23863999999997532
is,224.9609,225.2791,0.15910000000002356
for,225.2791,225.4382,0.31819999999999027
the,225.4382,225.67683,0.15909999999999513
sa,225.67683,225.83594,0.23863000000000056
somatic,225.83594,226.07458,0.1591099999999983
because,226.23367,226.31323,0.3977299999999957
i,226.39278,226.55188,0.1591099999999983
think,226.55188,226.71097,0.15910000000002356
those,226.71097,226.79051,0.15908999999999196
are,226.79051,226.94962,0.0795400000000086
two,226.94962,227.18826,0.1591099999999983
different,227.18826,227.68826,0.23864000000000374
things,228.62013,229.01787,1.431869999999975
because,232.53665,233.03665,3.9165200000000198
the,233.33449,233.49406,0.7978399999999795
university,233.49406,233.99406,0.1595700000000022
can't,234.45146,234.95146,0.9574000000000069
authorize,235.56844,235.96736,1.1169800000000123
more,235.96736,236.20671,0.39892000000000394
than,236.20671,236.60562,0.2393499999999733
six,236.60562,236.84497,0.39891000000000076
months,236.84497,237.16411,0.23935000000000173
of,237.16411,237.40346,0.3191400000000044
paid,237.40346,237.7226,0.23935000000000173
articles,237.7226,238.04173,0.3191400000000044
so,238.2013,238.44066,0.47870000000000346
you,238.44066,238.60022,0.2393600000000049
can,238.60022,238.75978,0.15955999999999904
have,238.75978,238.91936,0.15955999999999904
a,238.91936,238.99915,0.15958000000000538
sa,238.99915,239.1587,0.07978999999997427
article,239.1587,239.6587,0.15955000000002428
of,239.79698,240.1161,0.6382799999999804
more,240.1161,240.35547,0.31911999999999807
than,240.35547,240.51503,0.23937000000000808
i'm,240.83417,240.91396,0.47870000000000346
just,240.91396,241.07352,0.07979000000000269
like,241.07352,241.1533,0.15955999999999904
looking,241.31287,241.55222,0.23935000000000173
at,241.55222,241.87135,0.23935000000000173
my,241.87135,242.37135,0.31913000000000125
things,243.22768,243.46703,1.3563299999999856
that,243.46703,243.6266,0.23935000000000173
i,243.70638,243.86595,0.23935000000000173
have,243.86595,244.26486,0.1595700000000022
to,244.26486,244.66379,0.39891000000000076
follow,246.43475,246.91441,2.1698900000000094
and,248.27348,248.77348,1.8387299999999982
i,249.15288,249.31277,0.879400000000004
can,249.31277,249.7125,0.1598899999999901
offer,249.7125,250.19217,0.39973000000000525
like,250.432,250.51195,0.7194999999999823
the,250.59189,250.83173,0.15989000000001852
university,250.83173,251.33173,0.23983999999998673
can,251.71112,252.0309,0.8793900000000008
offer,252.0309,252.51057,0.3197800000000086
sa,252.51057,252.67047,0.4796699999999987
articles,252.67047,253.15013,0.15989999999999327
of,253.15013,253.38997,0.47965999999999553
up,253.38997,253.54987,0.23984000000001515
to,253.54987,253.86964,0.15989999999999327
twenty,253.86964,254.10947,0.31977000000000544
four,254.10947,254.42926,0.23982999999998356
months,254.42926,254.58914,0.3197900000000118
which,254.82898,255.06882,0.3997200000000021
so,255.46854,255.5485,0.6395599999999888
like,255.70837,255.86827,0.23983000000001198
you,256.4279,256.58777,0.7195300000000202
are,256.58777,256.8276,0.15986999999995533
able,256.8276,257.06744,0.2398300000000404
to,257.06744,257.30728,0.2398399999999583
take,257.30728,257.80728,0.23984000000001515
your,258.18668,258.68668,0.8794000000000324
twelve,258.9861,259.3059,0.7994199999999978
months,259.3059,259.70563,0.31979999999998654
of,259.70563,260.20563,0.3997299999999768
vacation,261.63605,262.13605,1.9304200000000264
and,262.19382,262.59222,0.557770000000005
the,262.59222,262.83127,0.398399999999981
nine,262.83127,263.15,0.2390500000000202
months,263.15,263.65,0.31872999999995955
at,263.70776,264.0265,0.5577600000000302
the,264.0265,264.4249,0.31873999999999114
research,264.4249,264.9249,0.398399999999981
institution,265.46075,265.62012,1.035850000000039
however,266.41693,266.89502,0.9561799999999607
for,267.13406,267.29343,0.7171299999999974
like,267.3731,267.53247,0.23904000000004544
the,267.69183,268.01056,0.31872999999995955
paid,268.01056,268.48865,0.3187300000000164
sa,268.48865,268.648,0.4780900000000088
vatican,268.648,269.148,0.15935000000001764
it,270.08228,270.24164,1.434280000000001
can,270.24164,270.401,0.1593599999999924
only,270.401,270.71973,0.1593599999999924
be,270.71973,270.95877,0.3187300000000164
six,270.95877,271.2775,0.2390399999999886
months,271.2775,271.59622,0.31872999999995955
alright,279.91446,280.15408,8.636960000000045
okay,316.3473,316.5069,36.43284
oh,322.7313,322.8909,6.383999999999958
wait,323.0505,323.21008,0.31920000000002346
are,323.6091,323.8485,0.5586000000000126
we,323.8485,324.0879,0.23939999999998918
so,324.2475,324.4869,0.3990000000000009
we're,324.4869,324.64648,0.23939999999998918
supposed,324.64648,324.8859,0.15958000000000538
to,324.8859,325.1253,0.23941999999999553
make,325.1253,325.2051,0.23939999999998918
like,325.3647,325.4445,0.23940000000004602
a,325.5243,326.0243,0.1595999999999549
deal,326.0829,326.2425,0.5586000000000126
right,326.5617,326.7213,0.47879999999997835
that,328.6512,328.89056,2.0895000000000437
is,328.89056,329.05014,0.23935999999997648
like,329.05014,329.2895,0.15958000000000538
the,329.2895,329.44907,0.23935999999997648
goal,329.44907,329.7682,0.15957000000003063
okay,331.6032,331.84256,2.154130000000009
so,335.67218,336.17218,4.0689800000000105
the,336.47003,336.70938,0.7978499999999826
university,336.70938,337.20938,0.23935000000000173
thinks,337.587,337.90613,0.877619999999979
that,337.90613,338.40613,0.31913000000002967
so,339.34225,339.74118,1.4361199999999599
we,339.74118,339.90073,0.3989300000000071
can,339.90073,340.14008,0.15955000000002428
offer,340.14008,340.64008,0.23935000000000173
the,344.38248,344.6217,4.242399999999975
standard,344.6217,345.1217,0.23921999999998889
salary,345.17993,345.67993,0.5582300000000373
of,345.73813,346.2166,0.5581999999999994
the,346.2166,346.7166,0.4784700000000157
like,347.17355,347.33304,0.9569499999999493
paid,347.49252,347.99252,0.3189700000000357
the,348.44946,348.60895,0.9569399999999746
bat,348.60895,348.92792,0.15949000000000524
goal,348.92792,349.42792,0.3189699999999789
is,349.64563,350.14563,0.717710000000011
ten,350.52283,350.8418,0.8772000000000162
thousand,350.8418,351.32028,0.3189699999999789
per,351.32028,351.5595,0.4784800000000473
month,351.5595,351.87848,0.23921999999998889
which,352.35696,352.51645,0.797460000000001
i,352.67593,352.83542,0.3189699999999789
guess,352.83542,352.99493,0.15949000000000524
could,352.99493,353.15442,0.1595100000000116
be,353.15442,353.23416,0.15949000000000524
like,353.3139,353.4734,0.15947999999997364
plus,353.63287,353.79236,0.3189700000000357
or,353.79236,353.95187,0.1594899999999484
minus,353.95187,354.45187,0.1595100000000116
a,354.51007,354.66956,0.5581999999999994
little,354.66956,354.82904,0.15949000000000524
bit,354.82904,354.98856,0.1594800000000305
it,355.14804,355.22778,0.31899999999996
says,355.22778,355.54675,0.07974000000001524
that,355.54675,355.78598,0.3189699999999789
is,355.78598,356.02524,0.23923000000002048
the,356.02524,356.26447,0.23926000000000158
standard,356.26447,356.76447,0.23923000000002048
and,356.90244,357.40244,0.6379699999999957
considering,358.11325,358.61325,1.2108099999999808
you,359.1491,359.30847,1.0358499999999822
are,359.30847,359.54752,0.159370000000024
a,359.54752,359.70688,0.2390500000000202
star,359.70688,360.0256,0.1593599999999924
scientist,360.0256,360.5256,0.3187199999999848
i,362.09732,362.25668,2.0717200000000275
think,362.25668,362.49573,0.1593599999999924
that,362.49573,362.99573,0.23904999999996335
like,363.5316,363.61127,1.0358700000000454
that,363.77063,364.00967,0.239029999999957
could,364.00967,364.50967,0.23904000000004544
be,364.96585,365.46585,0.9561799999999607
slightly,367.43597,367.83438,2.4701200000000085
higher,367.83438,368.33438,0.3984100000000126
in,368.71088,368.94992,0.8764999999999645
your,368.94992,369.18896,0.23904000000004544
case,369.18896,369.5077,0.2390399999999886
i,370.87915,371.03897,1.6901899999999728
so,371.51834,371.83795,0.6391900000000419
that,371.83795,371.99774,0.31960999999995465
would,371.99774,372.23746,0.15979000000004362
leave,372.23746,372.73746,0.23971999999997706
if,373.59573,373.75555,1.3582700000000045
you're,373.75555,373.99524,0.15982000000002472
asking,373.99524,374.39474,0.23968999999999596
for,374.39474,374.71432,0.3994999999999891
four,374.71432,374.87415,0.31957999999997355
hundred,374.87415,375.19373,0.15982999999999947
fifty,375.19373,375.59323,0.3195800000000304
total,375.59323,375.83292,0.3994999999999891
that,375.99274,376.23242,0.3995100000000207
would,376.23242,376.63193,0.23967999999996437
still,376.63193,376.79172,0.3995100000000207
leave,376.79172,376.8716,0.15978999999998678
like,377.03143,377.19122,0.2397100000000023
at,377.4309,377.67062,0.399470000000008
least,377.67062,377.9103,0.23971999999997706
three,377.9103,378.15002,0.2396800000000212
hundred,378.15002,378.65002,0.23971999999997706
eighty,379.0289,379.3485,0.8788800000000379
k,379.3485,379.6681,0.3195999999999799
which,380.78668,381.0264,1.4381799999999885
the,381.0264,381.1862,0.2397200000000339
university,381.1862,381.6862,0.15979999999996153
thinks,381.82538,381.9852,0.6391800000000103
is,381.9852,382.145,0.15982000000002472
a,382.145,382.38467,0.15979999999996153
little,382.38467,382.5445,0.23967000000004646
bit,382.5445,382.94397,0.15982999999999947
high,382.94397,383.42337,0.39946999999995114
