Word,Start Time,End Time,start_time_diff
hi,4.4291177,4.5089216,0.0
can,4.9079413,5.067549,0.4788236000000001
you,5.067549,5.1473527,0.15960769999999957
hear,5.1473527,5.3867645,0.07980370000000025
me,5.3867645,5.5463724,0.23941180000000006
hi,15.927406,16.007027,10.5406415
can,16.325514,16.405136,0.3981079999999988
you,16.405136,16.644001,0.07962200000000053
hear,16.644001,16.803244,0.23886500000000055
me,16.803244,16.962486,0.15924300000000002
hi,33.467106,33.546825,16.663862
can,33.706264,33.78598,0.2391579999999962
you,33.78598,34.02514,0.07971600000000478
hear,34.02514,34.264297,0.23915999999999826
me,34.264297,34.423737,0.23915699999999873
yes,55.52,55.68,21.255703000000004
i,55.920002,56.08,0.40000199999999353
can,56.08,56.16,0.15999800000000164
hear,56.16,56.32,0.0799999999999983
you,56.32,56.48,0.1600000000000037
now,56.48,56.56,0.1599999999999966
it,56.72,56.88,0.240000000000002
was,56.88,57.28,0.1600000000000037
working,57.28,57.68,0.3999999999999986
good,57.68,58.16,0.3999999999999986
when,58.16,58.4,0.4799999999999969
when,58.72,58.8,0.5600000000000023
i,58.96,59.04,0.240000000000002
was,59.04,59.28,0.0799999999999983
entering,59.28,59.440002,0.240000000000002
the,59.440002,59.52,0.16000199999999865
room,59.52,59.6,0.07999800000000334
so,59.760002,59.84,0.24000199999999694
i,60.0,60.08,0.23999799999999993
wasn't,60.08,60.4,0.0799999999999983
sure,60.4,60.56,0.3200000000000003
yeah,63.2,63.36,2.8000000000000043
well,63.6,63.68,0.3999999999999986
how,63.84,63.92,0.240000000000002
are,63.92,64.08,0.0799999999999983
you,64.08,64.24,0.1599999999999966
okay,67.215,67.375,3.135000000000005
perfect,67.615,68.015,0.3999999999999915
well,68.575,68.815,0.960000000000008
evan,70.095,70.335,1.519999999999996
well,70.495,70.575,0.4000000000000057
let's,70.655,70.815,0.1599999999999966
get,70.815,70.975,0.1599999999999966
to,70.975,71.055,0.1599999999999966
the,71.055,71.295,0.0800000000000125
role,71.295,71.375,0.23999999999999488
great,72.415,72.895,1.1200000000000045
great,72.895,73.135,0.47999999999998977
talking,73.135,73.375,0.2400000000000091
to,73.375,73.535,0.23999999999999488
you,73.535,73.935,0.1599999999999966
today,73.935,74.095,0.4000000000000057
yes,76.495,76.655,2.5600000000000023
so,76.895,76.975,0.3999999999999915
i,77.135,77.215,0.2400000000000091
would,77.215,77.375,0.0799999999999983
just,77.375,77.535,0.1599999999999966
like,77.535,77.695,0.1599999999999966
to,77.695,77.854996,0.1599999999999966
learn,77.854996,78.095,0.1599960000000067
more,78.095,78.255,0.240003999999999
about,78.255,78.495,0.1599999999999966
you,78.495,78.575,0.2400000000000091
