Word,Start Time,End Time,start_time_diff
okay,6.755432,6.9952703,0.0
wait,7.155162,7.395,0.3997299999999999
where,7.8746753,8.034568,0.7195133
do,8.034568,8.114513,0.15989270000000033
we,8.114513,8.354351,0.07994500000000038
start,8.354351,8.514243,0.23983799999999889
do,8.834027,8.913973,0.4796760000000013
you,8.913973,8.993918,0.07994599999999963
just,8.993918,9.1538105,0.07994500000000038
let,9.1538105,9.393648,0.15989249999999977
know,9.393648,9.55354,0.23983750000000015
like,9.55354,10.05354,0.15989199999999926
negotiating,10.113162,10.353,0.559622000000001
oh,17.320827,17.640299,7.207665
wait,17.879902,17.959768,0.559075
i'm,18.199371,18.438974,0.319468999999998
i'm,18.59871,18.678577,0.3993390000000012
looking,18.678577,18.918179,0.07986700000000013
at,18.918179,18.998047,0.23960199999999787
the,18.998047,19.23765,0.07986800000000116
thing,19.23765,19.55712,0.2396029999999989
on,19.55712,19.636988,0.3194700000000026
the,19.636988,19.796722,0.07986799999999761
side,19.796722,19.87659,0.15973400000000026
is,20.116192,20.19606,0.3194700000000026
this,20.19606,20.355795,0.07986799999999761
just,20.355795,20.435663,0.1597350000000013
like,20.51553,20.675266,0.15973499999999774
notes,20.914867,21.15447,0.3993370000000027
okay,21.793411,21.953146,0.878543999999998
okay,30.666656,30.826094,8.873245
so,31.065252,31.463848,0.3985960000000013
hello,31.463848,31.782722,0.39859599999999773
star,32.579914,32.819073,1.1160660000000036
scientists,32.819073,33.319073,0.2391590000000008
so,36.087555,36.406433,3.2684819999999988
as,36.406433,36.725307,0.318877999999998
provost,36.725307,37.20362,0.318874000000001
we,37.761658,37.921093,1.0363509999999962
see,37.921093,38.080532,0.159435000000002
that,38.080532,38.31969,0.159438999999999
you're,38.31969,38.479126,0.2391580000000033
trying,38.479126,38.718285,0.15943599999999947
to,38.718285,38.957443,0.2391590000000008
move,38.957443,39.276318,0.2391579999999962
out,39.276318,39.435757,0.31887500000000557
of,39.435757,39.674915,0.159438999999999
for,41.364624,41.44452,1.9288669999999968
university,41.52441,42.02441,0.15978600000000398
and,42.32334,42.722805,0.7989299999999986
do,42.722805,42.962486,0.3994649999999993
some,42.962486,43.462486,0.23968099999999737
research,44.480453,44.959812,1.5179669999999987
outside,44.959812,45.43917,0.4793590000000023
for,45.43917,45.838634,0.47935799999999773
medical,45.838634,46.238102,0.3994640000000018
we,48.07564,48.31532,2.237006000000001
love,48.31532,48.475105,0.2396799999999999
your,48.475105,48.714787,0.1597849999999994
time,48.714787,49.194145,0.23968200000000195
at,49.194145,49.513718,0.47935799999999773
our,49.513718,50.013718,0.31957299999999833
institution,50.15286,50.312645,0.6391419999999997
we'd,50.47243,50.552326,0.3195700000000059
would,50.552326,50.632217,0.07989599999999797
love,50.632217,50.792004,0.07989099999999638
to,50.792004,50.95179,0.15978700000000146
keep,50.95179,51.111576,0.15978600000000398
you,51.111576,51.351257,0.15978599999999687
and,51.830612,52.070293,0.7190360000000027
so,52.070293,52.570293,0.23968099999999737
we,52.78933,52.949116,0.7190370000000001
see,52.949116,53.108902,0.15978599999999687
that,53.108902,53.26869,0.15978600000000398
you're,53.26869,53.428474,0.15978799999999893
trying,53.428474,53.748047,0.15978400000000192
to,53.748047,54.248047,0.31957299999999833
i,56.31894,56.478333,2.570892999999998
guess,56.478333,56.558033,0.15939300000000145
like,56.717426,56.797123,0.239093000000004
sell,56.956516,57.11591,0.23908999999999736
your,57.11591,57.355,0.15939399999999893
path,57.355,57.434696,0.23908999999999736
your,57.753487,57.992577,0.3984870000000029
patents,57.992577,58.311363,0.23908999999999736
and,58.630154,59.130154,0.6375770000000003
i,63.49167,63.571365,4.861516000000002
don't,63.571365,63.73076,0.07969500000000096
know,63.73076,63.810455,0.1593949999999964
so,65.08561,65.3247,1.354850000000006
in,65.3247,65.48409,0.23909000000000447
our,65.48409,65.72318,0.1593899999999877
minds,65.72318,65.96227,0.23909000000000447
we,66.20136,66.360756,0.4781799999999947
see,66.360756,66.52015,0.15939600000000098
that,66.52015,66.83894,0.15939400000000603
you,66.83894,66.91864,0.3187899999999928
wanna,66.91864,67.15773,0.07970000000000255
just,67.15773,67.47652,0.23909000000000447
medical,67.47652,67.7953,0.3187899999999928
we,68.35318,68.51257,0.8766600000000011
can,68.51257,68.67197,0.15939000000000192
offer,68.67197,68.911064,0.1594000000000051
you,68.911064,69.07046,0.23909399999999437
a,69.07046,69.22985,0.15939600000000098
six,69.22985,69.72985,0.15939000000000192
week,69.867424,70.367424,0.6375740000000008
sa,70.983185,71.222275,1.1157610000000062
