Word,Start Time,End Time,start_time_diff
hello,2.198604,2.6782994,0.0
okay,5.9562182,6.196066,3.7576142000000003
i,11.312817,11.552665,5.3565988
guess,11.552665,11.792513,0.2398479999999985
with,12.831853,12.991751,1.2791880000000013
these,12.991751,13.311548,0.1598980000000001
all,13.311548,13.471446,0.31979699999999944
the,13.471446,13.631345,0.1598980000000001
time,13.631345,13.791244,0.15989899999999935
okay,15.310279,15.470178,1.678934
okay,47.44934,47.76829,32.139061
okay,73.580345,73.89886,26.131004999999995
six,76.60619,76.84508,3.025845000000004
weeks,76.84508,77.08396,0.23888999999999783
okay,101.77853,101.93806,24.933450000000008
well,102.65594,102.975,0.8774099999999976
thank,103.29406,103.45359,0.6381200000000007
you,103.45359,103.772644,0.15953000000000372
for,103.772644,104.251236,0.3190539999999942
meeting,104.809586,105.12865,1.0369419999999963
with,105.12865,105.36794,0.31906399999999735
me,105.36794,105.687,0.2392900000000111
it's,106.404884,106.64417,1.0369439999999912
talk,106.64417,107.043,0.239286000000007
box,107.043,107.44182,0.3988300000000038
medical,107.44182,107.840645,0.3988200000000006
okay,109.43594,109.59547,1.9941199999999952
so,110.23359,110.63241,0.7976500000000044
as,110.63241,110.79194,0.3988199999999864
you,110.79194,110.95147,0.15953000000000372
know,110.95147,111.27053,0.15953000000000372
like,112.14794,112.466995,1.196470000000005
i,113.44,113.520004,1.2920599999999922
have,113.520004,113.920006,0.0800040000000024
contributed,113.920006,114.240005,0.40000200000000063
a,114.240005,114.4,0.3199989999999957
lot,114.4,114.64001,0.1599950000000092
to,114.64001,114.8,0.24000999999999806
this,114.8,115.04,0.15998999999999342
senior,115.04,115.54,0.2400000000000091
this,115.840004,116.340004,0.8000039999999871
institution,116.48,116.98,0.6399960000000107
with,117.12,117.44,0.6400000000000006
my,117.44,117.76,0.3199999999999932
with,119.76,119.920006,2.3200000000000074
all,119.920006,120.08,0.16000599999999565
the,120.08,120.240005,0.15999399999999753
research,120.240005,120.4,0.16000499999999818
that,120.4,120.48,0.1599950000000092
i've,120.560005,120.8,0.16000499999999818
done,120.8,121.12,0.2399949999999933
i,122.880005,123.04,2.080005
do,123.04,123.36,0.1599950000000092
believe,123.36,123.44,0.3199999999999932
there,123.44,123.520004,0.0799999999999983
are,123.520004,123.840004,0.0800040000000024
many,123.840004,124.240005,0.3199999999999932
other,124.240005,124.64,0.40000100000000316
universities,124.64,125.14,0.3999950000000041
that,125.200005,125.36,0.5600050000000039
have,125.36,125.68,0.159994999999995
shown,125.68,126.08,0.3200000000000074
interest,126.08,126.48,0.3999999999999915
in,126.48,126.72,0.4000000000000057
having,126.72,127.04,0.23999999999999488
younger,127.04,127.36,0.3200000000000074
team,127.36,127.600006,0.3199999999999932
however,128.17453,128.41423,0.8145300000000049
i,128.65392,128.73381,0.4793899999999951
do,128.73381,128.9735,0.07989000000000601
enjoy,128.9735,129.2132,0.23968999999999596
my,129.2132,129.37299,0.23969999999999914
time,129.37299,129.61267,0.15978999999998678
here,129.61267,129.69257,0.2396800000000212
so,132.48894,132.98894,2.876270000000005
with,134.24666,134.48634,1.7577199999999777
that,134.48634,134.72604,0.2396800000000212
i,135.12552,135.28531,0.6391799999999819
do,135.28531,135.6848,0.1597900000000152
also,135.6848,136.1848,0.3994899999999859
want,136.32396,136.48376,0.639160000000004
to,136.48376,136.80334,0.15979999999998995
mention,136.80334,137.12292,0.319580000000002
that,137.12292,137.62292,0.319580000000002
it,137.6822,137.92189,0.5592800000000011
has,137.92189,138.16159,0.23968999999999596
been,138.16159,138.66159,0.23969999999999914
recommended,138.72086,139.04044,0.5592699999999979
to,139.04044,139.20024,0.319580000000002
me,139.20024,139.36003,0.15980000000001837
to,140.87805,141.11775,1.6778099999999938
take,141.11775,141.51723,0.23969999999999914
time,141.51723,141.75693,0.39948000000001116
from,141.75693,141.99661,0.23969999999999914
my,141.99661,142.1564,0.2396799999999928
mental,142.1564,142.55588,0.15978999999998678
health,142.55588,142.71568,0.39948000000001116
you,144.16805,144.32771,1.6121699999999919
know,144.32771,144.48737,0.15966000000000236
research,144.8067,145.04619,0.47899000000001024
is,145.04619,145.44534,0.23948999999998932
extensive,145.44534,145.8445,0.3991499999999917
it's,146.00415,146.50415,0.5588100000000225
stressful,149.11754,149.59653,3.1133899999999812
okay,150.15533,150.315,1.037790000000001
yes,150.71416,150.95364,0.5588300000000004
and,151.9116,152.3906,1.1974400000000003
six,154.38635,154.70567,2.4747500000000002
months,154.70567,155.18466,0.3193200000000047
is,155.18466,155.68466,0.47899000000001024
a,155.74347,155.90314,0.558809999999994
long,155.90314,156.14262,0.15967000000000553
time,156.14262,156.30229,0.23947999999998615
however,156.78127,157.18042,0.6386500000000126
i,157.59425,157.67395,0.8129799999999818
would,157.67395,157.91304,0.07970000000000255
like,157.91304,158.23183,0.23909000000000447
to,158.23183,158.39122,0.318790000000007
maybe,158.39122,158.8694,0.15939000000000192
extend,158.8694,159.10849,0.47818000000000893
that,159.10849,159.26788,0.23908999999997604
extend,161.4994,161.6588,2.3909100000000194
that,161.6588,161.89789,0.1594000000000051
time,161.89789,161.97758,0.23908999999997604
yes,162.13698,162.37607,0.23909000000000447
how,163.73091,163.8903,1.5939300000000003
about,163.8903,164.1294,0.15939000000000192
okay,164.52788,164.68727,0.637580000000014
oh,169.1503,169.3894,4.622419999999977
yeah,169.78789,169.86758,0.6375900000000172
but,170.02698,170.18637,0.23909000000000447
i,170.26607,170.34576,0.23909000000000447
would,170.34576,170.50516,0.07968999999999937
like,170.50516,170.58485,0.15939999999997667
to,170.58485,170.74425,0.07968999999999937
extend,170.74425,170.98334,0.1594000000000051
that,170.98334,171.06303,0.23909000000000447
i,171.30212,171.38182,0.31878000000000384
would,171.38182,171.62091,0.07970000000000255
like,171.62091,171.7803,0.23909000000000447
to,171.7803,171.9397,0.15939000000000192
see,171.9397,172.09909,0.15939999999997667
like,172.25848,172.33818,0.31878000000000384
what,172.57727,173.07727,0.318790000000007
is,173.62851,173.86769,1.051240000000007
the,173.86769,174.02715,0.2391800000000046
highest,174.02715,174.52715,0.15945999999999572
amount,174.58525,174.7447,0.558099999999996
of,174.7447,175.06361,0.15944999999999254
months,175.06361,175.56361,0.3189100000000167
or,175.62172,175.8609,0.5581099999999992
how,175.8609,176.02036,0.2391799999999762
much,176.02036,176.41899,0.15946000000002414
months,176.41899,176.91899,0.39862999999999715
would,177.05682,177.21628,0.6378299999999797
you,177.21628,177.37573,0.15946000000002414
be,177.37573,177.53519,0.15944999999999254
comfortable,177.53519,178.01357,0.15945999999999572
with,178.01357,178.51357,0.47837999999998715
going,178.57166,178.89058,0.5580900000000213
up,178.89058,179.12976,0.31891999999999143
to,179.12976,179.28922,0.2391800000000046
we'll,180.48514,180.72432,1.3553799999999967
start,180.72432,180.88377,0.2391800000000046
with,180.88377,181.04324,0.15944999999999254
that,181.04324,181.2027,0.1594699999999989
okay,223.88042,224.11943,42.83717999999999
interesting,245.70792,246.20792,21.827500000000015
okay,248.81822,249.21698,3.110299999999995
so,250.0145,250.41325,1.1962800000000016
six,250.41325,250.65251,0.3987500000000068
months,250.65251,251.13103,0.23926000000000158
is,251.13103,251.37027,0.47852000000000317
the,251.37027,251.60953,0.23923999999999523
cat,251.60953,251.84879,0.23926000000000158
pop,251.84879,252.08804,0.23926000000000158
you,256.56958,256.72934,4.720789999999965
know,256.72934,256.969,0.15976000000000568
i,257.36838,257.52814,0.6390400000000227
think,257.52814,258.02814,0.15976000000000568
for,258.8062,259.12573,1.2780599999999822
the,259.12573,259.2855,0.3195299999999861
time,259.2855,259.52512,0.15977000000003727
i,259.76477,259.84464,0.47926999999998543
have,259.84464,260.24405,0.07987000000002809
invested,260.24405,260.74405,0.39940999999998894
into,260.96295,261.2026,0.7188999999999623
university,261.2026,261.7026,0.2396500000000401
you,262.8002,262.88007,1.5976
know,262.88007,263.03983,0.07986999999997124
i,263.27948,263.35934,0.39940999999998894
would,263.35934,263.599,0.07985999999999649
expect,263.599,263.75873,0.23966000000001486
a,263.75873,263.9185,0.15973000000002457
little,263.9185,264.238,0.15976999999998043
wiggle,264.238,264.55753,0.319500000000005
room,264.55753,265.05753,0.3195299999999861
you,265.51608,265.67584,0.9585500000000025
know,265.67584,265.75574,0.15976000000000568
a,265.8356,265.99536,0.15976000000000568
little,265.99536,266.49536,0.15976000000000568
more,267.27344,267.67285,1.2780799999999886
time,267.67285,268.17285,0.39940999999998894
you,269.764,269.84363,2.0911500000000274
know,269.84363,269.92325,0.07963000000000875
you,270.08246,270.24167,0.2388300000000072
do,270.24167,270.3213,0.1592099999999732
want,270.3213,270.4805,0.07963000000000875
me,270.4805,270.6397,0.15919999999999845
to,270.6397,270.79892,0.15919999999999845
come,270.79892,270.95813,0.1592200000000048
back,270.95813,271.11737,0.1592099999999732
right,271.27658,271.35617,0.3184500000000412
sounds,271.595,271.83383,0.31842000000000326
good,271.83383,271.99304,0.23882999999995036
okay,275.09775,275.33658,3.2639200000000415
so,275.8142,276.29187,0.7164500000000089
okay,278.04324,278.20245,2.2290399999999977
how,278.52087,278.7597,0.47762999999997646
about,278.7597,279.15775,0.2388300000000072
okay,280.03345,280.19266,1.2737500000000068
you,280.5907,280.7499,0.5572500000000105
know,280.7499,281.06833,0.15919999999999845
i,281.9595,282.4383,1.2095999999999663
understand,282.4383,282.75748,0.4788000000000352
how,283.15646,283.31604,0.7181599999999548
about,283.31604,283.55545,0.15958000000000538
we,283.55545,283.71503,0.23941000000002077
come,283.71503,283.87463,0.15958000000000538
back,283.87463,284.0342,0.15960000000001173
to,284.0342,284.19382,0.1595699999999738
this,284.19382,284.69382,0.15962000000001808
this,285.0716,285.31097,0.8777799999999729
part,285.31097,285.55035,0.23937000000000808
and,287.86447,288.02408,2.5534999999999854
you,288.02408,288.26346,0.15961000000004333
said,288.26346,288.58264,0.23937999999998283
ten,288.58264,288.82205,0.3191800000000171
thousand,288.82205,289.3008,0.23940999999996393
per,289.3008,289.46042,0.4787499999999909
month,289.46042,289.6998,0.15962000000001808
okay,299.29382,299.5337,9.833399999999983
okay,302.57172,302.8915,3.277900000000045
yes,304.1707,304.3306,1.5989799999999832
i,304.6504,305.0501,0.4796999999999798
i,305.21002,305.71002,0.5596199999999953
agree,305.76965,305.92957,0.5596300000000269
with,305.92957,306.08945,0.15991999999999962
them,306.08945,306.24936,0.15987999999998692
okay,307.84833,308.0082,1.7588799999999765
so,309.28738,309.78738,1.4390500000000088
how,309.84705,310.32672,0.5596700000000396
how,310.32672,310.56656,0.4796699999999987
much,310.56656,311.06656,0.2398399999999583
would,311.12622,311.2861,0.559660000000008
you,311.2861,311.446,0.15987999999998692
be,311.446,311.68585,0.1599000000000501
able,311.68585,311.9257,0.2398499999999899
to,311.9257,312.0856,0.2398499999999899
offer,312.0856,312.4054,0.15989999999999327
for,312.4054,312.64523,0.31979999999998654
that,312.64523,312.88507,0.2398300000000404
portfolio,313.61755,314.0956,0.9723199999999679
okay,350.69366,350.85355,37.07611000000003
we,351.09338,351.2533,0.3997200000000021
would,351.2533,351.41318,0.15991999999999962
even,351.41318,351.49313,0.15987999999998692
mean,351.49313,351.57306,0.07994999999999663
by,351.57306,351.81293,0.07992999999999029
that,351.81293,351.89285,0.23986999999999625
like,352.05276,352.21265,0.23982999999998356
if,352.2926,352.45248,0.23984000000001515
i,352.6124,353.1124,0.31979999999998654
want,353.41187,353.73166,0.7994700000000421
more,353.73166,353.9715,0.31978999999995494
time,353.9715,354.4512,0.23984000000001515
that,354.4512,354.77097,0.4796999999999798
reduces,354.77097,355.17072,0.31977000000000544
the,355.17072,355.33063,0.39975000000004
price,355.33063,355.6504,0.15990999999996802
okay,364.76492,365.00436,9.434290000000033
you,365.3236,365.56302,0.5586799999999812
said,365.56302,365.9621,0.23941999999999553
two,365.9621,366.20154,0.3990800000000263
hundred,366.20154,366.52078,0.23944000000000187
thousand,366.52078,366.91983,0.3192399999999793
okay,371.24393,371.4833,4.7231499999999755
so,372.36096,372.86096,1.1170299999999997
there's,373.87692,374.27585,1.5159600000000069
quite,374.27585,374.43542,0.3989300000000071
a,374.43542,374.595,0.15957000000003063
lot,374.595,374.75458,0.15958000000000538
you,376.90884,377.06842,2.3138399999999706
know,377.06842,377.30777,0.15958000000000538
work,378.02585,378.18542,0.957429999999988
went,378.18542,378.42477,0.15957000000003063
into,378.42477,378.58435,0.23935000000000173
that,378.58435,378.9035,0.15957999999994854
portfolio,378.9035,379.14288,0.319150000000036
yes,379.38223,379.62158,0.47872999999998456
so,380.57904,381.07904,1.1968100000000277
let's,384.425,384.745,3.845959999999991
see,384.745,385.06497,0.3199999999999932
i,385.705,385.865,0.9599999999999795
do,385.865,386.34497,0.160000000000025
recall,386.34497,386.84497,0.47996999999998025
having,386.985,387.485,0.6400300000000243
a,387.54498,387.865,0.5599799999999959
oh,388.82498,389.32498,1.2799999999999727
okay,389.54498,389.705,0.7200000000000273
i,391.305,391.54498,1.7600199999999973
do,391.54498,391.94498,0.23998000000000275
recall,391.94498,392.26498,0.39999999999997726
having,392.26498,392.745,0.3199999999999932
a,392.745,392.985,0.48002000000002454
colleague,392.985,393.485,0.2400000000000091
who,393.94498,394.26498,0.9599799999999732
sold,394.26498,394.76498,0.3199999999999932
their,394.985,395.38498,0.7200200000000336
portfolio,395.38498,395.88498,0.3999799999999709
for,395.94498,396.185,0.5600000000000023
four,396.185,396.425,0.24002000000001544
hundred,396.425,396.745,0.2400000000000091
thousand,396.745,397.145,0.3199999999999932
so,399.8754,400.3754,3.1304000000000087
that,400.51407,400.75357,0.6386699999999905
is,400.75357,400.91324,0.23950000000002092
i,401.39224,401.5519,0.6386699999999905
do,401.5519,401.7914,0.15965999999997393
believe,401.7914,402.0309,0.23950000000002092
you,402.19058,402.35025,0.3991800000000012
know,402.35025,402.50992,0.15967000000000553
my,403.1486,403.30823,0.7983499999999708
work,403.30823,403.62756,0.15962999999999283
is,403.62756,404.12756,0.3193300000000363
up,404.50574,404.6654,0.8781799999999862
to,404.6654,404.82507,0.15965999999997393
that,404.82507,404.98474,0.15967000000000553
level,404.98474,405.3839,0.15967000000000553
and,406.10242,406.34192,1.1176800000000071
i,406.42175,406.5016,0.31932999999997946
do,406.5016,406.66125,0.07985000000002174
think,406.66125,406.90076,0.15964999999999918
it,406.90076,406.9806,0.23950999999999567
would,406.9806,407.14023,0.07983999999999014
be,407.14023,407.22006,0.15962999999999283
worth,407.22006,407.72006,0.07983000000001539
much,407.7789,408.0184,0.558840000000032
more,408.0184,408.17807,0.23949999999996407
than,408.17807,408.33774,0.15967000000000553
two,408.33774,408.57724,0.15967000000000553
