Word,Start Time,End Time,start_time_diff
hi,7.9491844,8.428533,0.0
oh,16.82697,16.906666,8.8777856
sorry,17.066061,17.225454,0.23909100000000194
hang,17.464546,17.544243,0.3984849999999973
on,17.544243,17.783333,0.07969700000000302
let,17.942728,18.102121,0.3984849999999973
me,18.102121,18.261515,0.15939300000000145
make,18.261515,18.42091,0.15939399999999893
sure,18.42091,18.92091,0.15939499999999995
can,42.74127,42.900635,24.32036
you,42.900635,42.980316,0.1593650000000011
hear,42.980316,43.139683,0.07968100000000078
me,43.139683,43.29905,0.15936699999999604
now,43.29905,43.458412,0.15936700000000315
okay,44.813015,44.97238,1.513964999999999
eight,45.785,45.945,0.9719849999999965
yes,46.504997,46.745,0.7199970000000064
okay,49.145,49.305,2.640003
sorry,49.945,50.265,0.7999999999999972
about,50.265,50.504997,0.3200000000000003
that,50.504997,50.824997,0.23999700000000246
so,53.625,54.125,3.120002999999997
you,54.824997,54.985,1.1999970000000033
just,54.985,55.144997,0.16000299999999612
get,55.144997,55.305,0.15999699999999706
right,55.305,55.545,0.16000300000000323
into,55.545,55.625,0.240000000000002
it,55.625,55.785,0.0799999999999983
awesome,57.305,57.785,1.6799999999999997
good,60.280003,60.440002,2.975003000000001
afternoon,60.440002,60.600002,0.15999899999999911
i,61.32,61.72,0.8799980000000005
anne,61.96,62.120003,0.6400000000000006
i'm,62.36,62.52,0.3999999999999986
great,62.52,62.68,0.1600000000000037
how,62.84,62.920002,0.3200000000000003
are,62.920002,63.08,0.08000199999999325
you,63.08,63.24,0.15999800000000164
awesome,66.12,66.62,3.0400000000000063
of,72.69136,72.77111,6.5713599999999985
course,72.77111,72.9306,0.07974999999999
whatever,73.16985,73.488846,0.39874000000000365
it,73.488846,73.648346,0.3189959999999985
might,73.648346,73.88759,0.1595000000000084
need,73.88759,74.04709,0.23924399999999935
i'm,97.78,98.1,23.892409999999998
happy,98.1,98.34,0.3199999999999932
to,98.34,98.5,0.2400000000000091
offer,98.5,98.74,0.1599999999999966
you,98.74,98.82,0.23999999999999488
a,98.82,99.14,0.0799999999999983
article,99.14,99.299995,0.3200000000000074
i,99.54,99.619995,0.4000000000000057
know,99.619995,99.86,0.07999499999999671
how,99.86,100.259995,0.24000499999999647
hard,100.259995,100.659996,0.3999950000000041
and,100.659996,100.899994,0.40000100000000316
how,100.899994,101.14,0.23999799999999993
long,101.14,101.38,0.24000599999999395
you've,101.38,101.54,0.23999999999999488
been,101.54,101.7,0.1600000000000108
working,101.7,102.1,0.1599999999999966
did,103.155,103.315,1.4549999999999983
you,103.315,103.475006,0.1599999999999966
have,103.475006,103.795006,0.16000599999999565
an,103.795006,104.195,0.3200000000000074
idea,104.195,104.435005,0.3999939999999924
of,104.435005,104.675,0.24000500000001068
how,104.675,104.915,0.2399949999999933
long,104.915,105.235,0.2400000000000091
you,105.235,105.395004,0.3199999999999932
wanted,105.395004,105.715004,0.1600040000000007
to,105.715004,105.955,0.3199999999999932
take,105.955,106.195,0.23999600000000498
that,106.195,106.355,0.23999999999999488
article,106.355,106.755005,0.1600000000000108
for,106.755005,106.915,0.40000499999999306
alright,110.995,111.235,4.2399950000000075
wow,153.55263,153.63235,42.55762999999999
well,153.79181,153.87155,0.2391800000000046
that,154.031,154.19046,0.23919000000000779
sounds,154.19046,154.69046,0.15945999999999572
very,155.06747,155.56747,0.8770099999999843
ideal,155.62556,155.94447,0.5580900000000213
i,157.3948,157.55453,1.7692399999999964
what,157.55453,157.79414,0.15972999999999615
about,157.79414,158.1935,0.239609999999999
the,158.1935,158.4331,0.3993600000000015
i'm,159.15195,159.31168,0.9584499999999991
sorry,159.31168,159.47142,0.15972999999999615
to,159.47142,159.63116,0.15973999999999933
hear,159.63116,159.79091,0.15973999999999933
about,159.79091,159.95064,0.1597500000000025
your,159.95064,160.19025,0.15972999999999615
doctor's,160.19025,160.50974,0.239609999999999
visit,160.50974,160.74934,0.31949000000000183
and,160.98895,161.1487,0.4792099999999948
i,161.30844,161.3883,0.31949000000000183
think,161.3883,161.54805,0.07985999999999649
that,161.54805,161.70778,0.1597500000000025
this,161.70778,162.02727,0.15973000000002457
opportunity,162.02727,162.34674,0.3194899999999734
at,162.34674,162.42662,0.3194700000000239
the,162.42662,162.7461,0.07988000000000284
institute,162.7461,162.90584,0.31947999999999865
would,162.90584,163.06558,0.15973999999999933
be,163.06558,163.38506,0.15973999999999933
great,163.38506,163.70454,0.31947999999999865
for,163.70454,163.86427,0.31947999999999865
you,163.86427,164.1039,0.15972999999999615
and,164.1039,164.26363,0.23963000000000534
for,164.26363,164.3435,0.15972999999999615
the,164.3435,164.50323,0.07986999999999966
university,164.50323,165.00323,0.15972999999999615
unfortunately,166.34026,166.84026,1.8370299999999986
from,167.21883,167.69804,0.8785699999999963
the,167.69804,168.19804,0.4792099999999948
financial,168.41687,168.6565,0.718829999999997
office,168.6565,169.05583,0.23963000000000534
i'm,170.02887,170.26825,1.3723700000000179
only,170.26825,170.58742,0.23937999999998283
able,170.58742,170.74701,0.31917000000001394
to,170.74701,170.9066,0.15958999999998014
offer,170.9066,171.14598,0.15959000000000856
you,171.14598,171.62474,0.23938000000001125
six,171.62474,171.86412,0.4787599999999941
months,171.86412,172.26309,0.23938000000001125
of,172.26309,172.50247,0.3989699999999914
paid,172.50247,172.74185,0.23937999999998283
