Word,Start Time,End Time,start_time_diff
hi,2.1146193,2.35401,0.0
can,2.673198,2.8327918,0.5585787
you,2.8327918,2.9125888,0.15959379999999967
hear,2.9125888,3.0721827,0.07979700000000012
me,3.0721827,3.2317767,0.15959389999999996
okay,5.1469035,5.226701,2.0747207999999997
awesome,5.4660916,5.865076,0.31918810000000075
do,13.844771,13.924568,8.3786794
we,13.924568,14.084163,0.079797000000001
just,14.084163,14.403351,0.1595949999999995
start,14.403351,14.642741,0.31918800000000047
okay,19.673872,19.91259,5.270520999999999
cool,20.310457,20.62875,0.6365850000000002
well,21.504055,21.742775,1.1935980000000015
i,23.095518,23.17509,1.5914629999999974
would,23.17509,23.334236,0.07957200000000242
like,23.334236,23.493383,0.1591459999999998
to,23.493383,23.811676,0.15914700000000082
offer,23.811676,24.311676,0.31829299999999705
you,25.084846,25.482712,1.2731700000000004
a,25.482712,25.721432,0.3978660000000005
hundred,25.721432,26.039726,0.2387200000000007
thousand,26.039726,26.437592,0.31829400000000163
dollars,26.437592,26.91503,0.39786599999999694
for,26.91503,27.233322,0.4774380000000029
the,27.233322,27.631187,0.3182919999999996
portfolio,27.631187,28.108627,0.39786499999999947
and,29.078478,29.476303,1.4472909999999999
i,29.635433,30.03326,0.5569549999999985
understand,30.03326,30.19239,0.3978269999999995
that,30.19239,30.35152,0.1591300000000011
you're,30.35152,30.590216,0.1591300000000011
seeking,30.590216,30.988043,0.2386960000000009
sa,31.544998,32.045,0.954781999999998
is,32.340652,32.420216,0.795653999999999
that,32.420216,32.658913,0.07956400000000485
correct,32.658913,32.897606,0.23869699999999483
okay,34.886738,34.966305,2.227825000000003
so,35.204998,35.36413,0.3182600000000022
we're,35.36413,35.52326,0.1591319999999996
you're,35.52326,35.602825,0.15912999999999755
we,35.841522,36.000652,0.31826199999999716
can,36.000652,36.159782,0.15913000000000466
offer,36.159782,36.55761,0.15912999999999755
you,36.55761,37.035,0.39782799999999696
four,37.035,37.35326,0.47738999999999976
months,37.35326,37.83065,0.3182600000000022
of,37.83065,38.14891,0.47738999999999976
paid,38.14891,38.387608,0.3182600000000022
sa,38.387608,38.887608,0.2386979999999994
with,39.103695,39.50152,0.7160870000000017
ten,39.50152,39.740215,0.39782499999999743
thousand,39.740215,40.058475,0.23869499999999988
dollars,40.058475,40.297173,0.3182600000000022
a,40.297173,40.456303,0.2386979999999994
month,40.456303,40.695,0.15912999999999755
as,40.695,40.933693,0.23869700000000194
your,40.933693,41.17239,0.23869299999999782
pay,41.17239,41.33152,0.23869700000000194
but,42.464382,42.704205,1.2919920000000005
we,42.704205,42.784145,0.23982300000000123
want,42.784145,42.94403,0.07994000000000057
to,42.94403,43.343735,0.15988499999999561
emphasize,43.343735,43.583557,0.3997050000000044
that,43.583557,43.743443,0.23982199999999665
we,43.743443,43.903324,0.1598860000000002
really,43.903324,44.143147,0.1598809999999986
really,44.143147,44.38297,0.23982300000000123
value,44.38297,44.782677,0.23982300000000123
your,44.782677,45.282677,0.39970699999999937
contributions,45.422207,45.66203,0.6395300000000006
to,45.66203,45.74197,0.23982300000000123
the,45.74197,45.90185,0.07994000000000057
university,45.90185,46.40185,0.15988000000000113
and,46.621323,46.861145,0.7194729999999936
your,46.861145,47.180912,0.23982200000000375
return,47.180912,47.680912,0.3197669999999988
back,48.060265,48.220146,0.8793530000000018
to,48.220146,48.380028,0.1598809999999986
the,48.380028,48.45997,0.1598820000000032
university,48.45997,48.95997,0.07994199999999552
to,49.019558,49.259384,0.5595880000000051
continue,49.259384,49.65909,0.23982599999999366
you,49.97885,50.138733,0.7194660000000042
know,50.138733,50.218678,0.15988300000000066
contributing,50.53844,50.93815,0.39970699999999937
valuable,50.93815,51.43815,0.3997099999999989
research,51.577675,51.8175,0.639524999999999
is,51.8175,52.057323,0.23982500000000329
of,52.057323,52.297146,0.23982299999999412
up,52.297146,52.536972,0.23982300000000123
utmost,52.536972,52.856735,0.23982600000000076
importance,52.856735,53.25644,0.3197630000000018
to,53.25644,53.416325,0.3997049999999973
us,53.416325,53.496265,0.15988500000000272
so,53.656147,53.736088,0.23982199999999665
we,53.736088,53.89597,0.07994100000000515
wanna,53.89597,54.215736,0.15988199999999608
make,54.215736,54.375618,0.3197660000000013
sure,54.375618,54.69538,0.1598820000000032
that,54.69538,55.19538,0.3197619999999972
like,55.42923,55.588615,0.7338499999999968
whatever,55.748,56.14646,0.31877000000000066
comes,56.14646,56.305847,0.39846000000000004
out,56.305847,56.385536,0.1593870000000024
of,56.385536,56.54492,0.0796890000000019
this,56.54492,56.784,0.15938399999999575
deal,56.784,57.023075,0.2390800000000013
we,57.341846,57.740307,0.5578459999999978
we,57.740307,57.979385,0.3984610000000046
have,57.979385,58.21846,0.23907799999999924
you,58.21846,58.53723,0.2390749999999997
coming,58.53723,58.856,0.31877000000000066
back,58.856,59.17477,0.31877000000000066
to,59.17477,59.493538,0.31877000000000066
continue,59.493538,59.892,0.3187679999999986
contributing,59.892,60.37015,0.3984620000000021
i,141.04999,141.53,81.15799000000001
understand,141.53,141.68999,0.48000999999999294
i,141.84999,142.25,0.31998999999999
understand,142.25,142.65,0.40001000000000886
completely,142.65,142.97,0.4000000000000057
so,143.20999,143.70999,0.5599899999999991
understanding,144.48999,144.89,1.2800000000000011
that,144.89,145.12999,0.40000999999998044
having,145.12999,145.45,0.23999000000000592
you,145.45,145.68999,0.32000999999999635
come,145.68999,145.84999,0.23999000000000592
back,145.84999,146.25,0.1599999999999966
is,146.25,146.40999,0.40001000000000886
like,146.48999,146.65,0.23999000000000592
our,146.73,146.97,0.24000999999998385
number,146.97,147.20999,0.2400000000000091
one,147.20999,147.45,0.23999000000000592
priority,147.45,147.76999,0.24000999999998385
we're,147.93,148.17,0.4800000000000182
willing,148.17,148.40999,0.23999999999998067
to,148.40999,148.89,0.23999000000000592
accommodate,148.89,149.29,0.48000999999999294
for,149.29,149.53,0.4000000000000057
your,149.53,149.76999,0.2400000000000091
needs,149.76999,149.93,0.23999000000000592
and,150.09,150.25,0.32000999999999635
we,150.25,150.73,0.1599999999999966
understand,150.73,150.89,0.47999999999998977
that,150.89,151.04999,0.1599999999999966
the,151.38474,151.62444,0.4947400000000073
research,151.62444,151.94403,0.23969999999999914
that,151.94403,152.02393,0.31959000000000515
you,152.02393,152.18372,0.07990000000000919
do,152.18372,152.34352,0.15978999999998678
is,152.34352,152.50331,0.15980000000001837
very,152.50331,152.8229,0.15978999999998678
typical,152.8229,153.30229,0.31959000000000515
and,153.94148,154.10127,1.1185800000000086
we,154.10127,154.26106,0.15978999999998678
value,154.26106,154.74046,0.15978999999998678
your,154.74046,154.90025,0.4794000000000267
health,154.90025,155.13995,0.15978999999998678
and,155.13995,155.21985,0.23969999999999914
your,155.21985,155.45953,0.07990000000000919
mental,155.45953,155.77913,0.2396799999999928
health,155.77913,155.85902,0.3196000000000083
of,155.93892,156.17862,0.15978999999998678
course,156.17862,156.41832,0.23969999999999914
so,158.17607,158.65546,1.9974500000000148
what,158.65546,158.89516,0.4793899999999951
we,158.89516,159.21474,0.23969999999999914
can,159.21474,159.69412,0.319580000000002
do,159.69412,160.19412,0.4793799999999919
is,160.4931,160.9725,0.7989800000000002
we,162.25087,162.41066,1.7577699999999936
can,162.41066,162.65036,0.1597900000000152
offer,162.65036,162.96994,0.23969999999999914
you,162.96994,163.12975,0.319580000000002
said,163.12975,163.44934,0.15980999999999312
twenty,163.44934,163.68903,0.31959000000000515
months,163.68903,163.92873,0.23968999999999596
of,163.92873,164.2483,0.23969999999999914
radicals,164.2483,164.5679,0.3195699999999988
is,164.5679,164.7277,0.3196000000000083
what,164.7277,164.8875,0.15979999999998995
you,164.8875,164.96739,0.15979999999998995
would,164.96739,165.20709,0.07989000000000601
like,165.20709,165.36688,0.23969999999999914
twenty,168.73254,169.05127,3.5254500000000064
one,169.05127,169.29031,0.31872999999998797
months,169.29031,169.52936,0.23904000000001702
of,169.52936,169.60905,0.23904999999999177
sa,169.68874,169.8481,0.15937999999999874
medical,169.8481,170.2465,0.1593599999999924
okay,170.88397,171.04333,1.035870000000017
well,171.28238,171.36206,0.39840999999998417
we,171.52142,171.76048,0.23904000000001702
can,171.76048,171.99953,0.23905999999999494
offer,171.99953,172.31825,0.23904999999999177
you,172.31825,172.5573,0.3187200000000132
that,172.5573,172.79636,0.23904999999999177
amount,172.79636,173.11508,0.23905999999999494
just,173.11508,173.35413,0.3187200000000132
that,173.35413,173.59317,0.23904999999999177
only,173.59317,173.9916,0.2390399999999886
six,173.9916,174.23064,0.39843000000001894
months,174.23064,174.46968,0.2390399999999886
of,174.46968,174.70872,0.23904000000001702
that,174.70872,174.8681,0.2390399999999886
can,174.8681,175.02747,0.15937999999999874
be,175.02747,175.26651,0.15936999999999557
paid,175.26651,175.50555,0.23904000000001702
and,175.82428,175.98366,0.5577699999999766
it's,175.98366,176.2227,0.15937999999999874
ten,176.2227,176.38206,0.23904000000001702
thousand,176.38206,176.78047,0.1593599999999924
dollars,176.78047,177.28047,0.3984100000000126
per,177.49762,177.81635,0.7171500000000037
per,179.25064,179.48969,1.7530199999999923
month,179.48969,179.80841,0.23904999999999177
is,179.80841,179.96777,0.3187200000000132
the,179.96777,180.12714,0.1593599999999924
payment,180.12714,180.52556,0.15936999999999557
rate,180.52556,180.68492,0.39842000000001576
that,182.055,182.215,1.529439999999994
is,182.215,182.295,0.1599999999999966
like,182.375,182.455,0.1599999999999966
the,182.61499,182.775,0.23999000000000592
only,182.775,182.935,0.16000999999999976
i,183.175,183.255,0.4000000000000057
i,183.415,183.495,0.23999999999998067
will,183.495,183.655,0.0800000000000125
lose,183.655,183.895,0.1599999999999966
my,183.895,184.055,0.2400000000000091
job,184.055,184.555,0.1599999999999966
otherwise,184.61499,184.855,0.5599899999999991
that's,187.495,187.655,2.8800099999999986
like,187.735,187.815,0.2400000000000091
just,187.97499,188.135,0.2399899999999775
the,188.135,188.375,0.16000999999999976
university,188.375,188.855,0.2400000000000091
policy,188.855,189.175,0.47999999999998977
i,189.33499,189.495,0.479990000000015
would,189.495,189.655,0.16000999999999976
love,189.655,189.815,0.1599999999999966
to,189.815,189.97499,0.1599999999999966
offer,189.97499,190.295,0.15998999999999342
you,190.295,190.455,0.32000999999999635
more,190.455,190.61499,0.160000000000025
i,190.855,190.935,0.39999999999997726
would,190.935,191.095,0.0800000000000125
love,191.095,191.255,0.1599999999999966
to,191.255,191.33499,0.1599999999999966
but,191.495,191.655,0.2400000000000091
that's,191.655,191.815,0.1599999999999966
the,191.815,191.97499,0.1599999999999966
university,191.97499,192.47499,0.15998999999999342
policy,192.535,192.69499,0.5600100000000054
and,192.855,192.935,0.3199999999999932
i,193.015,193.175,0.1599999999999966
will,193.175,193.415,0.160000000000025
lose,193.415,193.655,0.23999999999998067
my,193.655,193.895,0.2400000000000091
job,193.895,194.135,0.2400000000000091
if,194.135,194.215,0.23999999999998067
i,194.375,194.875,0.2400000000000091
offer,194.935,195.175,0.5600000000000023
you,195.175,195.33499,0.2400000000000091
more,195.33499,195.495,0.15998999999999342
than,195.495,195.575,0.16000999999999976
that,195.575,195.655,0.07999999999998408
so,195.815,196.055,0.2400000000000091
we,196.055,196.215,0.2400000000000091
can,196.215,196.59,0.1599999999999966
give,196.78941,196.94896,0.5744100000000003
you,196.94896,197.10849,0.15954999999999586
the,197.10849,197.3478,0.1595299999999895
twenty,197.3478,197.58711,0.23931000000001745
one,197.58711,197.74664,0.23930999999998903
months,197.74664,197.82642,0.15953000000001794
but,197.98595,198.22525,0.23930999999998903
under,198.22525,198.54433,0.23929999999998586
stay,198.54433,198.70387,0.3190800000000138
the,198.70387,198.78363,0.1595399999999927
me,198.78363,199.02295,0.07975999999999317
that,199.02295,199.18248,0.23932000000002063
only,199.18248,199.50156,0.1595299999999895
six,199.50156,199.74086,0.3190800000000138
of,199.74086,199.9004,0.23929999999998586
those,199.9004,200.13971,0.1595399999999927
months,200.13971,200.37901,0.23931000000001745
will,200.37901,200.53854,0.23929999999998586
be,200.53854,200.77786,0.15953000000001794
paid,200.77786,200.9374,0.2393199999999922
does,201.41602,201.57555,0.6381599999999992
that,201.57555,201.81485,0.1595299999999895
make,201.81485,201.9744,0.23930000000001428
sense,201.9744,202.2137,0.15954999999999586
and,304.76596,304.9252,102.79156
nine,304.9252,305.16403,0.15924000000001115
months,305.16403,305.32327,0.2388300000000072
of,305.32327,305.82327,0.1592399999999543
i,353.73114,353.89093,48.40787
okay,354.29044,354.53012,0.5593000000000075
yes,355.32913,355.48892,1.038690000000031
i,355.8085,356.2879,0.47936999999996033
understand,356.2879,356.52762,0.47939999999999827
so,357.6462,358.1462,1.3583000000000425
i,360.60248,361.00198,2.9562799999999925
i,361.24167,361.4015,0.639189999999985
don't,361.4015,361.64117,0.15982999999999947
really,361.64117,362.04068,0.2396699999999896
think,362.04068,362.3603,0.3995100000000207
that,362.3603,362.8603,0.31961999999998625
in,362.99948,363.23917,0.6391800000000103
any,363.23917,363.55878,0.23968999999999596
case,363.55878,363.87836,0.3196100000000115
nine,364.27786,364.59747,0.7190799999999626
months,364.59747,364.91705,0.3196100000000115
of,364.91705,365.15677,0.3195800000000304
living,365.15677,365.47635,0.23971999999997706
and,365.47635,365.79596,0.3195800000000304
expenses,365.79596,366.19547,0.31960999999995465
will,366.7696,367.0091,0.9736400000000458
cost,367.0091,367.32846,0.23949999999996407
five,367.32846,367.56796,0.3193600000000174
hundred,367.56796,367.8873,0.23950000000002092
thousand,367.8873,368.28647,0.3193399999999542
dollars,368.28647,368.60583,0.39917000000002645
so,369.80338,370.1227,1.5169099999999958
i,370.20255,370.3622,0.3991699999999696
while,370.68158,370.7614,0.47903000000002294
i,370.92108,371.08075,0.23950000000002092
really,371.08075,371.58075,0.15967000000000553
understand,371.79926,372.19846,0.7185099999999807
that,372.19846,372.69846,0.39920000000000755
we,373.07666,373.23633,0.8781999999999925
want,373.23633,373.396,0.15967000000000553
to,373.396,373.55566,0.15967000000000553
get,373.55566,373.71533,0.15965999999997393
you,373.71533,373.875,0.15967000000000553
to,373.875,373.95483,0.15967000000000553
this,373.95483,374.19434,0.07983000000001539
twenty,374.19434,374.5137,0.23950999999999567
month,374.5137,374.67337,0.31935999999996056
twenty,375.07254,375.31204,0.558840000000032
one,375.31204,375.55157,0.23950000000002092
months,375.55157,375.8709,0.23953000000000202
of,375.8709,376.03058,0.31932999999997946
article,376.03058,376.3499,0.15967999999998028
that,376.58945,376.7491,0.5588700000000131
is,376.7491,376.98862,0.15964999999999918
the,376.98862,377.3878,0.23952000000002727
absolute,377.3878,377.54745,0.3991800000000012
goal,377.54745,377.70715,0.15964999999999918
we,377.86682,378.0265,0.31936999999999216
can,378.0265,378.18616,0.15967999999998028
make,378.18616,378.34583,0.15965999999997393
that,378.34583,378.58533,0.15967000000000553
happen,378.58533,378.9047,0.23950000000002092
and,379.78287,379.94254,1.1975400000000036
what,379.94254,380.18207,0.15967000000000553
we,380.18207,380.2619,0.23953000000000202
can,380.2619,380.5014,0.07983000000001539
do,380.5014,381.0014,0.23949999999996407
to,381.39487,381.89487,0.8934700000000362
have,382.03442,382.1943,0.6395499999999856
your,382.1943,382.6943,0.15987999999998692
compensation,382.91382,383.31354,0.7195199999999886
increased,383.31354,383.55334,0.3997200000000021
as,383.55334,383.79318,0.23980000000000246
we,383.79318,383.9531,0.23984000000001515
can,383.9531,384.43274,0.15991999999999962
offer,384.43274,384.9124,0.4796400000000176
more,384.9124,385.23218,0.4796599999999671
for,385.23218,385.3921,0.31978000000003703
the,385.3921,385.55197,0.15991999999999962
cost,385.55197,386.03162,0.15986999999995533
for,386.03162,386.19153,0.47964999999999236
the,386.19153,386.43134,0.15991000000002487
price,386.43134,386.67117,0.2398099999999772
of,386.67117,386.83105,0.2398300000000404
the,386.83105,387.15085,0.15987999999998692
of,387.15085,387.31073,0.31979999999998654
the,387.31073,387.7904,0.15987999999998692
portfolio,387.7904,388.19012,0.4796699999999987
we,388.42996,388.58984,0.6395600000000172
can,388.58984,388.9096,0.15987999999998692
increase,388.9096,389.14944,0.3197600000000307
the,389.14944,389.38928,0.23984000000001515
our,389.38928,389.54916,0.2398399999999583
offer,389.54916,389.86896,0.15987999999998692
for,389.86896,390.10876,0.3198000000000434
that,390.10876,390.3486,0.23980000000000246
so,391.14804,391.38788,1.0392799999999625
like,391.38788,391.46783,0.23984000000001515
i,391.62772,391.70767,0.23984000000001515
said,391.70767,391.7876,0.07994999999999663
the,391.94748,392.1074,0.2398099999999772
maximum,392.1074,392.6074,0.15991999999999962
amount,392.667,392.90683,0.559599999999989
we,392.90683,392.98676,0.2398300000000404
can,392.98676,393.2266,0.07992999999999029
pay,393.2266,393.30655,0.23984000000001515
you,393.30655,393.5464,0.07994999999999663
for,393.5464,393.6263,0.2398499999999899
the,393.6263,393.7862,0.07990000000000919
sa,393.7862,393.9461,0.15989999999999327
valuable,393.9461,394.26587,0.15989999999999327
is,394.26587,394.42575,0.31977000000000544
six,394.42575,394.74554,0.15987999999998692
months,394.74554,394.98538,0.3197900000000118
ten,395.8791,396.35788,1.1335599999999886
ten,396.35788,396.5175,0.47878000000002885
thousand,396.5175,396.9165,0.15961999999996124
dollars,396.9165,397.3953,0.3990000000000009
per,397.3953,397.63467,0.4788000000000352
month,397.63467,397.87408,0.23937000000000808
but,399.07108,399.3105,1.4364099999999667
we,399.3105,399.4701,0.23941999999999553
can,399.4701,399.7095,0.15960000000001173
to,400.1085,400.58728,0.6383999999999901
increase,400.58728,400.8267,0.47878000000002885
that,400.8267,401.3267,0.23941999999999553
compensation,401.7045,402.2045,0.8777999999999793
because,402.3429,402.5025,0.6383999999999901
obviously,402.9015,403.1409,0.5586000000000126
you,403.38028,403.5399,0.47878000000002885
need,403.5399,403.6995,0.15961999999996124
to,403.6995,403.9389,0.15960000000001173
be,403.9389,404.01868,0.23939999999998918
able,404.01868,404.3379,0.07978000000002794
to,404.3379,404.81668,0.31921999999997297
support,404.81668,405.2157,0.47878000000002885
yourself,405.2157,405.45508,0.39902000000000726
during,405.45508,405.7743,0.23937999999998283
those,405.7743,405.9339,0.31921999999997297
that,406.09348,406.4925,0.3191800000000171
those,406.4925,406.73187,0.39902000000000726
months,406.73187,406.97128,0.23937000000000808
we,407.60968,407.7693,0.8778100000000109
can,407.7693,407.8491,0.15961999999996124
like,408.32788,408.4875,0.5585800000000063
i,408.6471,408.7269,0.3192200000000298
said,408.7269,408.8067,0.07979999999997744
increase,409.1259,409.2855,0.3990000000000009
the,409.2855,409.4451,0.15960000000001173
cost,409.4451,409.60468,0.15960000000001173
of,409.60468,409.76428,0.15957999999994854
the,409.76428,410.1633,0.15960000000001173
portfolio,410.1633,410.6633,0.39902000000000726
by,410.7219,411.2219,0.5586000000000126
what,413.53082,413.77032,2.8089200000000005
we,413.77032,413.93,0.23950000000002092
can,413.93,414.08966,0.15967999999998028
raise,414.08966,414.24933,0.15965999999997393
it,414.24933,414.409,0.15967000000000553
to,414.409,414.64853,0.15967000000000553
one,414.64853,414.8082,0.23953000000000202
hundred,414.8082,415.0477,0.15967000000000553
and,415.0477,415.20737,0.23950000000002092
seventy,415.20737,415.6864,0.15967000000000553
five,415.6864,416.00574,0.4790299999999661
thousand,416.00574,416.4049,0.31934000000001106
from,416.4049,416.56458,0.39915999999999485
one,416.56458,416.8041,0.15967999999998028
