Word,Start Time,End Time,start_time_diff
hello,13.986818,14.385303,0.0
okay,21.093409,21.25276,7.106591000000002
do,21.491785,21.651136,0.39837599999999895
we,21.651136,21.810488,0.1593510000000009
a,23.882046,23.96172,2.230909999999998
little,23.96172,24.12107,0.07967400000000069
bit,24.12107,24.439774,0.15934999999999988
confused,24.439774,24.678799,0.3187040000000003
as,24.678799,25.077175,0.2390250000000016
how,25.077175,25.577175,0.39837599999999895
this,25.794254,26.03328,0.7170789999999982
work,26.03328,26.272305,0.23902600000000263
so,26.431656,26.670681,0.39837599999999895
do,26.670681,26.830032,0.23902499999999804
we,26.830032,26.989384,0.1593510000000009
just,26.989384,27.489384,0.15935200000000194
okay,42.928497,43.0881,15.939112999999999
so,43.3275,43.646698,0.39900300000000044
do,43.646698,43.726498,0.3191980000000001
we,43.726498,43.8861,0.07979999999999876
i,44.1255,44.2053,0.39900200000000297
guess,44.2053,44.2851,0.07979999999999876
do,44.4447,44.524498,0.23939999999999628
we,44.524498,44.684097,0.07979800000000381
have,44.684097,44.8437,0.15959900000000005
first,45.0831,45.2427,0.39900300000000044
we,45.402298,45.561897,0.3191980000000001
might,45.561897,45.8013,0.15959900000000005
have,45.8013,45.9609,0.2394029999999958
to,45.9609,46.2003,0.15960000000000463
agree,46.2003,46.439697,0.23939999999999628
and,46.6791,46.9185,0.47879999999999967
then,46.9185,47.157898,0.2394000000000034
do,52.6641,52.8237,5.745599999999996
we,52.8237,52.9833,0.15960000000000463
have,52.9833,53.0631,0.15959999999999752
to,53.0631,53.2227,0.07979999999999876
wait,53.2227,53.302498,0.15960000000000463
the,53.302498,53.462097,0.0797979999999967
whole,53.462097,53.621696,0.15959900000000005
thirty,53.621696,53.9409,0.15959900000000005
minutes,53.9409,54.4409,0.31920399999999916
to,55.137897,55.637897,1.1969970000000032
continue,55.6965,56.015697,0.558602999999998
yeah,79.92165,80.08123,24.22515
sure,80.3206,80.48019,0.39894999999999925
sure,80.71956,80.95893,0.3989600000000024
sure,91.89389,91.97352,11.174329999999998
i,92.2124,92.29204,0.3185100000000034
so,92.29204,92.451294,0.07963999999999771
i,92.61056,92.690186,0.3185200000000066
think,92.690186,92.84944,0.07962599999999043
that,92.84944,93.008705,0.15925400000000423
sounds,93.008705,93.16796,0.15926500000000487
like,93.16796,93.327225,0.1592549999999875
a,93.327225,93.48648,0.15926500000000487
great,93.48648,93.88463,0.1592550000000017
idea,93.88463,94.043884,0.3981500000000011
we,95.238335,95.39759,1.353705000000005
so,95.63648,95.87537,0.3981449999999995
we,95.87537,96.03463,0.23888999999999783
were,96.99018,97.149445,1.1148099999999914
you,97.149445,97.467964,0.15926500000000487
worrying,97.467964,97.86611,0.3185189999999949
about,97.86611,97.94574,0.3981460000000112
would,98.34389,98.58278,0.47777999999999565
you,98.58278,98.82166,0.23888999999999783
which,99.713326,100.11203,1.1305459999999954
how,100.11203,100.19177,0.3987040000000093
much,100.19177,100.431,0.07974000000000103
were,100.431,100.51074,0.23922999999999206
you,100.51074,100.67023,0.07974000000000103
thinking,100.67023,101.06893,0.15949000000000524
about,101.06893,101.30816,0.39869999999999095
for,101.30816,101.46764,0.23923000000000627
your,101.46764,101.70687,0.15948000000000206
sa,102.66377,103.16377,1.1961299999999966
and,103.381454,103.54093,0.7176840000000055
then,103.54093,103.70042,0.15947599999999795
the,103.70042,103.78016,0.15948999999999103
ip,104.09913,104.4181,0.39871000000000834
itself,104.4181,104.65732,0.3189699999999931
okay,203.33585,203.49542,98.91775
okay,205.41032,205.56989,2.0744700000000194
yeah,205.72946,205.88904,0.319139999999976
i,206.1284,206.20819,0.3989400000000103
i,206.36777,206.44756,0.23937000000000808
albert,206.84648,207.00606,0.47871000000000663
i,207.16563,207.32521,0.3191499999999792
definitely,207.32521,207.80394,0.15958000000000538
understand,207.80394,207.9635,0.478730000000013
where,207.9635,208.12308,0.15955999999999904
you're,208.12308,208.28265,0.15957999999997696
coming,208.28265,208.52202,0.1595700000000022
from,208.52202,208.84117,0.23937000000000808
wheat,208.84117,209.00075,0.3191500000000076
we,209.7339,209.9733,0.8927300000000002
really,209.9733,210.21269,0.23939999999998918
value,210.21269,210.6915,0.23939000000001442
your,210.6915,211.1915,0.47880999999998153
your,211.4895,211.8087,0.7980000000000018
your,211.8087,212.0481,0.31919999999999504
work,212.0481,212.2077,0.2394000000000176
here,212.2077,212.3673,0.1595999999999833
at,212.3673,212.4471,0.15960000000001173
the,212.4471,212.6067,0.07980000000000587
university,212.6067,213.0855,0.1595999999999833
and,213.32489,213.82489,0.7181900000000212
if,214.04309,214.54309,0.718199999999996
we,214.9209,215.1603,0.8778099999999824
we,215.1603,215.3199,0.2394000000000176
really,215.3199,215.8199,0.1595999999999833
truly,216.1977,216.4371,0.8778000000000077
want,216.4371,216.5967,0.23939999999998918
the,216.5967,216.83609,0.15960000000001173
best,216.83609,217.0755,0.23939000000001442
for,217.0755,217.3149,0.23940999999999235
you,217.3149,217.55429,0.23939999999998918
so,218.1927,218.6715,0.8778000000000077
we'd,218.6715,218.8311,0.4788000000000068
be,218.8311,219.0705,0.1595999999999833
willing,219.0705,219.3897,0.2394000000000176
to,219.3897,219.6291,0.31919999999999504
grant,219.6291,219.8685,0.23939999999998918
you,219.8685,220.02809,0.2394000000000176
that,220.02809,220.34729,0.15958999999998014
twenty,220.34729,220.5069,0.31919999999999504
one,220.5069,220.74629,0.1596100000000149
months,220.74629,221.1453,0.239389999999986
definitely,221.1453,221.6241,0.3990100000000041
yes,227.30743,227.54713,6.162130000000019
okay,253.73952,253.81941,26.432089999999988
so,254.13899,254.29878,0.399470000000008
yeah,262.2082,262.2881,8.06920999999997
i'm,262.44788,262.60767,0.2396800000000212
a,262.60767,262.68753,0.15978999999998678
little,262.68753,262.84732,0.07985999999999649
bit,262.84732,263.1669,0.15979000000004362
confused,263.1669,263.64627,0.31957999999997355
because,263.64627,263.88593,0.47937000000001717
it,263.88593,264.1256,0.23965999999995802
says,264.1256,264.4452,0.23967000000004646
sorry,265.2441,265.324,1.1184999999999832
i'm,265.88327,266.04306,0.6391699999999787
just,266.04306,266.28275,0.15979000000004362
taking,266.28275,266.4425,0.23968999999999596
a,266.4425,266.6023,0.15974999999997408
break,266.6023,266.7621,0.15980000000001837
from,266.7621,267.00177,0.15979999999996153
the,267.00177,267.16156,0.23967000000004646
i,267.48114,267.56104,0.47936999999996033
guess,267.56104,267.6409,0.07990000000000919
the,267.8007,268.3007,0.23966000000001486
but,268.9335,269.3325,1.1327999999999747
it,269.3325,269.5719,0.3990000000000009
says,269.5719,270.0507,0.23940000000004602
i,270.2901,270.7901,0.7181999999999675
cannot,270.9285,271.4285,0.6383999999999901
authorize,271.7265,271.96588,0.7980000000000018
more,271.96588,272.1255,0.23938000000003967
than,272.1255,272.4447,0.15961999999996124
six,272.4447,272.7639,0.31920000000002346
months,272.7639,273.0033,0.3191999999999666
of,273.0033,273.1629,0.23940000000004602
sa,273.1629,273.6629,0.1595999999999549
paid,273.96088,274.46088,0.7979799999999955
but,275.1579,275.2377,1.197020000000009
i,275.39728,275.5569,0.23938000000003967
cannot,275.5569,275.9559,0.15961999999996124
offer,275.9559,276.4559,0.3990000000000009
longer,277.47208,277.7913,1.5161800000000198
sa,277.7913,278.2913,0.31921999999997297
of,278.34988,278.5095,0.5585800000000063
up,278.5095,278.6691,0.15962000000001808
to,278.6691,278.98828,0.15960000000001173
twenty,278.98828,279.2277,0.3191799999999603
four,279.2277,279.54688,0.23942000000005237
months,279.54688,279.8661,0.3191799999999603
away,279.8661,280.0257,0.3192200000000298
so,280.5843,280.6641,0.7181999999999675
i,280.7439,280.8237,0.15960000000001173
don't,280.8237,280.98328,0.07979999999997744
i,281.14288,281.2227,0.3191800000000171
don't,281.2227,281.3823,0.07981999999998379
quite,281.3823,281.86108,0.15960000000001173
understand,281.86108,282.1803,0.47878000000002885
that,282.1803,282.3399,0.31921999999997297
part,282.3399,282.49948,0.15960000000001173
is,287.3823,287.5419,5.0423999999999864
i,287.7015,287.86108,0.31920000000002346
think,287.86108,287.9409,0.15958000000000538
is,288.1005,288.2601,0.23941999999999553
that,288.2601,288.4197,0.15960000000001173
just,288.4197,288.57928,0.1595999999999549
saying,288.57928,288.8985,0.15958000000000538
oh,289.7763,289.93588,1.197020000000009
okay,290.0955,290.1753,0.31920000000002346
so,290.4147,290.8935,0.3191999999999666
basically,290.9733,291.4733,0.5586000000000126
i,292.4097,292.6491,1.436399999999992
can,292.6491,292.8087,0.23939999999998918
offer,292.8087,293.3087,0.15960000000001173
six,294.4845,294.8037,1.675800000000038
months,294.8037,295.0431,0.3191999999999666
of,295.0431,295.2825,0.23939999999998918
pay,295.2825,295.60168,0.23940000000004602
time,295.60168,296.10168,0.3191799999999603
with,296.3199,296.4795,0.7182200000000307
the,296.4795,296.6391,0.1595999999999549
possibility,296.6391,297.1179,0.15960000000001173
of,297.1179,297.3573,0.4788000000000352
leaving,297.3573,297.8361,0.23939999999998918
longer,297.8361,298.3361,0.47879999999997835
unpaid,298.7937,298.9533,0.9576000000000136
that,301.1224,301.6224,2.328700000000026
so,302.31866,302.47818,1.1962599999999952
i,302.63766,302.71744,0.31899999999996
could,302.71744,302.87692,0.07978000000002794
offer,302.87692,303.37692,0.15947999999997364
six,303.5947,303.9137,0.7177800000000047
months,303.9137,304.4137,0.3190000000000168
a,305.3492,305.66824,1.4354999999999905
pay,305.66824,306.16824,0.3190400000000295
up,306.46576,306.70502,0.7975199999999631
to,306.70502,307.20502,0.23926000000000158
at,307.66202,307.82153,0.9569999999999936
a,307.82153,308.0608,0.1595100000000116
standard,308.0608,308.45953,0.23926999999997633
rate,308.45953,308.95953,0.3987300000000005
see,309.25705,309.41656,0.79752000000002
mh,310.1343,310.45334,0.8772500000000036
at,310.77234,310.93182,0.6380399999999895
a,310.93182,311.17108,0.1594800000000305
standard,311.17108,311.4901,0.23926000000000158
rate,311.4901,311.6496,0.31901999999996633
of,311.6496,311.8091,0.15950000000003683
ten,311.8091,312.04837,0.15949999999998
thousand,312.04837,312.36737,0.23926999999997633
per,312.36737,312.52686,0.3190000000000168
