Word,Start Time,End Time,start_time_diff
ryan,9.8,9.96,0.0
and,24.083645,24.242966,14.283645
i'm,24.402287,24.720932,0.31864200000000054
confused,24.720932,24.959915,0.31864500000000007
to,24.959915,25.198898,0.2389829999999975
no,55.1475,55.6475,30.187585000000002
actually,55.7859,56.1051,0.6383999999999972
i'm,64.8831,65.0427,9.0972
in,65.0427,65.1225,0.15959999999999752
a,65.1225,65.2821,0.07980000000000587
meet,65.2821,65.441696,0.15959999999999752
a,65.441696,65.6013,0.1595959999999934
year,65.6013,65.760895,0.15960400000000163
so,73.215004,73.535,7.6137039999999985
it,73.535,73.695,0.3199960000000033
this,73.695,73.775,0.1599999999999966
i,74.095,74.175,0.4000000000000057
guess,74.175,74.335,0.0799999999999983
do,74.655,74.735,0.480000000000004
you,74.735,74.815,0.0799999999999983
wanna,74.815,75.055,0.0799999999999983
just,75.055,75.215004,0.2400000000000091
start,75.215004,75.375,0.1600039999999865
and,75.375,75.535,0.1599960000000067
we'll,75.535,75.615005,0.1599999999999966
see,75.615005,75.775,0.08000499999999988
if,75.775,75.855,0.1599950000000092
it,75.855,76.015,0.0799999999999983
takes,76.015,76.255005,0.1599999999999966
thirty,76.255005,76.495,0.24000499999999647
minutes,76.495,76.735,0.2399950000000075
alright,78.67,78.91,2.174999999999997
hey,80.67,80.75,2.0
ryan,80.91,81.23,0.23999999999999488
i,81.71,81.87,0.7999999999999972
wanted,81.87,82.11,0.1600000000000108
to,82.11,82.270004,0.23999999999999488
talk,82.270004,82.35,0.1600040000000007
to,82.35,82.51,0.07999599999999418
you,82.51,82.67,0.1600000000000108
about,82.67,82.83,0.1599999999999966
just,83.55,83.79,0.8799999999999955
taking,83.79,84.11,0.2400000000000091
a,84.11,84.43,0.3199999999999932
synthetic,84.43,84.67,0.3200000000000074
and,84.83,84.91,0.3999999999999915
i,85.07,85.15,0.23999999999999488
wanted,85.15,85.39,0.0800000000000125
to,85.39,85.55,0.23999999999999488
see,85.55,85.87,0.1599999999999966
what,85.87,86.11,0.3200000000000074
you,86.11,86.270004,0.23999999999999488
thought,86.270004,86.51,0.1600040000000007
about,86.51,86.75,0.23999600000000498
that,86.75,86.91,0.23999999999999488
alright,103.5471,103.706696,16.7971
so,103.9461,104.4461,0.3990000000000009
before,104.9835,105.3027,1.0374000000000052
going,105.3027,105.8027,0.31919999999999504
into,105.8613,106.1007,0.5585999999999984
i,106.4199,106.4997,0.5585999999999984
want,106.4997,106.7391,0.07980000000000587
before,107.0583,107.217896,0.5585999999999984
you've,107.217896,107.3775,0.1595959999999934
been,107.3775,107.6967,0.15960400000000163
talking,107.6967,108.1755,0.31920000000000925
about,108.1755,108.4149,0.47879999999999256
that,108.4149,108.4947,0.2394000000000034
one,108.6543,108.973495,0.2394000000000034
to,108.973495,109.473495,0.31919499999999346
help,109.5321,109.691696,0.558605
i,109.9311,110.0109,0.3990000000000009
want,110.0109,110.4099,0.07980000000000587
you,110.6493,111.0483,0.6383999999999901
understand,111.0483,111.2079,0.3990000000000009
where,111.2079,111.3675,0.15959999999999752
i'm,111.447296,111.6867,0.23939599999999928
coming,111.6867,112.0059,0.2394040000000075
from,112.0059,112.1655,0.31919999999999504
i,112.8837,113.0433,0.8778000000000077
haven't,113.0433,113.522095,0.15959999999999752
feeling,113.522095,113.8413,0.478794999999991
well,113.8413,114.0009,0.31920500000001084
lately,114.0009,114.3201,0.15959999999999752
at,114.3201,114.4797,0.31919999999999504
work,114.4797,114.7191,0.15959999999999752
i've,115.277695,115.5171,0.7979950000000002
been,115.5171,115.7565,0.23940500000000497
just,116.3949,116.6343,0.8778000000000077
there's,116.6343,116.7939,0.23939999999998918
been,116.7939,116.873695,0.15959999999999752
a,116.873695,117.033295,0.07979500000000428
lot,117.033295,117.1131,0.15959999999999752
of,117.1131,117.3525,0.07980500000000745
stress,117.3525,117.751495,0.2394000000000034
and,117.751495,118.251495,0.3989949999999993
frankly,118.56422,118.803276,0.8127250000000004
like,118.962654,119.04234,0.3984339999999946
we,119.20171,119.36109,0.23905600000000504
both,119.36109,119.52047,0.15937999999999874
