Word,Start Time,End Time,start_time_diff
hello,3.7904997,4.2692995,0.0
can,6.7430997,6.9026995,2.9526000000000003
you,6.9026995,7.0622997,0.15959979999999963
hear,7.0622997,7.2218995,0.15960019999999986
me,7.2218995,7.3814993,0.1595998000000005
yes,10.5735,10.653299,3.351600499999999
perfect,10.892699,11.291699,0.3191990000000011
alright,14.164499,14.244299,3.271799999999999
i,14.563499,14.643299,0.3990000000000009
guess,14.643299,14.802899,0.07980000000000054
it's,14.802899,14.962499,0.1595999999999993
supposed,14.962499,15.042299,0.1595999999999993
to,15.042299,15.201899,0.07980000000000054
just,15.201899,15.521099,0.1595999999999993
start,15.521099,15.760499,0.3192000000000004
okay,36.62457,36.78446,21.103471
so,37.58392,37.823757,0.9593500000000006
did,37.823757,37.98365,0.2398370000000014
you,37.98365,38.14354,0.15989299999999673
have,38.14354,38.623215,0.1598900000000043
idea,38.623215,38.943,0.4796750000000003
of,38.943,39.18284,0.319784999999996
how,39.18284,39.342728,0.23984000000000094
much,39.342728,39.662514,0.15988800000000225
you're,39.662514,40.14219,0.31978600000000057
looking,40.14219,40.382027,0.47967599999999777
for,40.382027,40.54192,0.2398370000000014
okay,47.026077,47.185688,6.64405
okay,48.143333,48.223137,1.1172559999999976
we'll,48.542355,48.941372,0.3990220000000022
we'll,48.941372,49.100983,0.3990170000000006
definitely,49.100983,49.340393,0.15961099999999817
talk,49.340393,49.579803,0.23940999999999946
about,49.579803,49.659607,0.23940999999999946
that,49.659607,49.978825,0.07980400000000287
to,49.978825,50.058628,0.31921799999999934
see,50.058628,50.13843,0.07980299999999829
if,50.13843,50.218235,0.07980200000000082
that,50.218235,50.537453,0.07980500000000035
aligns,50.537453,50.856667,0.31921799999999934
with,50.856667,51.33549,0.31921400000000233
our,51.415295,51.654705,0.5586279999999988
budget,51.654705,51.814316,0.23940999999999946
i'm,51.89412,51.973923,0.23941500000000104
sorry,51.973923,52.053726,0.07980299999999829
i,52.213333,52.293137,0.23940999999999946
think,52.293137,52.37294,0.07980400000000287
i,52.452744,52.53255,0.15960700000000116
have,52.53255,52.692158,0.07980599999999782
something,52.692158,52.77196,0.15960799999999864
in,52.77196,52.93157,0.07980200000000082
my,52.93157,53.09118,0.1596100000000007
team,53.09118,53.250786,0.1596100000000007
braces,56.139305,56.53877,3.048124999999999
and,56.53877,56.618664,0.3994649999999993
i,56.698555,56.77845,0.1597849999999994
just,56.77845,57.018127,0.0798950000000005
eight,57.018127,57.177914,0.23967700000000036
months,57.177914,57.257805,0.15978700000000146
so,57.497486,57.577377,0.31957200000000086
i'm,57.577377,57.657272,0.07989099999999638
sorry,57.657272,57.81706,0.0798950000000005
so,59.335026,59.494812,1.6777540000000002
yeah,59.6546,59.814384,0.3195740000000029
so,59.97417,60.133957,0.3195699999999988
