Word,Start Time,End Time,start_time_diff
yeah,16.991207,17.389803,0.0
so,19.701656,19.940815,2.7104490000000006
yeah,20.100252,20.179972,0.3985960000000013
i'm,20.498848,20.817724,0.39859599999999773
currently,20.817724,21.05688,0.3188759999999995
a,21.05688,21.37576,0.23915600000000126
professor,21.37576,21.87576,0.31888000000000005
at,22.013512,22.491825,0.637751999999999
a,22.491825,22.810701,0.478313
top,22.810701,23.129578,0.31887600000000305
global,23.129578,23.528173,0.31887699999999697
university,23.528173,24.028173,0.39859500000000025
and,24.963118,25.361713,1.4349450000000026
i'm,25.521152,25.760307,0.5580339999999993
kind,25.760307,25.919746,0.23915500000000023
of,25.919746,26.39806,0.159438999999999
here,26.39806,26.89806,0.478314000000001
to,26.956095,27.195251,0.5580350000000003
kind,27.195251,27.51413,0.2391559999999977
of,27.51413,27.992443,0.3188790000000026
explain,27.992443,28.31132,0.478313
my,28.31132,28.470757,0.31887699999999697
need,28.470757,28.789635,0.1594370000000005
for,28.789635,28.869354,0.31887800000000155
sa,28.949072,29.10851,0.1594370000000005
medical,29.10851,29.60851,0.15943799999999797
and,30.3195,30.6387,1.2109900000000025
kind,30.6387,30.878101,0.3191999999999986
of,30.878101,31.378101,0.23940100000000086
how,31.5165,31.755901,0.6383989999999997
much,31.755901,31.9953,0.23940100000000086
money,31.9953,32.2347,0.2393989999999988
i,32.3145,32.394302,0.31920000000000215
would,32.394302,32.6337,0.07980200000000082
need,32.6337,32.8731,0.23939799999999423
to,32.8731,32.9529,0.2394000000000034
go,32.9529,33.0327,0.07979999999999876
on,33.0327,33.5327,0.07979999999999876
yeah,41.5713,41.7309,8.538600000000002
i'm,41.8905,42.050102,0.31920000000000215
looking,42.050102,42.3693,0.15960199999999958
for,42.3693,42.6885,0.3191980000000001
somewhere,42.6885,43.1673,0.31919999999999504
around,43.1673,43.4865,0.47879999999999967
like,43.7259,43.885498,0.5586000000000055
four,44.0451,44.2845,0.31919999999999504
hundred,44.2845,44.6037,0.2394000000000034
fifty,44.6037,45.1037,0.31920000000000215
thousand,45.2421,45.641098,0.6383999999999972
dollar,45.641098,45.9603,0.39899799999999885
no,54.408703,54.567818,8.767605000000003
worries,54.567818,54.886044,0.1591149999999999
yeah,64.138596,64.457344,9.570778000000004
so,64.85578,65.17453,0.7171839999999889
currently,66.13078,66.63078,1.2750000000000057
i,68.76047,68.919846,2.6296899999999965
think,68.919846,69.238594,0.15937600000000884
so,69.63703,70.03547,0.7171839999999889
twelve,70.03547,70.35422,0.3984400000000079
month,70.35422,70.752655,0.3187499999999943
ceiling,70.752655,71.252655,0.3984350000000063
and,71.54953,72.04953,0.796875
twelve,72.107346,72.346405,0.5578160000000025
months,72.346405,72.66515,0.23905899999999747
just,74.11475,74.27443,1.7683449999999965
like,74.27443,74.4341,0.1596799999999945
for,74.75345,75.152626,0.47902000000000555
vacation,75.152626,75.392136,0.3991759999999971
in,75.392136,75.5518,0.23950999999999567
nine,75.5518,75.71148,0.15966400000000647
months,75.71148,75.95099,0.1596799999999945
working,75.95099,76.43,0.23951000000000988
on,76.43,76.589676,0.4790100000000024
at,76.589676,76.749344,0.15967599999999038
institute,76.98885,77.22836,0.39917400000000214
so,77.70738,77.86705,0.7185300000000012
i,77.946884,78.026726,0.2395039999999966
think,78.026726,78.34607,0.0798419999999993
that,78.34607,78.50574,0.31934400000000096
be,78.50574,78.58558,0.15967000000000553
a,78.58558,78.90492,0.07983999999999014
total,78.90492,79.40492,0.31934000000001106
of,79.70328,80.20328,0.7983600000000024
eighteen,80.900826,81.14033,1.1975459999999885
months,81.14033,81.61935,0.23950400000001082
at,81.61935,81.77902,0.47901999999999134
it,81.85886,82.098366,0.23951000000000988
months,82.098366,82.1782,0.23950599999999156
sorry,82.337875,82.49754,0.2395089999999982
twenty,82.89672,83.39672,0.5588450000000051
twenty,83.69508,84.19508,0.7983600000000024
twenty,84.33377,84.83377,0.6386899999999969
twenty,85.13213,85.37164,0.7983600000000024
one,85.37164,85.61115,0.23950999999999567
months,85.61115,85.69099,0.23950999999999567
it's,85.77082,86.090164,0.15967000000000553
bad,86.090164,86.32967,0.31934400000000096
cool,86.32967,86.48935,0.23950599999999156
yes,90.65246,90.971275,4.322790000000012
four,93.3624,93.60151,2.709939999999989
hundred,93.60151,93.92033,0.23911000000001081
fifty,93.92033,94.23914,0.3188200000000023
thousand,94.23914,94.73914,0.31880999999999915
yeah,103.501335,103.74071,9.262194999999991
so,104.059875,104.29925,0.5585400000000078
i,104.458824,104.61841,0.3989490000000018
did,104.61841,104.777985,0.15958599999999024
a,104.777985,105.01736,0.1595750000000038
variety,105.01736,105.51736,0.23937499999999545
calculations,105.89506,106.21422,0.8777000000000044
in,106.21422,106.3738,0.31915999999999656
terms,106.3738,106.53338,0.15958000000000538
of,106.53338,106.613174,0.15957999999999117
like,106.77275,106.85254,0.23937000000000808
how,106.932335,107.09191,0.15958499999999276
much,107.09191,107.41108,0.1595750000000038
money,107.41108,107.73024,0.31916999999999973
i,107.88982,108.0494,0.47874000000000194
would,108.0494,108.28877,0.15958000000000538
need,108.28877,108.528145,0.23936999999999387
like,109.485634,109.64521,1.196864000000005
buy,109.725006,110.20375,0.23937199999998882
equipment,110.20375,110.68249,0.47874400000000605
just,111.24103,111.63998,1.0372799999999955
lift,111.63998,112.03893,0.39894999999999925
sustainability,112.03893,112.53893,0.39894999999999925
since,112.75705,112.916626,0.7181200000000132
i'm,112.996414,113.39537,0.2393639999999948
kind,113.39537,113.63474,0.3989559999999983
of,113.63474,113.79433,0.23936999999999387
gonna,114.35286,114.59223,0.7181200000000132
be,114.59223,114.831604,0.23936999999999387
kind,114.831604,114.91139,0.23937399999999798
of,114.91139,115.41139,0.07978599999999858
off,115.469925,115.62951,0.5585350000000062
