Word,Start Time,End Time,start_time_diff
hi,5.391867,5.7113853,0.0
can,11.622469,11.782228,6.230602
you,11.782228,11.941987,0.15975899999999932
hear,11.941987,12.181626,0.15975899999999932
me,12.181626,12.341385,0.23963900000000038
oh,13.474352,13.554092,1.292726
okay,13.873056,13.952798,0.3987040000000004
okay,14.271761,14.351502,0.39870499999999964
cool,14.590725,14.750207,0.31896400000000114
i,14.909689,15.069171,0.31896399999999936
can,15.069171,15.228653,0.15948200000000057
hear,15.228653,15.3083935,0.1594819999999988
it,15.3083935,15.4678755,0.07974049999999977
too,15.4678755,15.707098,0.15948200000000057
not,23.920414,24.159637,8.452538500000001
yet,24.159637,24.319118,0.23922299999999908
i'm,24.638083,24.797565,0.4784460000000017
just,24.797565,25.036787,0.15948199999999702
reading,25.036787,25.435493,0.2392220000000016
some,25.435493,25.754456,0.39870600000000067
stuff,25.754456,25.99368,0.3189630000000001
on,25.99368,26.15316,0.2392240000000001
this,26.15316,26.472124,0.1594799999999985
side,26.472124,26.711346,0.31896400000000114
i,26.95057,27.269533,0.47844599999999815
seen,27.269533,27.429016,0.3189630000000001
this,27.429016,27.66824,0.1594830000000016
earlier,27.66824,28.146683,0.2392240000000001
okay,40.195538,40.27523,12.527297999999998
wait,45.629696,45.789093,5.434158000000004
sorry,46.028183,46.187576,0.3984869999999958
you,46.426666,46.665756,0.3984829999999988
i,47.14394,47.223637,0.7172740000000033
couldn't,47.223637,47.542423,0.07969699999999591
hear,47.542423,47.781517,0.3187860000000029
the,47.781517,47.94091,0.23909400000000147
last,47.94091,48.259697,0.15939300000000145
part,48.259697,48.498787,0.3187870000000004
three,54.23697,54.47606,5.977272999999997
hundred,54.47606,54.79485,0.23908999999999736
sixty,54.79485,55.193333,0.3187899999999999
k,55.193333,55.35273,0.3984830000000059
and,56.787273,57.026363,1.5939399999999964
how,57.026363,57.265457,0.23909000000000447
long,57.265457,57.584244,0.23909399999999437
is,57.584244,58.062424,0.3187870000000004
the,58.062424,58.301514,0.4781800000000018
sa,58.301514,58.46091,0.23908999999999736
cervical,58.46091,58.93909,0.15939600000000098
twenty,61.347054,61.66634,2.8861440000000016
one,61.66634,61.905804,0.3192859999999982
months,61.905804,62.145267,0.23946400000000523
so,62.86366,63.36366,0.9578559999999996
yeah,64.61973,64.77937,1.7560700000000011
so,65.01884,65.51884,0.3991099999999932
per,65.57759,65.817055,0.5587500000000034
our,65.817055,66.05652,0.2394649999999956
university,66.05652,66.55652,0.2394650000000098
policies,66.77491,67.25384,0.7183899999999994
we,67.41348,67.57312,0.6385700000000014
can,67.57312,67.732765,0.159639999999996
grant,67.732765,67.97223,0.1596449999999976
you,67.97223,68.29152,0.2394649999999956
six,68.29152,68.6108,0.3192900000000094
months,68.6108,69.00991,0.319279999999992
of,69.00991,69.08973,0.3991100000000074
a,69.08973,69.32919,0.079819999999998
paid,69.32919,69.7283,0.239459999999994
article,69.7283,70.20723,0.3991100000000074
at,70.20723,70.44669,0.4789299999999912
ten,70.44669,70.68616,0.23946000000000822
k,70.68616,70.92562,0.23946999999999719
per,70.92562,71.085266,0.239459999999994
month,71.085266,71.32473,0.15964600000000928
so,71.883484,72.04312,0.7982179999999914
that'd,72.04312,72.282585,0.1596360000000061
be,72.282585,72.44223,0.2394649999999956
sixty,72.44223,72.84134,0.1596449999999976
k,72.84134,73.0808,0.3991100000000074
but,73.57481,74.05403,0.733469999999997
another,74.05403,74.53325,0.479219999999998
option,74.53325,74.77286,0.479219999999998
i'm,74.85273,75.01247,0.31947999999999865
willing,75.01247,75.33195,0.15973999999999933
to,75.33195,75.65143,0.31948000000001286
extend,75.65143,75.97091,0.31947999999999865
to,75.97091,76.05078,0.31947999999999865
you,76.05078,76.53,0.07986999999999966
is,76.53,77.03,0.479219999999998
the,77.80792,78.28715,1.2779199999999946
opportunity,78.28715,78.68649,0.47923000000000116
to,78.68649,78.9261,0.39934000000000935
sell,78.9261,79.24558,0.239609999999999
your,79.24558,79.74558,0.31947999999999865
intellectual,79.96442,80.2839,0.7188400000000001
property,80.2839,80.7839,0.31947999999999865
portfolio,81.00273,81.50273,0.718829999999997
for,82.280655,82.44039,1.2779249999999962
a,82.44039,82.60013,0.15973499999999774
really,82.60013,82.99948,0.15973999999999933
great,82.99948,83.398834,0.39935000000001253
deal,83.398834,83.79819,0.3993539999999882
of,83.79819,83.957924,0.3993560000000116
around,84.277405,84.51701,0.4792149999999964
two,84.51701,84.67676,0.2396049999999974
hundred,84.67676,85.155975,0.1597500000000025
k,85.155975,85.31572,0.4792149999999964
and,86.36961,86.60947,1.2136349999999965
i,86.76936,86.92926,0.3997500000000116
think,86.92926,87.169106,0.15989999999999327
that,87.169106,87.32901,0.239846
would,87.32901,87.48891,0.15990399999999738
be,87.48891,87.6488,0.15990000000000748
very,87.6488,87.9686,0.1598899999999901
valuable,87.9686,88.4686,0.31980000000000075
in,88.528244,88.7681,0.5596440000000058
you,88.92799,89.00794,0.3997459999999933
know,89.00794,89.08789,0.07995000000001085
helping,89.327736,89.64754,0.31979599999999664
you,89.64754,90.14754,0.31980400000000486
make,90.287125,90.44703,0.6395849999999967
some,90.44703,90.686874,0.15990499999999486
more,90.686874,90.92672,0.23984400000000505
money,90.92672,91.16657,0.239846
like,91.40642,91.566315,0.479699999999994
while,91.886116,92.28586,0.4796960000000041
not,92.28586,92.445755,0.3997439999999983
having,92.445755,92.76556,0.1598950000000059
to,92.76556,93.24525,0.3198049999999881
you,93.40515,93.4851,0.6395900000000125
know,93.4851,93.724945,0.07994999999999663
you,95.16403,95.24398,1.678929999999994
know,95.24398,95.40388,0.07994999999999663
like,96.12342,96.20337,0.8794400000000024
work,96.36327,96.86327,0.23985000000000412
these,96.92291,97.42291,0.5596400000000017
additional,97.56251,97.96226,0.6396000000000015
months,97.96226,98.28205,0.3997499999999974
and,98.76175,98.921646,0.7994900000000058
since,98.921646,99.08154,0.15989599999998916
you're,99.08154,99.321396,0.15989400000000842
looking,99.321396,99.56124,0.23985599999998897
for,99.56124,100.06124,0.23984400000000505
twenty,100.200836,100.44068,0.6395959999999974
one,100.44068,100.68053,0.23984400000000505
months,100.68053,100.84043,0.23985000000000412
right,101.00033,101.24017,0.31980000000000075
of,101.973885,102.05368,0.9735549999999904
sa,102.133484,102.293076,0.15959900000000005
medical,102.293076,102.61226,0.1595920000000035
