Word,Start Time,End Time,start_time_diff
hello,7.56,7.96,0.0
yeah,13.972539,14.05228,6.412539
i,14.291503,14.3712435,0.31896400000000114
can,14.3712435,14.5307255,0.07974049999999977
hear,14.5307255,14.610466,0.15948200000000057
you,14.610466,14.92943,0.07974049999999977
can,14.92943,15.248394,0.31896399999999936
hear,15.248394,15.328135,0.31896399999999936
me,15.328135,15.487617,0.07974100000000028
yeah,16.763472,17.002695,1.4353370000000005
is,21.468185,21.627668,4.704712999999998
there,21.627668,21.787151,0.1594830000000016
a,21.787151,21.946632,0.1594830000000016
thing,21.946632,22.185856,0.15948099999999954
about,22.185856,22.42508,0.2392240000000001
who,22.42508,22.504818,0.2392240000000001
has,22.504818,22.6643,0.07973799999999898
to,22.6643,22.903522,0.15948200000000057
start,22.903522,23.222488,0.23922199999999805
this,23.222488,23.46171,0.31896599999999964
so,32.02,32.18,8.797512000000005
i,32.34,32.420002,0.3200000000000003
think,32.420002,32.66,0.08000199999999325
i,32.82,33.14,0.39999800000000363
need,33.14,33.64,0.3200000000000003
around,33.7,34.2,0.5600000000000023
like,35.22,35.46,1.519999999999996
three,36.100002,36.34,0.8800020000000046
sixty,36.34,36.84,0.23999799999999993
k,36.9,37.06,0.5599999999999952
so,37.620003,37.86,0.7200029999999984
this,37.86,37.940002,0.23999700000000246
a,37.940002,38.18,0.08000200000000035
article,38.18,38.58,0.23999799999999993
so,51.03927,51.198536,12.859270000000002
i'm,51.278168,51.437435,0.23889799999999894
saying,51.437435,51.517067,0.15926699999999983
i,51.75597,51.8356,0.3185349999999971
think,51.8356,51.99487,0.07963000000000164
i,52.074505,52.154137,0.2389050000000026
need,52.154137,52.313404,0.0796319999999966
like,52.393036,52.552307,0.23889900000000353
three,52.71157,52.95047,0.31853399999999965
sixty,52.95047,53.34864,0.238900000000001
k,53.34864,53.58754,0.39817000000000036
for,53.58754,53.746807,0.2388999999999939
the,53.746807,53.82644,0.15926699999999983
sa,53.906075,54.065342,0.1592680000000044
vertical,54.065342,54.46351,0.15926699999999983
yeah,57.171047,57.40995,3.1057050000000004
like,60.77517,61.01466,3.6041230000000013
twenty,61.01466,61.333984,0.23948999999999643
one,61.333984,61.573475,0.3193240000000017
months,61.573475,61.812965,0.239491000000001
mh,63.96839,64.28771,2.3949149999999975
yeah,100.04901,100.36759,36.080619999999996
but,116.719795,116.87921,16.67078500000001
i,117.03863,117.11834,0.3188349999999929
did,117.11834,117.35747,0.07971000000000572
hear,117.35747,117.75601,0.23913000000000295
about,117.75601,118.05,0.398539999999997
someone,118.24943,118.5685,0.4934200000000004
else,118.5685,118.96735,0.3190699999999964
who,118.96735,119.28642,0.39884999999999593
sold,119.28642,119.60549,0.3190700000000106
their,119.60549,119.8448,0.3190699999999964
ip,120.16388,120.40318,0.5583900000000028
for,120.40318,120.802025,0.23930000000000007
about,120.802025,121.041336,0.39884499999999434
four,121.041336,121.28064,0.23931100000000072
hundred,121.28064,121.67948,0.23930400000000418
k,121.67948,121.91879,0.39883999999999276
but,144.60959,145.08888,22.93011
the,145.08888,145.58888,0.4792899999999918
other,146.20721,146.70721,1.1183300000000145
that,146.84627,146.92616,0.6390600000000006
i'm,147.00604,147.1658,0.15977000000000885
talking,147.1658,147.40544,0.15975999999997725
about,147.40544,147.6451,0.2396400000000085
is,147.6451,147.88474,0.23966000000001486
from,147.88474,148.12437,0.2396399999999801
our,148.12437,148.28415,0.23963000000000534
university,148.28415,148.78415,0.15978000000001202
as,148.84332,149.08296,0.5591699999999946
well,149.08296,149.24272,0.2396400000000085
so,149.96165,150.20131,0.8786899999999775
i,150.36107,150.44095,0.39942000000002054
and,150.68059,151.18059,0.31951999999998293
i,151.47942,151.9587,0.7988300000000095
believe,151.9587,152.19835,0.4792799999999886
sorry,152.75752,153.07704,0.7988200000000063
but,158.76193,159.16058,6.004410000000007
in,159.16058,159.47952,0.3986500000000035
general,159.47952,159.63899,0.3189399999999978
i,159.79845,159.87819,0.3189299999999946
think,159.87819,160.11739,0.07973999999998682
my,160.11739,160.35658,0.23920000000001096
ip,160.6755,161.1539,0.5581099999999992
is,161.1539,161.6539,0.4783999999999935
worth,161.95123,162.27016,0.7973300000000165
a,162.27016,162.50935,0.3189299999999946
lot,162.50935,162.74855,0.23919000000000779
more,162.74855,163.24855,0.23919999999998254
than,163.30669,163.54588,0.5581400000000087
that,163.54588,163.70535,0.23919000000000779
