Word,Start Time,End Time,start_time_diff
hello,17.575,17.895,0.0
so,36.747353,36.98655,19.172352999999998
i'm,37.146015,37.646015,0.3986620000000016
proposing,37.704144,38.204144,0.558129000000001
to,39.715,39.875,2.010856000000004
just,39.875,40.115,0.1599999999999966
sell,40.115,40.435,0.240000000000002
my,40.435,40.755,0.3200000000000003
patents,40.755,41.255,0.3200000000000003
for,41.475002,41.715,0.7200020000000009
a,41.715,42.115,0.23999799999999993
four,42.115,42.435,0.3999999999999986
hundred,42.435,42.915,0.3200000000000003
k,42.915,43.155003,0.4799999999999969
because,44.355003,44.675003,1.4400030000000044
recently,44.675003,45.175003,0.3199999999999932
another,46.195,46.595,1.5199970000000036
scientist,46.595,46.995003,0.3999999999999986
sold,46.995003,47.235,0.4000029999999981
their,47.235,47.735,0.23999700000000246
patents,48.115,48.615,0.8800000000000026
for,48.915,49.075,0.7999999999999972
four,49.075,49.315002,0.1600000000000037
hundred,49.315002,49.635002,0.24000199999999694
k,49.635002,49.795002,0.3200000000000003
but,50.115,50.275,0.4799980000000019
they're,50.275,50.515,0.1599999999999966
less,50.515,50.835003,0.240000000000002
valuable,50.835003,51.315002,0.3200029999999998
and,53.485092,53.644363,2.6500890000000012
i,53.724,54.201817,0.238907999999995
need,54.201817,54.701817,0.4778170000000017
it,54.759274,54.99818,0.5574569999999994
to,54.99818,55.157455,0.23890600000000006
fund,55.157455,55.475998,0.15927500000000094
my,55.475998,55.71491,0.31854299999999824
own,55.71491,56.192726,0.23891200000000623
sa,56.192726,56.431637,0.47781599999999713
vertical,56.431637,56.909454,0.23891100000000165
if,114.41794,114.57771,57.986303
i,114.6576,114.81737,0.23966000000000065
were,114.81737,114.97714,0.15976999999999464
given,114.97714,115.296684,0.15977000000000885
two,115.296684,115.53634,0.3195439999999934
hundred,115.53634,115.776,0.23965599999999654
twenty,115.776,116.09554,0.23966000000000065
five,116.09554,116.17543,0.3195400000000035
i,116.415085,116.49497,0.3195450000000051
wouldn't,116.49497,116.73463,0.07988499999999021
be,116.73463,116.894394,0.23966000000000065
able,116.894394,117.134056,0.1597640000000098
to,117.134056,117.29382,0.2396619999999956
go,117.29382,117.4536,0.15976399999999558
on,117.4536,117.61337,0.1597799999999978
the,117.61337,117.77314,0.15977000000000885
sub,117.77314,118.27314,0.15976999999999464
and,119.131195,119.631195,1.3580550000000073
i,120.42343,120.50314,1.292234999999991
would,120.50314,120.662575,0.07971000000000572
probably,120.662575,121.140854,0.159435000000002
look,121.140854,121.300285,0.47827900000000056
for,121.300285,121.38,0.15943099999999788
a,121.38,121.61914,0.0797149999999931
private,121.61914,122.11914,0.23914000000000613
ways,124.32943,124.728,2.7102900000000005
to,124.728,124.96714,0.3985699999999923
sell,124.96714,125.20628,0.23914000000000613
my,125.20628,125.60486,0.23914000000000613
patents,125.60486,126.003426,0.3985799999999955
and,126.402,126.56143,0.7971399999999988
then,126.56143,126.720856,0.1594300000000004
the,126.720856,126.88029,0.1594259999999963
university,126.88029,127.38029,0.15943400000000452
would,127.59772,127.75714,0.7174299999999931
be,127.75714,127.91657,0.15942000000001144
losing,127.91657,128.41656,0.1594299999999862
my,128.95285,129.11229,1.0362800000000192
value,129.11229,129.51086,0.15943999999998937
as,129.51086,129.67029,0.39857000000000653
a,129.67029,129.82971,0.1594299999999862
scientist,129.82971,130.308,0.15942000000001144
and,131.26457,131.424,1.4348599999999863
the,131.982,132.14143,0.7174300000000073
further,132.14143,132.61972,0.15943000000001462
advancements,132.61972,133.098,0.478289999999987
that,133.098,133.17772,0.47828000000001225
i,133.25743,133.41685,0.1594299999999862
make,133.41685,133.5763,0.15942000000001144
because,134.22878,134.62703,0.8119299999999896
going,134.62703,134.86597,0.3982499999999902
on,134.86597,135.02527,0.2389400000000137
the,135.02527,135.18457,0.15930000000000177
sa,135.18457,135.34387,0.15930000000000177
cervical,135.34387,135.82178,0.15930000000000177
also,135.82178,136.32178,0.4779099999999801
helped,136.53862,137.01653,0.716840000000019
rejuvenate,137.01653,137.51653,0.4779099999999801
me,137.73337,137.97232,0.716840000000019
and,137.97232,138.47232,0.23894999999998845
i'll,138.68918,138.84846,0.7168599999999969
be,138.84846,139.08742,0.15927999999999543
more,139.08742,139.24672,0.23896000000002005
likely,139.24672,139.72462,0.15930000000000177
to,139.72462,140.22462,0.4778999999999769
