Word,Start Time,End Time,start_time_diff
hello,7.8747606,8.194548,0.0
hi,15.7233,16.0425,7.8485394
okay,21.1497,21.3093,5.426399999999999
i,21.7881,21.9477,0.6384000000000007
wrote,21.9477,22.426498,0.15960000000000107
how,22.426498,22.745699,0.4787979999999976
we'd,22.745699,23.245699,0.3192009999999996
would,23.3841,23.5437,0.6384010000000018
to,23.5437,23.7033,0.15960000000000107
start,23.7033,24.0225,0.15959999999999752
this,24.0225,24.182098,0.31920000000000215
but,24.3417,24.8417,0.3191999999999986
do,25.6185,25.6983,1.2768000000000015
you,25.6983,25.7781,0.07979999999999876
wanna,25.7781,26.017498,0.07979999999999876
like,26.0973,26.1771,0.31920000000000215
i,26.3367,26.4165,0.23939999999999984
don't,26.4165,26.5761,0.07979999999999876
know,26.5761,26.6559,0.15960000000000107
do,26.815498,26.895298,0.23939800000000133
wanna,26.895298,27.2145,0.07979999999999876
begin,27.2145,27.2943,0.31920200000000065
or,27.4539,27.9539,0.23939999999999984
okay,50.110443,50.349686,22.656542999999996
right,55.373734,55.53323,5.263291000000002
okay,56.25095,56.330696,0.8772160000000042
so,56.56994,57.06994,0.31898999999999944
four,58.33909,58.578,1.7691499999999962
hundred,58.578,58.81691,0.23891000000000417
k,58.81691,59.31691,0.23890999999999707
definitely,59.533634,60.033634,0.7167239999999993
like,61.12636,61.365273,1.592725999999999
way,61.60418,62.10418,0.47782000000000124
i,62.400543,62.900543,0.7963629999999995
legally,63.515453,63.99327,1.1149100000000018
cannot,63.99327,64.07291,0.4778170000000017
i,64.15254,64.31182,0.15926999999999936
give,64.31182,64.47109,0.15927999999999543
off,64.47109,64.86927,0.15927000000000646
that,64.86927,65.02854,0.3981799999999964
much,65.02854,65.267456,0.15927000000000646
but,65.824905,65.90454,0.7963649999999944
obviously,66.143456,66.38236,0.31855099999999936
we,66.54163,67.04163,0.39817399999999736
value,67.25836,67.65655,0.7167299999999983
your,67.65655,67.97509,0.3981899999999996
time,67.97509,68.373276,0.3185399999999987
and,68.373276,68.45291,0.3981860000000097
like,68.53255,68.69182,0.15927399999999636
respect,69.09,69.249275,0.5574500000000029
your,69.249275,69.64745,0.15927499999999384
position,69.64745,69.88636,0.39817500000000905
here,69.88636,70.04564,0.23890999999998996
at,70.04564,70.125275,0.15928000000000964
the,70.125275,70.284546,0.07963499999999613
university,70.284546,70.784546,0.15927100000000394
for,71.655,71.814995,1.3704539999999952
this,71.814995,71.975,0.159994999999995
sa,71.975,72.134995,0.16000499999999818
about,72.134995,72.375,0.1599950000000092
we,72.534996,72.695,0.40000100000000316
can,72.695,72.854996,0.1600039999999865
offer,72.854996,73.095,0.1599960000000067
you,73.095,73.335,0.240003999999999
like,73.415,73.494995,0.3200000000000074
five,73.735,73.975,0.3199999999999932
months,73.975,74.375,0.23999999999999488
of,74.375,74.775,0.4000000000000057
paid,74.775,75.095,0.4000000000000057
tobacco,75.095,75.494995,0.3199999999999932
and,75.814995,75.975,0.7199949999999973
then,75.975,76.215,0.16000499999999818
if,76.215,76.295,0.2400000000000091
you,76.295,76.455,0.0799999999999983
want,76.455,76.615,0.1599999999999966
to,76.615,76.695,0.1599999999999966
take,76.695,76.775,0.0799999999999983
like,76.854996,76.935,0.1599960000000067
more,77.095,77.595,0.240003999999999
unpaid,77.655,77.975,0.5600000000000023
time,77.975,78.134995,0.3199999999999932
off,78.134995,78.375,0.1599950000000092
that,78.375,78.534996,0.24000499999999647
is,78.534996,78.695,0.1599960000000067
like,78.775,78.935,0.240003999999999
available,79.735,80.134995,0.9599999999999937
for,80.134995,80.455,0.3999950000000041
up,80.455,80.615,0.32000499999999477
to,80.615,80.774994,0.1599999999999966
i,80.935,81.095,0.3200000000000074
think,81.095,81.174995,0.1599999999999966
two,81.415,81.915,0.3200000000000074
