Word,Start Time,End Time,start_time_diff
chan,18.626102,18.705975,0.0
i,18.945583,19.025454,0.3194809999999997
can,19.025454,19.185194,0.07987100000000069
hear,19.185194,19.344934,0.15973999999999933
you,19.344934,19.504675,0.15973999999999933
can,19.664415,19.744286,0.31948100000000323
you,19.744286,19.904026,0.07987099999999714
hear,19.904026,20.063766,0.15974000000000288
me,20.063766,20.223507,0.15973999999999933
okay,21.501427,21.661167,1.4376609999999985
it's,21.90078,22.140388,0.3993530000000014
it's,22.140388,22.300129,0.2396080000000005
switched,22.300129,22.53974,0.1597409999999968
my,22.53974,22.69948,0.23961100000000002
microphone,22.69948,23.1787,0.15974000000000288
for,23.1787,23.33844,0.479219999999998
some,23.33844,23.49818,0.15973999999999933
reason,23.49818,23.817661,0.15974000000000288
there,25.829763,26.069607,2.3315829999999984
hi,27.66856,27.748507,1.8387969999999996
how,27.98835,28.068298,0.31979000000000113
are,28.068298,28.148245,0.07994799999999813
you,28.148245,28.30814,0.07994700000000066
doing,28.30814,28.627932,0.15989500000000234
hi,31.825836,31.905785,3.5176959999999973
i'm,32.06568,32.225574,0.2398440000000015
mystic,32.225574,32.545364,0.1598940000000013
nice,32.78521,32.945103,0.5596359999999976
to,32.945103,33.105,0.15989300000000384
meet,33.105,33.264893,0.15989699999999374
you,33.264893,33.42479,0.15989300000000384
so,36.4628,36.862537,3.1979070000000007
mister,36.862537,37.342224,0.3997370000000018
star,37.342224,37.662014,0.4796869999999984
scientist,37.662014,38.162014,0.3197899999999976
what,38.46149,38.621387,0.7994759999999985
can,38.621387,38.701332,0.15989700000000084
i,38.86123,38.941177,0.23984300000000047
do,38.941177,39.021126,0.07994700000000421
for,39.021126,39.18102,0.07994899999999916
you,39.18102,39.50081,0.1598939999999942
today,39.50081,39.660706,0.3197900000000047
alright,63.683514,63.763298,24.182704
cool,64.00265,64.242,0.3191360000000003
you,64.80048,64.96005,0.7978299999999905
are,64.96005,65.11962,0.1595700000000022
thinking,65.11962,65.43876,0.1595700000000022
of,65.43876,65.59833,0.3191400000000044
twenty,65.59833,65.91746,0.1595700000000022
one,65.91746,66.07703,0.31913000000000125
months,66.07703,66.396164,0.159569999999988
cool,78.63868,78.79858,12.56165
well,78.95847,79.11837,0.3197900000000118
that,79.19832,79.43817,0.2398499999999899
sounds,79.43817,79.59807,0.23985000000000412
like,79.59807,79.757965,0.15990000000000748
a,79.757965,79.91786,0.15989499999999168
very,79.91786,80.23766,0.1598950000000059
fun,80.23766,80.637405,0.31980000000000075
trip,80.637405,80.87726,0.3997449999999958
for,85.84708,86.006744,5.209675000000004
sure,86.006744,86.24625,0.15966399999999226
you,86.24625,86.48575,0.23950600000000577
definitely,86.48575,86.964745,0.2394999999999925
deserved,86.964745,87.20425,0.4789949999999976
it,87.20425,87.363914,0.2395050000000083
okay,88.24208,88.40175,1.0378299999999996
is,89.91858,90.41858,1.6765000000000043
there,90.63708,90.87658,0.7184999999999917
any,90.87658,91.35558,0.2395000000000067
price,91.35558,91.67491,0.4789999999999992
range,91.67491,91.91441,0.3193299999999937
you're,91.91441,92.153915,0.2395000000000067
looking,92.153915,92.47324,0.23950499999999408
at,92.47324,92.97324,0.3193250000000063
that,93.111916,93.35141,0.6386759999999896
you,93.35141,93.51108,0.23949400000000765
were,93.51108,93.670746,0.15967000000000553
hoping,93.670746,93.99008,0.1596659999999872
to,93.99008,94.14975,0.319334000000012
get,94.14975,94.54891,0.15966999999999132
during,94.54891,95.027916,0.39916000000000906
medical,95.027916,95.42708,0.47900599999999827
got,109.755,109.835,14.72708399999999
it,109.835,109.994995,0.0799999999999983
got,110.155,110.395,0.3200000000000074
it,110.395,110.555,0.23999999999999488
so,111.369995,111.869995,0.9749950000000069
that's,112.409996,112.909996,1.0400010000000037
unfortunately,113.93,114.43,1.5200040000000001
is,114.65,114.97,0.7199999999999989
a,114.97,115.21,0.3199999999999932
bit,115.21,115.689995,0.23999999999999488
high,115.689995,116.189995,0.4799950000000024
for,116.409996,116.89,0.7200010000000105
twenty,116.89,117.13,0.4800039999999939
one,117.13,117.369995,0.23999999999999488
months,117.369995,117.689995,0.2399950000000075
and,117.689995,117.77,0.3199999999999932
your,117.77,118.009995,0.08000499999999988
current,118.009995,118.33,0.2399950000000075
standing,118.33,118.729996,0.32000499999999477
with,118.729996,118.89,0.3999960000000016
us,118.89,119.13,0.1600040000000007
how,122.81,123.13,3.9200000000000017
about,123.13,123.63,0.3199999999999932
can,124.50487,124.66476,1.3748700000000014
we,124.66476,124.824646,0.1598900000000043
drop,124.824646,124.98454,0.1598860000000002
it,124.98454,125.14443,0.1598939999999942
down,125.14443,125.30432,0.1598900000000043
to,125.30432,125.38427,0.1598900000000043
like,125.54416,125.62411,0.23984000000000094
two,125.784,126.02384,0.23984000000000094
hundred,126.02384,126.50352,0.23984000000000094
k,126.50352,126.743355,0.47967999999998767
okay,170.12746,170.28716,43.62394000000002
