Word,Start Time,End Time,start_time_diff
hello,6.0885,6.327265,0.0
how,6.5660295,6.804794,0.47752950000000016
you,6.804794,7.0435586,0.23876450000000027
sorry,29.21,29.449999,22.405206
i'm,29.77,29.93,0.5599999999999987
just,29.93,30.17,0.16000000000000014
trying,30.17,30.33,0.240000000000002
to,30.33,30.83,0.1599999999999966
get,30.97,31.449999,0.6400000000000006
myself,31.449999,31.849998,0.4799989999999994
together,31.849998,32.17,0.3999990000000011
yeah,37.85,38.09,6.000002000000002
this,38.25,38.41,0.3999999999999986
is,38.41,38.57,0.1599999999999966
a,38.57,38.809998,0.1600000000000037
lot,38.809998,38.97,0.23999799999999993
and,39.21,39.53,0.40000200000000063
i'm,39.77,39.93,0.5600000000000023
mentally,39.93,40.43,0.1599999999999966
clocked,40.489998,40.809998,0.5599980000000002
out,40.809998,40.97,0.3200000000000003
from,40.97,41.29,0.16000199999999865
school,41.29,41.37,0.3200000000000003
so,41.53,41.69,0.240000000000002
i'm,41.85,42.17,0.3200000000000003
actually,42.17,42.67,0.3200000000000003
confused,43.622612,44.122612,1.452611999999995
as,44.180645,44.419804,0.5580330000000018
to,44.419804,44.499523,0.2391590000000008
what,44.499523,44.738678,0.07971900000000431
i'm,44.818398,45.057556,0.31887499999999847
supposed,45.057556,45.216995,0.2391579999999962
to,45.216995,45.37643,0.159438999999999
do,45.37643,45.61559,0.159435000000002
yeah,57.75,57.83,12.37357
of,57.99,58.15,0.240000000000002
course,58.15,58.390003,0.1599999999999966
yeah,95.96036,96.27995,37.810359999999996
no,98.99648,99.236176,3.036120000000011
oh,100.83414,100.91403,1.8376599999999996
sorry,101.07383,101.23363,0.23968999999999596
go,101.39342,101.553215,0.31959000000000515
ahead,101.553215,101.71301,0.15979499999998836
i,113.601204,113.76047,12.047989000000001
guess,113.76047,113.8401,0.15926600000000235
okay,114.15864,114.3179,0.39817000000000746
as,114.95497,115.11424,0.7963299999999975
the,115.11424,115.273506,0.15926999999999225
role,115.273506,115.43277,0.15926600000000235
of,115.43277,115.59204,0.1592640000000074
the,115.59204,115.751305,0.15926999999999225
promos,115.751305,116.149475,0.15926500000000487
i,116.786545,116.86618,1.0352400000000017
can,116.86618,117.10508,0.07963499999999613
offer,117.10508,117.423615,0.238900000000001
you,117.423615,117.66251,0.3185349999999971
two,117.66251,117.74214,0.2388949999999994
hundred,117.74214,117.98105,0.07963000000000875
fifty,117.98105,118.37921,0.23890999999998996
thousand,118.37921,118.87921,0.3981600000000043
this,121.43,121.59,3.0507900000000063
is,121.59,121.75,0.1599999999999966
a,121.75,121.909996,0.1599999999999966
scaled,121.909996,122.229996,0.1599960000000067
portion,122.229996,122.71,0.3199999999999932
of,122.71,122.869995,0.4800039999999939
it,122.869995,123.35,0.1599950000000092
given,123.35,123.59,0.48000499999999136
that,123.59,123.829994,0.2400000000000091
it's,123.829994,124.07,0.23999399999999582
capped,124.07,124.31,0.24000599999999395
at,124.31,124.79,0.2400000000000091
two,124.79,125.03,0.480000000000004
hundred,125.03,125.27,0.23999999999999488
seventy,125.27,125.59,0.23999999999999488
five,125.59,125.829994,0.3200000000000074
thousand,125.829994,126.229996,0.23999399999999582
this,128.06999,128.39,2.2399959999999908
deal,128.39,128.70999,0.32000999999999635
it'll,129.19,129.59,0.8000000000000114
allow,129.59,129.83,0.4000000000000057
you,129.83,130.23,0.2400000000000091
to,130.23,130.73,0.39999999999997726
retain,130.79,131.19,0.5600000000000023
partial,131.19,131.69,0.4000000000000057
ownership,131.91,132.39,0.7199999999999989
state,132.39,132.63,0.47999999999998977
in,132.63,132.70999,0.2400000000000091
the,132.70999,132.87,0.07999000000000933
patents,132.87,133.37,0.16000999999999976
and,133.43,133.93,0.5600000000000023
continue,133.98999,134.31,0.5599899999999991
benefiting,134.31,134.79,0.32000999999999635
from,135.5231,136.0231,1.2130999999999972
being,136.15976,136.47807,0.6366600000000062
a,136.47807,136.95557,0.31830999999999676
potential,136.95557,137.1943,0.47749999999999204
scientist,137.1943,137.6943,0.23873000000000388
at,138.38802,138.62675,1.1937200000000132
the,138.62675,138.70634,0.23872999999997546
university,138.78592,139.28592,0.15917000000001735
and,141.4121,141.57124,2.626180000000005
then,141.57124,141.81,0.1591399999999794
also,141.81,142.04874,0.2387600000000134
a,142.04874,142.2079,0.23874000000000706
non,142.2079,142.6058,0.15915999999998576
complete,142.6058,142.92412,0.3978999999999928
clause,142.92412,143.16287,0.31831999999999994
is,143.16287,143.48119,0.23875000000001023
included,143.48119,143.79951,0.31831999999999994
in,143.79951,143.95868,0.31831999999999994
this,143.95868,144.277,0.15916999999998893
agreement,144.277,144.59532,0.31831999999999994
so,145.47072,145.78903,1.1937200000000132
you,145.78903,146.02777,0.31830999999999676
can't,146.02777,146.26653,0.23874000000000706
use,146.26653,146.66443,0.23875999999998498
your,146.66443,146.82358,0.39790000000002124
patents,146.82358,147.2215,0.15914999999998258
to,147.2215,147.46024,0.39791999999999916
directly,147.46024,147.96024,0.23874000000000706
compete,148.09688,148.47,0.6366399999999999
with,148.66908,148.82835,0.5722000000000094
the,148.82835,149.22652,0.15926999999999225
universities,149.22652,149.72652,0.39816999999999325
research,150.18213,150.65993,0.9556100000000072
activities,150.65993,151.05809,0.477800000000002
and,152.01369,152.2526,1.353759999999994
your,152.2526,152.65076,0.23891000000000417
sa,152.65076,153.15076,0.3981599999999901
request,153.76562,154.08417,1.1148600000000215
is,154.08417,154.4027,0.3185499999999877
approved,154.4027,154.72124,0.31853000000000975
with,154.72124,154.8805,0.3185399999999845
the,154.8805,155.19904,0.1592600000000175
duration,155.19904,155.43793,0.3185399999999845
of,155.43793,155.5972,0.23888999999999783
six,155.5972,155.8361,0.15926999999999225
months,155.8361,156.23427,0.238900000000001
for,156.23427,156.73427,0.3981700000000217
ten,156.87134,157.11023,0.6370699999999943
thousand,157.11023,157.34914,0.23888999999999783
a,157.34914,157.5084,0.23891000000000417
month,157.5084,157.7473,0.15925999999998908
