Word,Start Time,End Time,start_time_diff
hello,1.4780526,1.637842,0.0
how's,1.8775263,1.9574211,0.39947369999999993
it,1.9574211,2.0373158,0.07989479999999993
going,2.0373158,2.3568947,0.0798947000000001
i'm,4.1145787,4.2743683,2.0772629
doing,4.2743683,4.5939474,0.15978959999999987
well,4.5939474,4.753737,0.31957910000000034
alright,7.4701576,7.629947,2.8762102
so,7.869632,7.9495263,0.3994743999999999
let's,7.9495263,8.189211,0.07989429999999942
see,8.189211,8.508789,0.23968470000000064
please,9.387631,9.707211,1.1984200000000005
just,9.707211,9.946895,0.3195799999999984
be,9.946895,10.106684,0.23968400000000045
it,10.106684,10.186579,0.15978899999999996
know,10.745842,10.985526,0.6391580000000001
about,10.985526,11.145316,0.23968400000000045
your,11.145316,11.645316,0.1597899999999992
okay,18.1042,18.502722,6.958883999999999
yeah,29.19886,29.35851,11.094660000000001
i'm,29.597982,29.757631,0.3991219999999984
also,29.757631,30.076931,0.1596490000000017
trying,30.076931,30.396229,0.31929999999999836
to,30.396229,30.896229,0.3192980000000034
read,32.47167,32.71114,2.0754410000000014
all,32.71114,32.950615,0.23946999999999719
the,32.950615,33.450615,0.23947499999999877
information,33.828686,34.068157,0.8780709999999985
no,42.704716,42.784653,8.87603
i,42.944527,43.264275,0.2398110000000031
understand,43.264275,43.42415,0.31974799999999703
just,52.936615,53.09649,9.672340000000005
give,53.09649,53.176426,0.15987499999999955
me,53.176426,53.336296,0.07993599999999645
one,53.336296,53.576107,0.15986999999999796
tell,53.576107,53.73598,0.2398110000000031
you,53.73598,53.895855,0.1598729999999975
okay,87.09244,87.25203,33.35646
so,87.41163,87.57122,0.3191900000000061
i,87.73081,87.81061,0.3191800000000029
mean,87.81061,87.89041,0.07979999999999166
i,88.05,88.209595,0.2393900000000002
assume,88.209595,88.36919,0.15959499999999593
we're,88.36919,88.60858,0.15959500000001015
supposed,88.60858,88.76817,0.2393900000000002
to,88.76817,88.84797,0.15958999999999435
just,88.84797,89.34797,0.07980000000000587
discuss,89.56615,89.72574,0.7181799999999896
the,89.72574,89.96513,0.15959000000000856
deal,89.96513,90.36411,0.2393900000000002
that,90.36411,90.60351,0.39897999999999456
we,90.60351,90.7631,0.2394000000000034
come,90.7631,90.92269,0.15958999999999435
to,90.92269,91.42269,0.15959000000000856
the,91.88026,92.19945,0.957570000000004
actual,92.19945,92.69945,0.31918999999999187
it's,94.83274,94.99234,2.6332900000000024
in,94.99234,95.49234,0.15959999999999752
yeah,96.68224,96.76195,1.6898999999999944
