Word,Start Time,End Time,start_time_diff
hello,29.567055,29.886244,0.0
hello,32.04076,32.519543,2.473704999999999
i've,52.57229,52.732048,20.531530000000004
done,52.732048,52.891808,0.15975799999999651
yes,53.211327,53.371086,0.47927899999999823
i've,53.61072,53.77048,0.39939300000000344
done,53.77048,54.09,0.15975999999999857
i've,54.968674,55.128433,1.1981940000000009
done,55.128433,55.288193,0.1597590000000011
some,55.288193,55.527832,0.15975999999999857
deal,55.527832,55.68759,0.23963899999999683
now,55.68759,55.76747,0.15975800000000362
it's,55.92723,56.086987,0.2396400000000014
just,56.086987,56.406506,0.15975699999999904
i,57.779728,57.93961,1.692740999999998
think,57.93961,58.099487,0.1598820000000032
there,58.099487,58.25937,0.1598770000000016
were,58.25937,58.41925,0.15988299999999356
just,58.41925,58.49919,0.15988000000000113
a,58.49919,58.73901,0.07994000000000057
few,58.73901,59.13871,0.2398200000000017
sentences,59.858173,60.337814,1.1191630000000004
yeah,79.66961,79.74929,19.811437000000005
think,79.90865,80.147705,0.2390399999999886
so,80.147705,80.30707,0.23905500000000757
the,113.896194,114.13604,33.74848899999999
total,114.13604,114.63604,0.239846
i,116.95,117.03,2.8139600000000087
i'm,117.35,117.59,0.3999999999999915
interested,117.59,118.07,0.2400000000000091
in,118.07,118.229996,0.47999999999998977
yes,121.19,121.35,3.1200000000000045
in,121.59,121.75,0.4000000000000057
this,121.75,121.99,0.1599999999999966
ip,122.71,123.11,0.9599999999999937
portfolio,123.11,123.43,0.4000000000000057
and,123.83,123.99,0.7199999999999989
i,124.15,124.229996,0.3200000000000074
i,124.47,124.55,0.3199999999999932
i,124.79,124.95,0.3200000000000074
was,124.95,125.45,0.1599999999999966
understanding,126.229996,126.39,1.279995999999997
that,126.39,126.55,0.1600040000000007
it,126.55,126.63,0.1599999999999966
was,126.63,126.71,0.0799999999999983
like,126.71,126.79,0.0799999999999983
it,126.95,127.03,0.2400000000000091
was,127.03,127.51,0.0799999999999983
considerably,127.51,127.99,0.480000000000004
more,128.87,129.27,1.3599999999999994
in,129.27,129.43,0.4000000000000057
in,129.43,129.67,0.1599999999999966
value,129.67,129.99,0.23999999999998067
i,130.88373,130.96338,1.2137300000000266
felt,130.96338,131.20229,0.07964999999998668
got,131.20229,131.28192,0.23891000000000417
a,131.28192,131.36157,0.07963000000000875
lot,131.36157,131.44121,0.07964999999998668
of,131.44121,131.60048,0.07964000000001192
my,131.60048,132.10048,0.15926999999999225
colleagues,133.6711,134.0693,2.070619999999991
both,134.30821,134.78606,0.637110000000007
this,134.78606,134.86569,0.47784999999998945
university,134.94533,135.44533,0.15927000000002067
and,135.5028,135.66208,0.557469999999995
and,135.66208,135.82137,0.15927999999999543
and,136.06027,136.2992,0.3981899999999996
in,136.2992,136.45848,0.23893000000001052
our,136.45848,136.85667,0.15927999999999543
in,136.85667,137.01595,0.3981899999999996
our,137.01595,137.41414,0.15927999999999543
our,138.92729,139.08656,1.9113399999999956
neighboring,139.5644,140.0644,0.637110000000007
universities,140.12187,140.52008,0.557469999999995
and,141.23683,141.73683,1.1149599999999964
colleagues,141.87393,142.35178,0.6371000000000038
and,142.35178,142.51105,0.47784999999998945
other,142.51105,142.8296,0.15927000000002067
universities,142.8296,143.30745,0.3185499999999877
that,143.30745,143.54636,0.47784999999998945
have,143.94455,144.18347,0.6371000000000038
got,144.18347,144.4224,0.23892000000000735
considerably,144.4224,144.74095,0.23893000000001052
more,144.74095,144.90022,0.3185499999999877
than,144.90022,145.13914,0.15926999999999225
that,145.13914,145.37807,0.23892000000000735
for,145.37807,145.61697,0.23893000000001052
their,145.61697,146.07,0.238900000000001
ips,146.58932,146.74911,0.9723499999999774
and,146.9089,147.14859,0.319580000000002
they're,147.14859,147.30838,0.23969000000002438
not,147.30838,147.38828,0.15978999999998678
they,147.54807,147.70786,0.23968999999999596
haven't,147.70786,147.86765,0.1597900000000152
been,147.86765,147.94754,0.15978999999998678
doing,147.94754,148.2671,0.07989000000000601
quite,148.2671,148.347,0.3195599999999956
as,148.347,148.50679,0.07990000000000919
much,148.50679,148.66658,0.15978999999998678
as,148.66658,148.74648,0.1597900000000152
i,148.82637,148.98616,0.15978999999998678
have,148.98616,149.06606,0.1597900000000152
so,149.22585,149.30574,0.23968999999999596
i'm,149.38564,149.62532,0.15978999999998678
i'm,149.78511,149.865,0.399470000000008
thinking,149.865,150.10469,0.07989000000000601
more,150.10469,150.18459,0.23968999999999596
in,150.18459,150.26448,0.07989999999998076
the,150.26448,150.42427,0.07989000000000601
lines,150.42427,150.58406,0.1597900000000152
of,150.58406,150.66396,0.15978999999998678
like,150.74385,150.82375,0.1597900000000152
five,150.98354,151.14333,0.23968999999999596
hundred,151.14333,151.38301,0.15978999999998678
thousand,151.38301,151.70259,0.2396800000000212
is,151.70259,151.86238,0.31957999999997355
what,151.86238,152.10207,0.1597900000000152
my,152.10207,152.26186,0.23968999999999596
would,152.9809,153.14069,0.8788299999999936
be,153.14069,153.22058,0.1597900000000152
in,153.22058,153.30048,0.07989000000000601
a,153.30048,153.46027,0.07989999999998076
good,153.46027,153.69995,0.1597900000000152
good,153.69995,153.93964,0.2396799999999928
price,153.93964,154.25922,0.23968999999999596
for,154.25922,154.4989,0.319580000000002
my,154.4989,154.81848,0.2396799999999928
ip,155.29785,155.61743,0.7989500000000191
portfolio,155.61743,155.93701,0.319580000000002
well,174.69861,174.93741,19.08117999999999
as,176.44986,176.60905,1.7512499999999989
you,176.60905,176.84787,0.15918999999999528
as,176.84787,177.00706,0.23882000000000403
you,177.00706,177.16628,0.15918999999999528
well,177.16628,177.48468,0.1592200000000048
aware,177.48468,177.64389,0.3183999999999969
i've,178.51952,179.01952,1.0348400000000026
done,180.35037,180.82799,1.830849999999998
vast,180.82799,181.1464,0.4776200000000017
amount,181.1464,181.30559,0.3184100000000001
of,181.30559,181.80559,0.15918999999999528
research,181.94241,182.26082,0.6368200000000002
in,182.26082,182.76082,0.3184100000000001
in,182.81804,183.31804,0.5572200000000009
in,183.69366,183.85287,0.8756199999999978
several,183.85287,184.17128,0.15921000000000163
areas,184.17128,184.67128,0.3184100000000001
and,185.12651,185.62651,0.9552300000000002
my,186.87775,187.37775,1.7512399999999957
publications,190.56364,190.88344,3.6858900000000006
have,190.88344,191.38344,0.31980000000001496
borne,191.84282,192.08266,0.9593799999999817
out,192.08266,192.40245,0.23984000000001515
that,192.40245,192.6423,0.31978999999998337
that,193.04204,193.28189,0.6395899999999983
there's,193.28189,193.36183,0.23985000000001833
a,193.36183,193.60168,0.07993999999999346
lot,193.60168,193.76158,0.2398499999999899
of,193.76158,193.92148,0.1599000000000217
potential,194.9608,195.20065,1.1992199999999968
in,195.20065,195.44049,0.2398499999999899
in,195.44049,195.92018,0.23984000000001515
in,195.92018,196.23997,0.47968999999997664
in,196.23997,196.39987,0.3197900000000118
this,196.39987,196.87956,0.15989999999999327
for,196.87956,197.03946,0.47969000000000506
for,198.0788,198.39859,1.1992400000000032
patents,198.39859,198.87828,0.3197900000000118
and,198.87828,199.27802,0.47968999999997664
and,199.27802,199.59781,0.3997400000000084
and,199.59781,199.83766,0.3197900000000118
for,199.83766,199.99756,0.2398499999999899
and,200.95694,201.1968,1.1192800000000034
and,201.1968,201.35669,0.23985999999999308
for,201.35669,201.59653,0.1598899999999901
really,201.59653,201.75642,0.23984000000001515
doing,201.75642,202.15617,0.1598899999999901
doing,202.15617,202.39601,0.3997500000000116
well,202.39601,202.63586,0.23983999999998673
and,202.63586,203.13586,0.23985000000001833
advancing,203.43535,203.93535,0.7994899999999916
that's,204.25,204.49,0.8146500000000003
a,204.49,204.99,0.2400000000000091
science,205.05,205.55,0.5600000000000023
and,205.93001,206.25,0.8800099999999986
and,206.25,206.41,0.31998999999999
also,206.41,206.73,0.1599999999999966
really,207.13,207.45,0.7199999999999989
helping,207.45,207.77,0.3199999999999932
university,207.77,208.25,0.3200000000000216
as,208.25,208.41,0.47999999999998977
far,208.41,208.57,0.1599999999999966
as,208.57,208.73,0.1599999999999966
their,208.73,209.23,0.1599999999999966
their,210.33,210.81,1.6000000000000227
funding,212.09,212.49,1.759999999999991
goes,212.49,212.81,0.4000000000000057
and,212.81,213.05,0.3199999999999932
and,213.05,213.21,0.2400000000000091
their,213.21,213.45,0.1599999999999966
in,213.45,213.61,0.23999999999998067
their,213.61,213.93001,0.160000000000025
and,214.65,214.89,1.039999999999992
and,214.89,215.13,0.23999999999998067
and,215.13,215.53,0.2400000000000091
and,215.53,215.985,0.4000000000000057
and,216.34407,216.82283,0.8140699999999867
prestige,216.82283,217.14201,0.4787600000000225
for,217.14201,217.64201,0.3191799999999887
alumni,217.86015,218.33891,0.7181400000000053
and,218.33891,218.83891,0.4787599999999941
potential,218.97726,219.47726,0.6383500000000026
increased,219.9348,220.33377,0.9575399999999945
endowment,220.33377,220.57315,0.3989699999999914
it's,220.73273,220.81253,0.39896000000001663
just,220.81253,220.9721,0.07980000000000587
a,220.9721,221.2115,0.1595700000000022
it's,221.2115,221.29129,0.23939999999998918
just,221.29129,221.45088,0.07979000000000269
a,221.45088,221.92964,0.15959000000000856
this,222.48819,222.80737,1.0373099999999909
this,222.80737,223.04675,0.3191799999999887
project,223.04675,223.54675,0.23938000000001125
that,224.48305,224.64262,1.4362999999999886
i'm,224.72243,224.882,0.23938000000001125
working,224.882,225.1214,0.1595700000000022
on,225.1214,225.6214,0.23939999999998918
would,225.83954,226.23851,0.7181400000000053
really,226.23851,226.73851,0.3989699999999914
enhance,227.11624,227.35562,0.8777300000000139
all,228.07376,228.31314,0.9575199999999882
all,228.39294,228.55252,0.3191800000000171
think,228.55252,229.05252,0.15957999999997696
about,229.19087,229.27068,0.6383500000000026
our,229.27068,229.51006,0.07981000000000904
school,229.51006,229.74944,0.23938000000001125
and,230.38779,230.88779,0.8777299999999855
it,241.28,241.51999,10.892210000000006
would,241.51999,241.68,0.23999000000000592
i,242.15999,242.23999,0.6399999999999864
think,242.23999,242.4,0.0800000000000125
it,242.4,242.56,0.16000999999999976
would,242.56,242.72,0.1599999999999966
it,242.72,242.79999,0.1599999999999966
would,242.79999,242.95999,0.07999000000000933
be,242.95999,243.12,0.1599999999999966
the,243.12,243.28,0.16000999999999976
former,243.28,243.78,0.1599999999999966
that,244.08,244.4,0.8000000000000114
that,244.87999,245.2,0.7999899999999798
re,247.13438,247.53351,2.254390000000001
research,247.53351,247.77298,0.39913000000001375
yeah,248.89052,249.12999,1.3570100000000025
i,287.54745,287.78638,38.65693000000002
i,287.94565,288.10492,0.39819999999997435
have,288.10492,288.18457,0.15926999999999225
i,288.34384,288.5031,0.23892000000000735
i,288.66238,288.8217,0.3185399999999845
agree,288.8217,289.0606,0.15932000000003654
that,289.0606,289.5606,0.238900000000001
the,290.9079,291.06732,1.8472999999999615
tobacco,294.09665,294.33582,3.1887500000000273
and,294.33582,294.49524,0.23917000000000144
time,294.49524,294.7344,0.15942000000001144
office,294.7344,294.97357,0.23915999999996984
is,294.97357,295.133,0.23917000000000144
is,295.133,295.37216,0.1594299999999862
important,295.37216,295.5316,0.23916000000002668
