Word,Start Time,End Time,start_time_diff
hello,6.8843822,7.2027354,0.0
hello,8.078206,8.316971,1.1938237999999997
i'm,11.261735,11.5005,3.183529
doing,11.5005,11.7392645,0.23876500000000078
well,11.7392645,11.898441,0.23876450000000027
how,12.216794,12.296382,0.4775294999999993
are,12.296382,12.375971,0.07958799999999933
you,12.375971,12.535147,0.07958900000000035
yeah,29.28113,29.78113,16.905159
okay,63.079437,63.15914,33.798306999999994
thank,63.398254,63.637367,0.3188170000000028
you,63.637367,63.796776,0.23911299999999613
right,87.96583,88.20549,24.328463
now,88.20549,88.36526,0.23966000000000065
i'm,88.60492,88.76469,0.3994300000000095
looking,88.76469,89.08423,0.15976999999999464
after,89.08423,89.32389,0.3195400000000035
all,89.32389,89.40378,0.23966000000000065
my,89.563545,90.063545,0.23965499999999906
calculations,90.28252,90.76183,0.7189750000000004
for,90.76183,91.16126,0.4793099999999981
the,91.16126,91.32103,0.3994299999999953
sa,91.32103,91.480804,0.15976999999999464
cervical,91.480804,91.96011,0.15977400000001296
i'm,92.91875,93.078514,1.4379459999999966
gonna,93.078514,93.31818,0.15976399999999558
need,93.31818,93.81818,0.2396659999999997
at,93.87737,94.03715,0.559190000000001
least,94.03715,94.53715,0.1597799999999978
four,94.836006,95.15555,0.7988560000000007
hundred,95.15555,95.3952,0.3195440000000076
and,95.3952,95.63486,0.23964999999999748
fifty,95.63486,96.114174,0.23966000000000065
k,96.114174,96.614174,0.47931400000000224
to,97.31246,97.632,1.198285999999996
fund,97.632,98.132,0.3195400000000035
the,98.51074,99.01074,0.8787399999999934
my,99.24454,99.5638,0.7338000000000022
trip,99.5638,99.88306,0.3192599999999999
and,99.88306,100.04269,0.3192599999999999
like,100.20232,100.361946,0.3192599999999999
my,100.44176,100.84083,0.23944000000000187
research,100.84083,101.16009,0.3990699999999947
at,101.16009,101.31972,0.3192599999999999
like,101.399536,101.559166,0.23944600000000094
a,101.79861,102.038055,0.3990739999999988
neighboring,102.038055,102.357315,0.23944500000000346
institute,102.756386,102.995834,0.7183310000000063
so,154.42375,154.92375,51.667364000000006
part,154.98183,155.14127,0.5580799999999897
of,155.14127,155.30072,0.15943999999998937
my,155.30072,155.53989,0.15945000000002096
sa,155.53989,155.69934,0.23917000000000144
vatican,155.69934,156.19934,0.15944999999999254
is,156.2574,156.73575,0.5580599999999833
is,156.73575,156.97491,0.47835000000000605
mainly,156.97491,157.29381,0.23915999999999826
for,157.29381,157.53299,0.3189000000000135
health,157.53299,157.77216,0.2391800000000046
reasons,157.77216,158.2505,0.23917000000000144
i,160.16386,160.24359,2.391699999999986
