Word,Start Time,End Time,start_time_diff
hello,4.8257647,5.3043528,0.0
how,8.813999,8.8937645,3.988234300000001
are,8.8937645,9.133059,0.07976549999999882
you,9.133059,9.292587,0.23929449999999974
i'm,12.243881,12.483176,3.1108220000000006
great,12.483176,12.802235,0.23929500000000026
okay,16.16671,16.405943,3.683533999999998
man,21.110893,21.190638,4.944183000000002
i've,21.429873,21.589363,0.3189799999999998
never,21.589363,21.748852,0.15948999999999813
done,21.748852,21.90834,0.15948900000000066
a,21.90834,22.40834,0.15948799999999963
negotiation,22.626045,23.024769,0.7177050000000023
on,23.024769,23.264004,0.39872399999999786
the,23.264004,23.66273,0.23923500000000075
computer,23.66273,24.1412,0.3987259999999999
before,24.1412,24.460178,0.4784700000000015
like,24.460178,24.699413,0.31897799999999776
this,24.699413,24.938648,0.23923500000000075
but,25.177883,25.656353,0.4784700000000015
it's,25.656353,26.156353,0.47846999999999795
i,26.294312,26.61329,0.6379590000000022
it's,26.61329,26.772781,0.31897799999999776
gonna,26.772781,27.012016,0.15949099999999916
be,27.012016,27.171505,0.23923500000000075
good,27.171505,27.41074,0.15948900000000066
so,32.132473,32.53144,4.960967999999998
hello,32.53144,32.930412,0.39896700000000607
i'm,33.169792,33.409176,0.6383519999999976
the,33.409176,33.648556,0.23938400000000115
provost,33.648556,34.148556,0.23937999999999704
and,35.723194,35.962578,2.074638
today,35.962578,36.281754,0.23938400000000115
we'll,36.281754,36.361546,0.3191759999999988
be,36.361546,36.84031,0.07979199999999764
negotiating,36.84031,37.07969,0.4787640000000053
you,37.159485,37.31907,0.3191749999999942
know,37.31907,37.47866,0.15958500000000697
just,37.71804,37.87763,0.3989699999999985
the,37.87763,38.037216,0.15959000000000145
basics,38.037216,38.537216,0.15958599999999734
of,38.59577,39.074535,0.5585540000000009
your,39.074535,39.234123,0.47876499999999567
ip,39.5533,39.952267,0.47876500000000277
portfolio,39.952267,40.351234,0.39896699999999896
as,40.989586,41.228966,1.0373190000000037
well,41.228966,41.388557,0.23937999999999704
as,41.388557,41.627937,0.15959099999999893
your,41.627937,41.787525,0.23938000000000415
sa,41.787525,41.947113,0.1595879999999994
cervical,41.947113,42.447113,0.1595879999999994
as,42.74505,43.14402,0.7979369999999975
the,43.14402,43.3834,0.3989699999999985
star,43.3834,43.62278,0.23938000000000415
scientist,43.62278,44.12278,0.23937999999999704
and,44.914097,45.073376,1.2913169999999994
i,45.312294,45.471573,0.39819700000000324
wanna,45.471573,45.71049,0.15927899999999795
reiterate,45.71049,46.21049,0.2389170000000007
this,46.267963,46.58652,0.5574730000000017
with,46.58652,46.82544,0.3185569999999984
saying,46.82544,47.223633,0.23892000000000024
how,47.223633,47.723633,0.39819299999999913
we,50.170284,50.409203,2.946651000000003
really,50.409203,50.648117,0.23891899999999566
value,50.648117,51.046314,0.23891400000000118
you,51.046314,51.546314,0.39819700000000324
as,51.683426,52.081623,0.6371119999999948
not,52.081623,52.32054,0.39819700000000324
only,52.32054,52.40018,0.2389170000000007
an,52.40018,52.71874,0.07963999999999771
employee,52.71874,52.957657,0.31855999999999796
but,53.116932,53.43549,0.39819200000000166
as,53.43549,53.59477,0.318558000000003
a,53.59477,53.833687,0.15927999999999543
person,53.833687,54.152245,0.2389170000000007
and,54.39116,54.89116,0.5574730000000017
we,55.26719,55.426468,0.8760300000000001
take,55.426468,55.904305,0.15927800000000047
your,55.904305,56.404305,0.47783700000000096
education,56.939613,57.33781,1.0353080000000006
and,57.33781,57.57673,0.39819699999999614
your,57.57673,57.895283,0.23892000000000024
research,57.895283,58.1342,0.3185530000000014
goals,58.1342,58.6342,0.2389170000000007
very,58.850952,59.16951,0.7167519999999996
seriously,59.16951,59.647346,0.318558000000003
so,62.776154,63.276154,3.6066439999999957
we,64.21402,64.37379,1.4378660000000067
wanna,64.37379,64.613434,0.15976999999999464
do,64.613434,64.77319,0.2396439999999984
everything,64.77319,65.09272,0.15975600000000156
in,65.09272,65.17261,0.3195300000000003
our,65.17261,65.41225,0.07989000000000601
power,65.41225,65.73177,0.2396399999999943
to,65.73177,66.13118,0.31951999999999714
reach,66.13118,66.29095,0.39941000000000315
a,66.29095,66.450714,0.15976999999999464
good,66.450714,66.69035,0.1597640000000098
medium,66.69035,67.00988,0.2396359999999902
optimize,67.64893,67.96846,0.9585799999999978
both,67.96846,68.20811,0.3195300000000003
of,68.20811,68.36787,0.2396500000000117
our,68.36787,68.76728,0.15975999999999146
interest,69.16669,69.48621,0.7988200000000063
here,69.48621,69.98621,0.31951999999999714
and,70.44479,70.76432,0.9585799999999978
really,70.76432,71.00397,0.3195300000000003
get,71.00397,71.16373,0.23964999999999748
the,71.16373,71.40337,0.15976000000000568
best,71.40337,71.90337,0.2396399999999943
outcome,71.96255,72.12231,0.5591799999999978
possible,72.12231,72.62231,0.15976000000000568
so,76.28484,76.60359,4.162530000000004
is,76.60359,76.76297,0.3187499999999943
there,76.76297,76.92234,0.15937999999999874
anything,76.92234,77.32078,0.15937000000000978
you're,77.32078,77.480156,0.3984399999999937
looking,77.480156,77.798904,0.15937599999999463
for,77.798904,77.95828,0.31874799999999937
especially,78.35672,78.59578,0.5578160000000025
when,78.59578,78.75516,0.23906000000000915
we're,78.75516,79.25516,0.15937999999999874
negotiating,79.392654,79.79109,0.6374939999999896
your,79.79109,80.29109,0.3984360000000038
sa,80.747345,80.906715,0.9562549999999987
cervical,80.906715,81.406715,0.15937000000000978
as,81.62391,81.86297,0.7171949999999896
well,81.86297,82.02235,0.23906000000000915
as,82.02235,82.341095,0.15937999999999874
your,82.341095,82.580154,0.31874499999999273
ip,82.8989,83.29734,0.5578050000000019
portfolio,83.29734,83.6161,0.3984400000000079
one,103.570366,103.72995,20.273026
hundred,103.72995,104.049126,0.15958399999999529
fifty,104.049126,104.3683,0.3191759999999988
k,104.3683,104.60768,0.31917400000000384
okay,106.9217,107.16109,2.5533999999999963
let's,110.91139,111.23057,3.989689999999996
see,111.23057,111.39015,0.3191800000000029
here,111.39015,111.62954,0.15958000000000538
unfortunately,112.26789,112.76789,0.8777399999999886
that,113.385,113.62438,1.117110000000011
is,113.62438,113.783966,0.23937999999999704
that,114.10315,114.34253,0.47876999999999725
does,114.34253,114.50211,0.23937999999999704
seem,114.50211,114.74149,0.15958000000000538
like,114.74149,114.98088,0.23937999999999704
something,114.98088,115.30005,0.2393900000000002
we,115.30005,115.53944,0.31916999999999973
couldn't,115.53944,116.018196,0.2393900000000002
provide,116.018196,116.257576,0.4787560000000042
at,116.257576,116.41717,0.23937999999999704
the,116.41717,116.65655,0.15959399999999846
moment,116.65655,116.97572,0.23937999999999704
however,117.94718,118.44718,1.2906300000000073
we,119.14221,119.381226,1.1950300000000027
cannot,119.381226,119.779564,0.23901599999999235
pay,119.779564,120.01857,0.3983379999999954
more,120.01857,120.416916,0.23900600000000338
than,120.416916,120.89493,0.39834600000000364
six,120.89493,121.133934,0.4780140000000017
months,121.133934,121.293274,0.23900399999999422
of,121.293274,121.37294,0.15934000000000026
sa,121.452614,121.61195,0.15934000000000026
bad,121.61195,122.11195,0.15933599999999615
right,122.16963,122.40864,0.5576800000000048
now,122.40864,122.90864,0.2390100000000075
at,123.68334,123.84268,1.2746999999999957
a,123.84268,124.08169,0.15934000000000026
salary,124.08169,124.48003,0.23900999999999328
of,124.48003,124.798706,0.3983400000000046
ten,124.798706,125.03771,0.3186759999999964
thousand,125.03771,125.43606,0.23900400000000843
per,125.43606,125.5954,0.39834999999999354
month,125.5954,125.8344,0.15934000000000026
and,126.47175,126.710754,0.8763500000000022
while,126.710754,126.94977,0.23900399999999422
this,126.94977,127.188774,0.23901600000000656
may,127.188774,127.34811,0.23900399999999422
seem,127.34811,127.58711,0.15933600000001036
like,127.58711,127.826126,0.2389999999999901
a,127.826126,128.06512,0.23901600000000656
very,128.06512,128.3838,0.23899400000000526
big,128.3838,128.70248,0.3186800000000005
jump,128.70248,129.20248,0.3186800000000005
from,129.5145,129.9933,0.8120199999999897
what,129.9933,130.2327,0.4788000000000068
you,130.2327,130.3923,0.23939999999998918
were,130.3923,130.7115,0.15960000000001173
assuming,130.7115,131.2115,0.31919999999999504
before,131.5095,131.8287,0.7980000000000018
we,132.62671,132.9459,1.11721
can,132.9459,133.34491,0.31918999999999187
provide,133.34491,133.66411,0.3990100000000041
more,133.66411,134.16411,0.31919999999999504
and,134.2227,134.7227,0.5585900000000095
infinitely,135.0207,135.4995,0.7980000000000018
more,135.4995,135.7389,0.4788000000000068
money,135.7389,136.2389,0.23939999999998918
after,136.4571,136.6965,0.718199999999996
a,136.6965,136.85611,0.23939999999998918
twenty,136.85611,137.0955,0.1596100000000149
four,137.0955,137.3349,0.239389999999986
month,137.3349,137.5743,0.2394000000000176
period,137.5743,137.9733,0.23939999999998918
so,139.1703,139.64911,1.5960000000000036
as,139.64911,139.8087,0.47881000000000995
long,139.8087,140.0481,0.15958999999998014
as,140.0481,140.5269,0.2394000000000176
it,140.5269,140.7663,0.4788000000000068
might,140.7663,140.9259,0.23939999999998918
put,140.9259,141.0855,0.15960000000001173
a,141.0855,141.2451,0.1595999999999833
hold,141.2451,141.4047,0.15960000000001173
on,141.4047,141.6441,0.1595999999999833
your,141.6441,141.9633,0.2394000000000176
research,141.9633,142.2825,0.31919999999999504
in,142.2825,142.6815,0.31919999999999504
this,142.6815,142.9209,0.3990000000000009
foreign,142.9209,143.4209,0.23939999999998918
institution,143.7987,143.9583,0.8778000000000077
however,144.3573,144.8573,0.5586000000000126
we,146.76892,146.9288,2.411619999999999
can,146.9288,147.40846,0.15987999999998692
continue,147.40846,147.8881,0.47965999999999553
that,147.8881,148.20789,0.4796400000000176
and,148.20789,148.52765,0.31978999999998337
expand,148.52765,148.76749,0.31976000000000226
that,148.76749,149.08725,0.23984000000001515
after,149.08725,149.58725,0.31976000000000226
the,149.64685,149.88667,0.559599999999989
twenty,149.88667,150.20644,0.2398200000000088
four,150.20644,150.36632,0.319769999999977
month,150.36632,150.6861,0.15988000000001534
period,150.6861,151.00586,0.3197800000000086
yeah,171.17499,171.415,20.488889999999998
yeah,194.15703,194.47661,22.982039999999984
i,194.87607,195.27554,0.7190400000000068
understand,195.27554,195.43532,0.399470000000008
that,195.43532,195.59511,0.1597799999999836
and,195.675,195.8348,0.2396800000000212
i'm,195.91467,195.99457,0.2396699999999896
so,195.99457,196.23425,0.07990000000000919
sorry,196.23425,196.47394,0.2396799999999928
to,196.47394,196.63371,0.23968999999999596
hear,196.63371,196.7935,0.15977000000000885
that,196.7935,196.9533,0.15978999999998678
i,198.31148,198.39136,1.5179799999999943
think,198.39136,198.63104,0.07988000000000284
with,198.63104,198.87073,0.2396800000000212
that,198.87073,199.0305,0.23968999999999596
new,199.0305,199.5305,0.15976999999998043
information,199.58977,199.82944,0.5592699999999979
it,200.86804,200.94794,1.2782700000000204
would,200.94794,201.02783,0.07989999999998076
be,201.02783,201.34741,0.07989000000000601
important,201.34741,201.66698,0.319580000000002
to,201.66698,201.82677,0.3195699999999988
you,201.98656,202.14633,0.319580000000002
know,202.14633,202.30612,0.15977000000000885
offer,202.5458,203.0458,0.399470000000008
support,203.67839,203.91765,1.1325899999999933
for,203.91765,204.23665,0.23926000000000158
your,204.23665,204.55565,0.3189999999999884
long,204.55565,204.87466,0.3190000000000168
leave,204.87466,205.37466,0.3190099999999916
