Word,Start Time,End Time,start_time_diff
hi,2.5905523,2.8296802,0.0
terms,43.055,43.535,40.4644477
the,43.535,43.695,0.4799999999999969
eligible,43.695,44.175,0.1600000000000037
for,44.175,44.675,0.4799999999999969
three,44.895,45.395,0.720000000000006
three,45.615,45.695,0.7199999999999989
hundred,45.695,46.015,0.0799999999999983
thousand,46.015,46.415,0.3200000000000003
fifty,46.415,46.575,0.3999999999999986
thousand,46.575,46.895,0.1600000000000037
dollars,46.895,47.395,0.3200000000000003
to,47.855,48.355,0.9599999999999937
cover,49.215,49.455,1.3600000000000065
the,49.455,49.695,0.23999999999999488
cost,49.695,50.175,0.240000000000002
of,50.175,50.675,0.4799999999999969
of,52.735,52.895,2.5600000000000023
my,52.895,53.215,0.1600000000000037
expenses,53.215,53.375,0.3200000000000003
is,53.375,53.614998,0.1599999999999966
a,54.415,54.655,1.0399999999999991
two,54.655,54.735,0.240000000000002
hundred,54.735,54.815002,0.0799999999999983
one,55.055,55.135002,0.3200000000000003
hundred,55.135002,55.295,0.08000200000000035
or,55.295,55.535,0.15999800000000164
fifty,55.535,56.035,0.23999999999999488
fifty,56.095,56.415,0.5600000000000023
thousand,56.415,56.655,0.3200000000000003
dollars,56.655,57.155,0.240000000000002
fifty,58.58503,58.903824,1.9300300000000021
thousand,58.903824,59.222622,0.3187939999999969
of,59.222622,59.461716,0.318798000000001
thirty,62.490273,62.729366,3.2676510000000007
five,62.729366,63.048164,0.2390929999999969
thousand,63.048164,63.548164,0.318798000000001
and,64.00455,64.32334,0.9563859999999949
twenty,66.55491,66.79401,2.550360000000012
five,66.79401,67.033104,0.23909999999999343
thousand,67.033104,67.533104,0.23909399999999437
to,69.26467,69.424065,2.231566000000001
to,70.71431,70.95348,1.4496400000000023
basically,70.95348,71.19265,0.23917000000000144
just,71.43182,71.93182,0.4783400000000029
to,72.22906,72.308784,0.7972400000000022
be,72.308784,72.46823,0.0797239999999988
on,72.46823,72.62768,0.15944600000000264
the,72.62768,72.787125,0.15944999999999254
vehicle,72.787125,73.185745,0.15944500000000517
because,73.185745,73.26547,0.398619999999994
i,73.42492,73.584366,0.23917500000000302
may,73.584366,73.664085,0.15944600000000264
work,73.664085,73.74381,0.07971899999999721
because,74.3816,74.46133,0.7175150000000059
i,74.62077,74.7005,0.23916999999998723
been,74.7005,74.85995,0.07973000000001207
working,74.85995,75.17884,0.15944999999999254
like,75.25856,75.33829,0.398610000000005
a,75.418015,75.65718,0.15945499999999413
like,75.73691,75.81663,0.3188949999999977
a,75.976074,76.294975,0.23916400000000237
long,76.294975,76.53414,0.31890099999999677
hours,76.53414,76.853035,0.23916499999999985
and,77.09221,77.59221,0.5580700000000007
my,78.20834,78.36779,1.1161300000000125
doctor,78.36779,78.68668,0.15944999999999254
said,78.68668,78.84613,0.3188899999999961
i,79.00558,79.16502,0.3188999999999993
need,79.16502,79.4042,0.15944000000000358
to,79.4042,79.80282,0.2391800000000046
take,80.91895,81.15812,1.5147499999999923
a,81.15812,81.317566,0.23917000000000144
break,81.317566,81.47702,0.15944600000000264
refresh,81.79591,82.03508,0.478344000000007
and,82.03508,82.194534,0.23916999999998723
also,82.194534,82.59315,0.15945400000001086
this,82.59315,82.672874,0.39861599999998987
would,82.672874,82.83232,0.0797239999999988
give,82.83232,82.99177,0.15944600000000264
me,82.99177,83.07149,0.15945000000000675
an,83.07149,83.57149,0.07971999999999468
opportunity,83.629555,84.1079,0.5580649999999991
to,84.1079,84.6079,0.47834500000000446
come,85.23911,85.398605,1.1312099999999958
up,85.398605,85.63785,0.15949500000000683
with,85.63785,86.13785,0.23924499999999682
new,86.275826,86.775826,0.6379759999999948
come,87.95051,88.11,1.6746839999999992
up,88.11,88.34924,0.15949000000000524
new,88.34924,88.66823,0.23923999999999523
ideas,88.66823,88.90747,0.31898999999999944
for,88.90747,89.226456,0.23924000000000945
new,89.226456,89.726456,0.31898599999999533
cutting,90.26316,90.76316,1.0367040000000003
ideas,90.82139,91.06063,0.5582299999999947
