Word,Start Time,End Time,start_time_diff
so,18.02634,18.52634,0.0
i'm,19.621464,19.780975,1.5951239999999984
not,19.780975,20.099998,0.15951100000000196
promised,20.099998,20.599998,0.31902299999999784
this,20.817804,21.317804,0.7178059999999995
exercise,22.492683,22.811707,1.6748790000000007
so,25.443657,25.523415,2.950974000000002
i,25.682926,25.762682,0.23926899999999662
guess,25.762682,26.081707,0.07975600000000327
we,26.081707,26.241219,0.3190249999999999
just,26.241219,26.40073,0.15951199999999943
to,26.40073,26.879269,0.1595109999999984
negotiate,26.879269,27.379269,0.4785390000000014
do,34.069973,34.22942,7.190703999999997
you,34.22942,34.309143,0.15944700000000012
wanna,34.309143,34.809143,0.07972300000000132
explain,34.946934,35.446934,0.637791
what,35.505,36.005,0.5580660000000037
you're,36.14279,36.64279,0.6377899999999954
looking,37.657543,38.05616,1.514752999999999
for,38.05616,38.55616,0.39861700000000155
in,39.810085,40.049255,1.7539250000000024
terms,40.049255,40.208702,0.23917000000000144
of,40.208702,40.36815,0.15944700000000012
the,40.36815,40.5276,0.1594479999999976
deal,40.5276,40.76677,0.15944999999999965
okay,93.997734,94.23697,53.470133999999995
and,95.27365,95.512886,1.2759160000000094
so,95.512886,95.67238,0.23923599999999112
you,95.67238,95.75212,0.15949400000000935
said,95.75212,95.991356,0.07974000000000103
you're,95.991356,96.31033,0.23923599999999112
requesting,96.31033,96.81033,0.3189739999999972
three,96.948296,97.10779,0.6379660000000058
hundred,97.10779,97.426765,0.15949399999999514
fifty,97.426765,97.825485,0.3189750000000089
k,97.825485,98.14447,0.3987199999999973
for,98.14447,98.46345,0.31898499999999785
a,98.46345,98.70268,0.31897999999999627
hundred,98.70268,99.10141,0.23923000000000627
percent,99.10141,99.260895,0.3987300000000005
of,99.260895,99.555,0.15948500000000365
portfolio,99.83482,100.234566,0.5739249999999885
it's,109.428635,109.58853,9.593815000000006
just,109.58853,109.74843,0.1598950000000059
a,109.74843,110.24843,0.15989999999999327
okay,110.62786,110.78776,0.8794299999999993
so,115.51887,115.99763,4.8910100000000085
where,115.99763,116.237015,0.4787599999999941
i'm,116.3168,116.55619,0.31916999999999973
at,116.55619,116.79557,0.2393900000000002
we've,117.593506,118.093506,1.0373160000000041
discussed,118.47124,118.63083,0.8777339999999896
with,118.63083,118.87021,0.15959000000000856
the,118.87021,119.10959,0.23937999999999704
board,119.10959,119.428764,0.23937999999999704
about,121.18423,121.68423,2.0746400000000023
like,121.902374,122.06196,0.7181439999999952
total,122.46093,122.93969,0.55855600000001
money,122.93969,123.258865,0.4787599999999941
we,123.258865,123.41846,0.3191750000000013
can,123.41846,123.65784,0.15959499999999593
offer,123.65784,123.89722,0.23937999999999704
you,123.89722,124.05681,0.23938000000001125
right,125.65268,125.81227,1.7554599999999994
now,125.81227,125.971855,0.15958999999999435
they're,126.13145,126.53041,0.3191800000000029
maxing,126.53041,126.84959,0.3989600000000024
it,126.84959,127.00918,0.3191800000000029
out,127.00918,127.16876,0.15958999999999435
at,127.16876,127.328354,0.15958000000000538
two,127.328354,127.48794,0.15959399999999846
hundred,127.48794,127.72732,0.15958599999999024
and,127.72732,127.966705,0.23938000000001125
fifty,127.966705,128.36568,0.23938499999999863
thousand,128.36568,128.76465,0.398974999999993
and,129.00403,129.1636,0.6383500000000026
then,129.1636,129.40298,0.1595700000000022
we,129.40298,129.48279,0.23938000000001125
can,129.48279,129.72217,0.07980999999998062
offer,129.72217,130.20093,0.23938000000001125
a,130.20093,130.575,0.4787599999999941
six,130.69492,130.8548,0.4939899999999966
months,130.8548,131.17458,0.15988000000001534
sa,131.17458,131.33447,0.3197799999999802
tobacco,131.33447,131.83447,0.15989000000001852
at,131.97401,132.2938,0.6395399999999825
ten,132.2938,132.61357,0.3197900000000118
thousand,132.61357,133.09323,0.31977000000000544
per,133.09323,133.25313,0.47965999999999553
month,133.25313,133.41301,0.15989999999999327
and,135.09184,135.25172,1.8387099999999919
so,135.25172,135.41162,0.15988000000001534
