Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay0KGC4N_B_1,20240521_1823_WBLMay0KGC4N,B,1,B_1,0.7580412,0.7580412,0.99742264
20240521_1823_WBLMay0KGC4N_A_2,20240521_1823_WBLMay0KGC4N,A,2,A_2,1.6331873000000001,2.1898148,2.5083334
20240521_1823_WBLMay0KGC4N_B_3,20240521_1823_WBLMay0KGC4N,B,3,B_3,2.9102165500000003,3.0720618,3.6306183
20240521_1823_WBLMay0KGC4N_A_4,20240521_1823_WBLMay0KGC4N,A,4,A_4,3.8253829,4.3398147,4.578704
20240521_1823_WBLMay0KGC4N_B_5,20240521_1823_WBLMay0KGC4N,B,5,B_5,14.55986235,5.386082,24.77991
20240521_1823_WBLMay0KGC4N_A_5,20240521_1823_WBLMay0KGC4N,A,5,A_5,11.247259499999998,16.868813,17.108437
20240521_1823_WBLMay0KGC4N_A_6,20240521_1823_WBLMay0KGC4N,A,6,A_6,25.8566135,25.909441,34.844414
20240521_1823_WBLMay0KGC4N_B_7,20240521_1823_WBLMay0KGC4N,B,7,B_7,38.341938999999996,37.814056,50.774437
20240521_1823_WBLMay0KGC4N_A_8,20240521_1823_WBLMay0KGC4N,A,8,A_8,55.379566,51.993984,72.945076
20240521_1823_WBLMay0KGC4N_B_9,20240521_1823_WBLMay0KGC4N,B,9,B_9,69.139707,78.687775,86.28543
20240521_1823_WBLMay0KGC4N_A_10,20240521_1823_WBLMay0KGC4N,A,10,A_10,85.8637775,91.607605,93.03978
20240521_1823_WBLMay0KGC4N_B_11,20240521_1823_WBLMay0KGC4N,B,11,B_11,94.3796845,94.275375,97.151764
20240521_1823_WBLMay0KGC4N_A_12,20240521_1823_WBLMay0KGC4N,A,12,A_12,118.6744525,98.70451,143.07353
20240521_1823_WBLMay0KGC4N_B_13,20240521_1823_WBLMay0KGC4N,B,13,B_13,138.42883999999998,145.17764,178.15317
20240521_1823_WBLMay0KGC4N_A_14,20240521_1823_WBLMay0KGC4N,A,14,A_14,200.335745,181.0649,255.49385
20240521_1823_WBLMay0KGC4N_B_15,20240521_1823_WBLMay0KGC4N,B,15,B_15,232.39718,260.95996,283.72946
20240521_1823_WBLMay0KGC4N_A_16,20240521_1823_WBLMay0KGC4N,A,16,A_16,291.075395,288.02002,321.19083
20240521_1823_WBLMay0KGC4N_B_17,20240521_1823_WBLMay0KGC4N,B,17,B_17,313.17723,329.28854,338.33444
20240521_1823_WBLMay0KGC4N_A_17,20240521_1823_WBLMay0KGC4N,A,17,A_17,332.313995,334.93973,335.33945
20240521_1823_WBLMay0KGC4N_A_18,20240521_1823_WBLMay0KGC4N,A,18,A_18,344.662355,339.09705,354.38498
20240521_1823_WBLMay0KGC4N_B_18,20240521_1823_WBLMay0KGC4N,B,18,B_18,346.116105,352.63516,353.13516
20240521_1823_WBLMay0KGC4N_B_19,20240521_1823_WBLMay0KGC4N,B,19,B_19,369.17044,357.1779,385.70572
20240521_1823_WBLMay0KGC4N_A_20,20240521_1823_WBLMay0KGC4N,A,20,A_20,390.353965,387.2422,423.53003
20240521_1823_WBLMay0KGC4N_B_21,20240521_1823_WBLMay0KGC4N,B,21,B_21,412.554585,428.68054,437.86697
20240521_1823_WBLMay0KGC4N_A_22,20240521_1823_WBLMay0KGC4N,A,22,A_22,454.48912,441.0697,480.2977
20240521_1823_WBLMay0KGC4N_B_23,20240521_1823_WBLMay0KGC4N,B,23,B_23,485.37735,484.69437,529.685
20240521_1823_WBLMay0KGC4N_A_24,20240521_1823_WBLMay0KGC4N,A,24,A_24,529.936815,530.8592,575.17926
20240521_1823_WBLMay0KGC4N_B_25,20240521_1823_WBLMay0KGC4N,B,25,B_25,575.1095,586.20776,619.3598
