Pair_Speaker_turn,PairID,Speaker_turn,PersonID,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMayQH9BHH_B_1,20240521_1823_WBLMayQH9BHH,B_1,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0,0.0,0.0005666824542102
20240521_1823_WBLMayQH9BHH_A_2,20240521_1823_WBLMayQH9BHH,A_2,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0009929812021483,0.0013619753766517,0.0019859624042966
20240521_1823_WBLMayQH9BHH_B_3,20240521_1823_WBLMayQH9BHH,B_3,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0143249070769049,0.0023804735345168,0.0229752338394453
20240521_1823_WBLMayQH9BHH_A_3,20240521_1823_WBLMayQH9BHH,A_3,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0035462268930436,0.0056745803143646,0.0057304784094356
20240521_1823_WBLMayQH9BHH_A_4,20240521_1823_WBLMayQH9BHH,A_4,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0210053127035149,0.0240203487699309,0.039630151872513
20240521_1823_WBLMayQH9BHH_B_5,20240521_1823_WBLMayQH9BHH,B_5,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0330974142468204,0.0408164900524479,0.0421744797237098
20240521_1823_WBLMayQH9BHH_A_6,20240521_1823_WBLMayQH9BHH,A_6,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0427817070848262,0.0444130285558572,0.0447469241172044
20240521_1823_WBLMayQH9BHH_Both_6,20240521_1823_WBLMayQH9BHH,Both_6,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0449210945810802,0.0448679306458362,0.0454291606063032
20240521_1823_WBLMayQH9BHH_B_7,20240521_1823_WBLMayQH9BHH,B_7,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0452484456448975,0.0455933606594661,0.0456428070377773
20240521_1823_WBLMayQH9BHH_A_8,20240521_1823_WBLMayQH9BHH,A_8,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0507052298759049,0.0555998753918868,0.0558170990923436
20240521_1823_WBLMayQH9BHH_B_8,20240521_1823_WBLMayQH9BHH,B_8,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0556756744073239,0.0557609349362324,0.055751473422761
20240521_1823_WBLMayQH9BHH_Both_8,20240521_1823_WBLMayQH9BHH,Both_8,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0558412541931456,0.0559877808688957,0.0559215734500587
20240521_1823_WBLMayQH9BHH_B_9,20240521_1823_WBLMayQH9BHH,B_9,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0566350879452954,0.0560444905723193,0.0572823950216951
20240521_1823_WBLMayQH9BHH_Both_9,20240521_1823_WBLMayQH9BHH,Both_9,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0561858416658801,0.0561100562726121,0.0563271927594408
20240521_1823_WBLMayQH9BHH_A_10,20240521_1823_WBLMayQH9BHH,A_10,1716394481617-302900d4-8a64-4ca5-81ab-4f4eb21c7cdf-cam-audio-1716394482603,0.0677953953146962,0.0599177789778872,0.0794328806502257
20240521_1823_WBLMayQH9BHH_B_10,20240521_1823_WBLMayQH9BHH,B_10,1716394481617-fc7d2f6f-2385-4713-8d5e-75ccdb643462-cam-audio-1716394482605,0.0631444105146544,0.0663254984938701,0.0663710420514215
