New Feature Name,Original Features
Pitch,Pitch
Vocal Intensity,"Loudness, Pulse"
Vocal Articulation,"Speech_crispiness, Speech_brightness, Frequency_spread, Tonal_complexity"
Vocal Clarity,Speech_clarity
SquintPuffSneer,"_neutral, cheekPuff, eyeSquintRight, mouthPressLeft, noseSneerRight"
Compressed_Contortion,"browDownLeft, browDownRight, mouthLeft"
Brow_Up,"browInnerUp, browOuterUpLeft, browOuterUpRight"
Cheek_Puff_Sneer,"cheekSquintLeft, cheekPuff, cheekSquintRight, mouthUpperUpLeft, mouthUpperUpRight, noseSneerRight"
Blink,"eyeBlinkLeft, eyeBlinkRight, eyeSquintRight"
Look_Down,"eyeLookDownLeft, eyeLookDownRight"
Look_Right,"eyeLookInLeft, eyeLookOutRight"
Look_Left,"eyeLookInRight, eyeLookOutLeft"
Look_Up,"eyeLookUpLeft, eyeLookUpRight"
Blink_Right,"eyeSquintLeft, eyeBlinkRight, eyeSquintRight"
Eyes_Wide,"eyeWideLeft, eyeWideRight"
Open_Mouth,"jawForward, cheekPuff, mouthLowerDownLeft, mouthLowerDownRight, mouthStretchLeft, mouthStretchRight, mouthUpperUpLeft, mouthUpperUpRight"
Jaw_Left,"jawLeft, jawOpen"
Jaw_Right,jawRight
mouthClose_openJaw,"mouthClose, jawOpen, mouthRollUpper"
mouthDimple_Left,mouthDimpleLeft
mouthDimple_Right,"mouthDimpleRight, mouthPressRight"
Skeptical_Right,"mouthFrownLeft, cheekSquintRight, mouthFrownRight, mouthStretchRight, noseSneerRight"
Sneering_Pucker,"mouthFunnel, mouthPucker, mouthUpperUpRight, noseSneerLeft"
mouth_Right,mouthRight
mouth_Roll,"mouthRollLower, mouthRollUpper"
mouth_Shrug,"mouthShrugLower, mouthShrugUpper"
Smile,"mouthSmileLeft, cheekPuff, mouthSmileRight"
