Turn,Speaker,SourceFile,Word,Start Time,End Time,Sentiment,Time_Boundary,Prop_Backchannel_Time,Prop_Overlap_Time,Prop_Contested_Time
1,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,hello,0.7580412,0.99742264,0.0,0.7580412,0.0,0.0,0.0
2,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,hello,2.1898148,2.5083334,0.0,1.59361872,0.0,0.0,0.0
3,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,can you hear me,3.0720618,3.6306183,0.0,2.7901976,0.0,0.0,0.0
4,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,yes,4.3398147,4.578704,0.0,3.9852165,0.0,0.0,0.0
5,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,yes,16.868813,17.108437,0.0,10.723758499999999,1.0,0.0,0.0
5,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,okay great so thank you so much for taking the time to meet with me today i heard that you're interested in requesting a sa and a bio of your patent interest is that correct so how much were you thinking for in in terms of the buyout for your patent,5.386082,24.77991,0.39,11.247259499999998,0.012355683467956877,0.0,0.0
6,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,so i think i will very happy i could receive about half a million the on my pay yeah,25.909441,34.844414,0.4166666666666667,25.3446755,0.0,0.0,0.0
7,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,okay well i think we could offer you around twenty five percent of the patent portfolio how does that sound,37.814056,50.774437,0.45,36.329235,0.0,0.0,0.0
8,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,well i think if you carefully in my patent i think it's how very new potential to for commercial development and think five hundred thousand either reasonable price yeah,51.993984,72.945076,0.05545454545454546,51.384210499999995,0.0,0.0,0.0
9,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,let's see what is the current value of your bio portfolio,78.687775,86.28543,0.0,75.81642550000001,0.0,0.0,0.0
10,A,1716394507208-35c603e4-2275-4f7b-a2bb-c2333fa0f95d-cam-audio-1716394508197,i'm sorry what's your question,91.607605,93.03978,-0.5,88.9465175,0.0,0.0,0.0
11,B,1716394507208-76380b8e-8d97-41f0-94d7-727c686747ba-cam-audio-1716394508196,what is the current value of your bio portfolio,94.275375,97.151764,0.0,93.6575775,0.0,0.0,0.0
