Word,Start Time,End Time,start_time_diff,ClusterID,SegmentID,SourceFile,Speaker,Backchannel,Overlap,Turn,Contest
hi,2.1146193,2.35401,0.0,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,uncontested
can,2.673198,2.8327918,0.5585787,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,uncontested
you,2.8327918,2.9125888,0.1595937999999996,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,uncontested
hear,2.9125888,3.0721827,0.0797970000000001,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,uncontested
me,3.0721827,3.2317767,0.1595938999999999,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,1,uncontested
yes,3.9440322,4.262742,0.0,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,2,uncontested
okay,5.1469035,5.226701,2.0747208,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,3,uncontested
awesome,5.4660916,5.865076,0.3191881000000007,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,3,uncontested
okay,9.202742,9.362097,5.2587098,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,4,uncontested
do,13.844771,13.924568,8.3786794,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,uncontested
we,13.924568,14.084163,0.079797000000001,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,uncontested
just,14.084163,14.403351,0.1595949999999995,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,uncontested
start,14.403351,14.642741,0.3191880000000004,0,1,1716395083742-d5bd0f20-31de-4980-8491-4769a26f28e9-cam-audio-1716395084729,B,0,0,5,uncontested
i,15.355,15.595,6.152258,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
think,15.595,15.915,0.2400000000000002,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
so,15.915,16.075,0.3199999999999985,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
i've,17.115,17.275,1.1999999999999993,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
never,17.275,17.515,0.1600000000000001,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
done,17.515,17.755,0.240000000000002,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
one,17.755,17.835,0.2399999999999984,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
of,17.835,17.994999,0.0800000000000018,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
these,17.994999,18.315,0.1599989999999991,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
before,18.315,18.475,0.3200010000000013,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
so,18.635,19.135,0.3200000000000003,0,1,1716395083742-f7b8be61-b042-4877-bcce-3f228c060c0e-cam-audio-1716395084728,A,0,0,6,uncontested
