person_id,audio_filename,video_filename
1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-audio-1716394969944,1716394969549-d5b780f2-c518-46ee-bdc1-835354451fe2-cam-video-1716394969946
1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-audio-1716394974941,1716394969549-478f5e8c-8104-4d21-9dff-0f2f97e61d96-cam-video-1716394975494
1716395873575-7db9651b-6ff3-4ef0-a4a5-6ff39541620b,1716395873575-7db9651b-6ff3-4ef0-a4a5-6ff39541620b-cam-audio-1716395873968,1716395873575-7db9651b-6ff3-4ef0-a4a5-6ff39541620b-cam-video-1716395873970
1716395873575-dbc8c255-cadf-4975-a424-81e58c478892,1716395873575-dbc8c255-cadf-4975-a424-81e58c478892-cam-audio-1716395874906,1716395873575-dbc8c255-cadf-4975-a424-81e58c478892-cam-video-1716395874907
1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-audio-1716394854650,1716394852639-ed4106b1-dbdd-42b7-8b8c-54dd3ebae144-cam-video-1716394854647
1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-audio-1716394854649,1716394852639-512a7da4-a19c-4993-8923-5c201bff74e2-cam-video-1716394854651
1716394468014-df326924-86ac-4dc8-8aeb-241afcff8301,1716394468014-df326924-86ac-4dc8-8aeb-241afcff8301-cam-audio-1716394469279,1716394468014-df326924-86ac-4dc8-8aeb-241afcff8301-cam-video-1716394469274
1716394468014-c72db957-b901-4277-9e5b-44e36c6f16f5,1716394468014-c72db957-b901-4277-9e5b-44e36c6f16f5-cam-audio-1716394469276,1716394468014-c72db957-b901-4277-9e5b-44e36c6f16f5-cam-video-1716394469280
1716394968342-d462a20f-30ce-4d12-9763-2e5f62bfc167,1716394968342-d462a20f-30ce-4d12-9763-2e5f62bfc167-cam-audio-1716394969319,1716394968342-d462a20f-30ce-4d12-9763-2e5f62bfc167-cam-video-1716394969321
1716394968342-e3aa4fcd-bd60-48a9-ac38-0d10669b8d5d,1716394968342-e3aa4fcd-bd60-48a9-ac38-0d10669b8d5d-cam-audio-1716394972346,1716394968342-e3aa4fcd-bd60-48a9-ac38-0d10669b8d5d-cam-video-1716394972347
1716395231615-a8955554-de44-41f4-8edf-5b8ab8e7ac3d,1716395231615-a8955554-de44-41f4-8edf-5b8ab8e7ac3d-cam-audio-1716395232654,1716395231615-a8955554-de44-41f4-8edf-5b8ab8e7ac3d-cam-video-1716395232656
1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-audio-1716395233841,1716395231615-961ed5b1-3b88-479a-8631-477d1f07b6ad-cam-video-1716395233843
1716394832459-c765cce9-8b9c-4873-ae16-6cbd6e9146cf,1716394832459-c765cce9-8b9c-4873-ae16-6cbd6e9146cf-cam-audio-1716394837243,1716394832459-c765cce9-8b9c-4873-ae16-6cbd6e9146cf-cam-video-1716394837242
