VideoSessionID,VideoFile1,VideoURL1,VideoFile2,VideoURL2,VideoFile3,VideoURL3,VideoFile4,VideoURL4,VideoFile5,VideoURL5,AssignedCount
V1,20240522_1325_S3WBLMZ0SDTF_B_B_21.mp4,https://drive.google.com/file/d/1jI9do4ksQdt8lS02JGhb6RBDhz2kHMr_/view,20240522_1325_S3WBLMZ0SDTF_A_A_22.mp4,https://drive.google.com/file/d/1jIRivAjdh3DWZo6sUKZ2S3125bmhl6hU/view,20240522_1325_S3WBLMZ0SDTF_B_B_23.mp4,https://drive.google.com/file/d/1jJebER4582dUozmwRVFRUtLnU3AqG9VT/view,20240522_1325_S3WBLMZ0SDTF_A_A_24.mp4,https://drive.google.com/file/d/1jJulRHjH1BvqCUh6e1gozE28Cq-TNiDI/view,20240522_1325_S3WBLMZ0SDTF_B_B_25.mp4,https://drive.google.com/file/d/1jKNLwGL5PnXCI6PEHNwIfLeoPwC1YtD6/view,0
V2,20240522_1325_S3WBLMYQ0NND_B_B_15.mp4,https://drive.google.com/file/d/1icFpsOz6XRMasFYjqYRAQjtieV03E0Sx/view,20240522_1325_S3WBLMYQ0NND_A_A_16.mp4,https://drive.google.com/file/d/1icKTDdvHRVzIAXBNA0OjmtxTZBdaZZaX/view,20240522_1325_S3WBLMYQ0NND_B_B_17.mp4,https://drive.google.com/file/d/1icM0wGxSkt05UvtR_2ckTBT0jjPTG-6-/view,20240522_1325_S3WBLMYQ0NND_A_A_18.mp4,https://drive.google.com/file/d/1icVpsPZ5G0AtLBBcx-Pnh-w43hR92MBK/view,20240522_1325_S3WBLMYQ0NND_B_B_19.mp4,https://drive.google.com/file/d/1idAqgCYWg18J_4pncgsvhJOPQmzBZCWe/view,0
V3,20240522_1325_S3WBLMYQ0NND_A_A_16.mp4,https://drive.google.com/file/d/1icKTDdvHRVzIAXBNA0OjmtxTZBdaZZaX/view,20240522_1325_S3WBLMYQ0NND_B_B_17.mp4,https://drive.google.com/file/d/1icM0wGxSkt05UvtR_2ckTBT0jjPTG-6-/view,20240522_1325_S3WBLMYQ0NND_A_A_18.mp4,https://drive.google.com/file/d/1icVpsPZ5G0AtLBBcx-Pnh-w43hR92MBK/view,20240522_1325_S3WBLMYQ0NND_B_B_19.mp4,https://drive.google.com/file/d/1idAqgCYWg18J_4pncgsvhJOPQmzBZCWe/view,20240522_1325_S3WBLMYQ0NND_A_A_20.mp4,https://drive.google.com/file/d/1ieZqEUfpNAwFv2nPDof8K8CnC4WECYPZ/view,0
V4,20240522_1325_S3WBLMYQ0NND_B_B_17.mp4,https://drive.google.com/file/d/1icM0wGxSkt05UvtR_2ckTBT0jjPTG-6-/view,20240522_1325_S3WBLMYQ0NND_A_A_18.mp4,https://drive.google.com/file/d/1icVpsPZ5G0AtLBBcx-Pnh-w43hR92MBK/view,20240522_1325_S3WBLMYQ0NND_B_B_19.mp4,https://drive.google.com/file/d/1idAqgCYWg18J_4pncgsvhJOPQmzBZCWe/view,20240522_1325_S3WBLMYQ0NND_A_A_20.mp4,https://drive.google.com/file/d/1ieZqEUfpNAwFv2nPDof8K8CnC4WECYPZ/view,20240522_1325_S3WBLMYQ0NND_B_B_21.mp4,https://drive.google.com/file/d/1ifH2CBb12HaadLQGVsrRtXWqy1_MN4EJ/view,0
V5,20240522_1325_S3WBLMYQ0NND_A_A_18.mp4,https://drive.google.com/file/d/1icVpsPZ5G0AtLBBcx-Pnh-w43hR92MBK/view,20240522_1325_S3WBLMYQ0NND_B_B_19.mp4,https://drive.google.com/file/d/1idAqgCYWg18J_4pncgsvhJOPQmzBZCWe/view,20240522_1325_S3WBLMYQ0NND_A_A_20.mp4,https://drive.google.com/file/d/1ieZqEUfpNAwFv2nPDof8K8CnC4WECYPZ/view,20240522_1325_S3WBLMYQ0NND_B_B_21.mp4,https://drive.google.com/file/d/1ifH2CBb12HaadLQGVsrRtXWqy1_MN4EJ/view,20240522_1325_S3WBLMYQ0NND_A_A_22.mp4,https://drive.google.com/file/d/1ifibsnUEJmTn251vFmN_X5qh1poGuuNN/view,0
V6,20240522_1325_S3WBLMW3QQXC_B_B_3.mp4,https://drive.google.com/file/d/1i8sRRM4yqtpRoB7KTwA8zrwTBd_AibzG/view,20240522_1325_S3WBLMW3QQXC_A_A_4.mp4,https://drive.google.com/file/d/1i98tHQM198ny2WNlftqEx2EfelhxCn5Z/view,20240522_1325_S3WBLMW3QQXC_A_A_5.mp4,https://drive.google.com/file/d/1i9Eh1r87OKYgnod1pvmmiH77xgCgR92l/view,20240522_1325_S3WBLMW3QQXC_B_B_5.mp4,https://drive.google.com/file/d/1i9Dwjo8cxwFt82-ScwJIOjs9pdKfZopW/view,20240522_1325_S3WBLMW3QQXC_Both_A_5.mp4,https://drive.google.com/file/d/1i9W7o5E0161HWpUR4VSLPktWCZcJKMRe/view,0
V7,20240522_1325_S3WBLMW3QQXC_A_A_4.mp4,https://drive.google.com/file/d/1i98tHQM198ny2WNlftqEx2EfelhxCn5Z/view,20240522_1325_S3WBLMW3QQXC_A_A_5.mp4,https://drive.google.com/file/d/1i9Eh1r87OKYgnod1pvmmiH77xgCgR92l/view,20240522_1325_S3WBLMW3QQXC_B_B_5.mp4,https://drive.google.com/file/d/1i9Dwjo8cxwFt82-ScwJIOjs9pdKfZopW/view,20240522_1325_S3WBLMW3QQXC_Both_A_5.mp4,https://drive.google.com/file/d/1i9W7o5E0161HWpUR4VSLPktWCZcJKMRe/view,20240522_1325_S3WBLMW3QQXC_Both_B_5.mp4,https://drive.google.com/file/d/1i9VRu4jjNIPX4MUTBWbCZN_2AiVymKh8/view,0
V8,20240522_1325_S3WBLMW3QQXC_B_B_25.mp4,https://drive.google.com/file/d/1iND9GDWI5B25oVuhyfCOP6VuZj7Ql6OT/view,20240522_1325_S3WBLMW3QQXC_Both_A_25.mp4,https://drive.google.com/file/d/1iNJC2loXtusOf6wRUcTmzNCAh5uA6Vir/view,20240522_1325_S3WBLMW3QQXC_Both_B_25.mp4,https://drive.google.com/file/d/1iNpI9QzuXta6Ba1iYgvBrurQX2Mbjp4-/view,20240522_1325_S3WBLMW3QQXC_A_A_26.mp4,https://drive.google.com/file/d/1iPy_7Lu3b2XVBHpXA4z7OeqOOfUAYpuM/view,20240522_1325_S3WBLMW3QQXC_B_B_26.mp4,https://drive.google.com/file/d/1iQ0rQFEnncFfvHM9hLZHBsIlMjW3B1IE/view,0
V9,20240522_1325_S3WBLMW3QQXC_Both_A_25.mp4,https://drive.google.com/file/d/1iNJC2loXtusOf6wRUcTmzNCAh5uA6Vir/view,20240522_1325_S3WBLMW3QQXC_Both_B_25.mp4,https://drive.google.com/file/d/1iNpI9QzuXta6Ba1iYgvBrurQX2Mbjp4-/view,20240522_1325_S3WBLMW3QQXC_A_A_26.mp4,https://drive.google.com/file/d/1iPy_7Lu3b2XVBHpXA4z7OeqOOfUAYpuM/view,20240522_1325_S3WBLMW3QQXC_B_B_26.mp4,https://drive.google.com/file/d/1iQ0rQFEnncFfvHM9hLZHBsIlMjW3B1IE/view,20240522_1325_S3WBLMW3QQXC_Both_A_26.mp4,https://drive.google.com/file/d/1iQg32CMRkO-_aSXfG0Uziuk2xs1RoftP/view,0
V10,20240522_1325_S3WBLMW3QQXC_Both_B_25.mp4,https://drive.google.com/file/d/1iNpI9QzuXta6Ba1iYgvBrurQX2Mbjp4-/view,20240522_1325_S3WBLMW3QQXC_A_A_26.mp4,https://drive.google.com/file/d/1iPy_7Lu3b2XVBHpXA4z7OeqOOfUAYpuM/view,20240522_1325_S3WBLMW3QQXC_B_B_26.mp4,https://drive.google.com/file/d/1iQ0rQFEnncFfvHM9hLZHBsIlMjW3B1IE/view,20240522_1325_S3WBLMW3QQXC_Both_A_26.mp4,https://drive.google.com/file/d/1iQg32CMRkO-_aSXfG0Uziuk2xs1RoftP/view,20240522_1325_S3WBLMW3QQXC_Both_B_26.mp4,https://drive.google.com/file/d/1iQzFth38KOdWdeh3ZqdzQuxDJW2IXdCR/view,0
V11,20240522_1325_S3WBLMSQ7YQ0_A_A_5.mp4,https://drive.google.com/file/d/1fU4_TIxK_2ktiL_vV035wBwM5v74blQA/view,20240522_1325_S3WBLMSQ7YQ0_A_A_6.mp4,https://drive.google.com/file/d/1fXHbIsFG2bcavhwg-K_U62oQ0UyV7kzU/view,20240522_1325_S3WBLMSQ7YQ0_B_B_6.mp4,https://drive.google.com/file/d/1fVB7O7JN8SNoEO8nOes2ztQjSlxjQwle/view,20240522_1325_S3WBLMSQ7YQ0_Both_A_6.mp4,https://drive.google.com/file/d/1fXdPg2BgivxBUGsuqUeG-k2cSGweiV_P/view,20240522_1325_S3WBLMSQ7YQ0_Both_B_6.mp4,https://drive.google.com/file/d/1fXHwyE4Br9DOkF8HvEVCDpig1W050n9J/view,0
