filename,group,date_created,file_size,is_audio,is_video
.DS_Store,,2024-04-30,0.022532,0,0
1710584101545-b1abb74c-2e1c-467d-90a3-6407160d0edc-cam-audio-1710584104649,20240313_1230_super_JD1QKY,2024-04-30,9.013406,1,0
1710584101545-cac27051-cd6f-4215-814b-b2378d0b06aa-cam-audio-1710584102474,20240313_1230_super_JD1QKY,2024-04-30,12.15367,1,0
1710584101545-cac27051-cd6f-4215-814b-b2378d0b06aa-cam-video-1710584102476,20240313_1230_super_JD1QKY,2024-04-30,298.617768,0,1
1710584101545-b1abb74c-2e1c-467d-90a3-6407160d0edc-cam-video-1710584104912,20240313_1230_super_JD1QKY,2024-04-30,40.966083,0,1
1710497943709-686f8ec3-1371-470e-b486-76627c1f2392-cam-video-1710497953770,20240313_1230_super_WE6R3K,2024-04-30,57.885172,0,1
1710497943709-524e61a9-caf2-40f0-8206-7c770c8edfca-cam-video-1710497945648,20240313_1230_super_WE6R3K,2024-04-30,175.482782,0,1
1710497943709-524e61a9-caf2-40f0-8206-7c770c8edfca-cam-audio-1710497945645,20240313_1230_super_WE6R3K,2024-04-30,7.736783,1,0
1710497943709-686f8ec3-1371-470e-b486-76627c1f2392-cam-audio-1710497953369,20240313_1230_super_WE6R3K,2024-04-30,7.959181,1,0
1710326137265-a2bbfe30-417d-4fec-84cc-823ac27e1ec3-cam-video-1710326138269,20240312_1629_super_5KHZ83,2024-04-30,8.678711,0,1
1710326137265-4144e390-caf9-40c5-9424-9cc5f734cbb6-cam-video-1710326138273,20240312_1629_super_5KHZ83,2024-04-30,8.657942,0,1
1710326137265-4144e390-caf9-40c5-9424-9cc5f734cbb6-cam-audio-1710326138270,20240312_1629_super_5KHZ83,2024-04-30,0.253268,1,0
1710326137265-a2bbfe30-417d-4fec-84cc-823ac27e1ec3-cam-audio-1710326138271,20240312_1629_super_5KHZ83,2024-04-30,0.514414,1,0
1710195727346-86a5d8a0-5c35-4d22-8851-80d9f828ef17-cam-video-1710195728292,20240311_2206_super_DF749G,2024-04-30,41.039926,0,1
1710195727346-86a5d8a0-5c35-4d22-8851-80d9f828ef17-cam-audio-1710195728293,20240311_2206_super_DF749G,2024-04-30,0.009757,1,0
1710195727346-b08854db-0b9a-45dc-b474-ebd530f53df6-cam-video-1710195728294,20240311_2206_super_DF749G,2024-04-30,40.840708,0,1
1710497182928-1f0c4847-5ee8-4a04-bdde-59c02db08221-cam-video-1710497184586,20240313_1230_super_NQ3BMP,2024-04-30,299.515696,0,1
1710497182928-18f41e01-db40-4faa-a63e-ff7a94560fea-cam-audio-1710497220709,20240313_1230_super_NQ3BMP,2024-04-30,12.083473,1,0
1710497182928-1f0c4847-5ee8-4a04-bdde-59c02db08221-cam-audio-1710497184584,20240313_1230_super_NQ3BMP,2024-04-30,13.044251,1,0
1710497182928-18f41e01-db40-4faa-a63e-ff7a94560fea-cam-video-1710497220711,20240313_1230_super_NQ3BMP,2024-04-30,225.677126,0,1
1710583445858-393c638d-df86-43a2-b35a-15a87dbd8688-cam-video-1710583489604,20240313_1230_super_AGSCTR,2024-04-30,149.767322,0,1
1710583445858-356cb866-c768-47ff-83b1-4c446b3a2599-cam-audio-1710583447543,20240313_1230_super_AGSCTR,2024-04-30,6.333974,1,0
1710583445858-356cb866-c768-47ff-83b1-4c446b3a2599-cam-video-1710583447546,20240313_1230_super_AGSCTR,2024-04-30,24.621271,0,1
1710583445858-393c638d-df86-43a2-b35a-15a87dbd8688-cam-audio-1710583458644,20240313_1230_super_AGSCTR,2024-04-30,6.70483,1,0
1710584374679-87d9ac2b-3a19-4dd3-83b7-c011fd48ac8f-cam-video-1710584393070,20240313_1230_super_WBTS6H,2024-04-30,99.344988,0,1
1710584374679-ba773431-f96e-40a9-a637-07cb1a96b55b-cam-audio-1710584375615,20240313_1230_super_WBTS6H,2024-04-30,13.172121,1,0
1710584374679-ba773431-f96e-40a9-a637-07cb1a96b55b-cam-video-1710584375617,20240313_1230_super_WBTS6H,2024-04-30,297.289603,0,1
1710584374679-87d9ac2b-3a19-4dd3-83b7-c011fd48ac8f-cam-audio-1710584392800,20240313_1230_super_WBTS6H,2024-04-30,15.036152,1,0
1710583810456-18583868-9989-4a95-9ed2-5e7d64aa689e-cam-audio-1710583812417,20240313_1230_super_P1FQBA,2024-04-30,6.961367,1,0
1710583810456-5425c57e-c5df-47ac-ab47-ea5b89b3e30f-cam-video-1710586076315,20240313_1230_super_P1FQBA,2024-04-30,0.048676,0,1
1710583810456-a54d4ddd-b97f-47dc-a616-e79bf42236a4-cam-video-1710583811476,20240313_1230_super_P1FQBA,2024-04-30,299.20826,0,1
1710583810456-18583868-9989-4a95-9ed2-5e7d64aa689e-cam-video-1710583812418,20240313_1230_super_P1FQBA,2024-04-30,169.235257,0,1
1710583810456-e2bba550-e816-4ea6-b602-60f72a64158d-cam-video-1710586004350,20240313_1230_super_P1FQBA,2024-04-30,0.38548,0,1
1710583810456-5425c57e-c5df-47ac-ab47-ea5b89b3e30f-cam-audio-1710586076312,20240313_1230_super_P1FQBA,2024-04-30,0.018878,1,0
1710583810456-357c33ee-1b93-42ed-8f97-73d39ff49800-cam-audio-1710586101392,20240313_1230_super_P1FQBA,2024-04-30,3.680496,1,0
1710583810456-a54d4ddd-b97f-47dc-a616-e79bf42236a4-cam-audio-1710583811473,20240313_1230_super_P1FQBA,2024-04-30,13.770149,1,0
1710583810456-e2bba550-e816-4ea6-b602-60f72a64158d-cam-audio-1710586004348,20240313_1230_super_P1FQBA,2024-04-30,0.116601,1,0
1710583810456-357c33ee-1b93-42ed-8f97-73d39ff49800-cam-video-1710586101395,20240313_1230_super_P1FQBA,2024-04-30,104.930659,0,1
1710526444851-e4a0ac69-f16d-41fb-8be8-68d5cd9403ff-cam-audio-1710526445875,20240313_1230_super_K0H7NH,2024-04-30,14.392752,1,0
1710526444851-a1464c9e-782a-4fae-a937-844628a7ad90-cam-audio-1710526452478,20240313_1230_super_K0H7NH,2024-04-30,13.034459,1,0
1710526444851-a1464c9e-782a-4fae-a937-844628a7ad90-cam-video-1710526452477,20240313_1230_super_K0H7NH,2024-04-30,258.714436,0,1
1710526444851-e4a0ac69-f16d-41fb-8be8-68d5cd9403ff-cam-video-1710526445878,20240313_1230_super_K0H7NH,2024-04-30,298.944726,0,1
1710526602871-f2624ef5-16ad-4c93-abda-a7afcf604520-cam-video-1710526603878,20240313_1230_super_BYRB72,2024-04-30,188.547126,0,1
1710526602871-f2624ef5-16ad-4c93-abda-a7afcf604520-cam-audio-1710526603876,20240313_1230_super_BYRB72,2024-04-30,8.913467,1,0
1710526602871-e3bf73ef-df43-45b1-af32-6a2f562d813f-cam-video-1710527136788,20240313_1230_super_BYRB72,2024-04-30,130.90044,0,1
1710526602871-e3bf73ef-df43-45b1-af32-6a2f562d813f-cam-audio-1710527136786,20240313_1230_super_BYRB72,2024-04-30,4.766955,1,0
1710526634912-0a77e86c-dc61-46a4-9390-3246fec8bc02-cam-video-1710526636174,20240313_1230_super_TETWTH,2024-04-30,98.104097,0,1
1710526634912-e48acc37-d330-4206-ba64-57ec9ac4bdae-cam-video-1710526638134,20240313_1230_super_TETWTH,2024-04-30,123.733124,0,1
1710526634912-e48acc37-d330-4206-ba64-57ec9ac4bdae-cam-audio-1710526638136,20240313_1230_super_TETWTH,2024-04-30,4.860022,1,0
1710526634912-0a77e86c-dc61-46a4-9390-3246fec8bc02-cam-audio-1710526636171,20240313_1230_super_TETWTH,2024-04-30,5.162401,1,0
1710497862402-320ff306-e15f-4620-bab5-6a3e316cbe31-cam-audio-1710497864259,20240313_1230_super_Z3RPBH,2024-04-30,2.013998,1,0
1710497862402-320ff306-e15f-4620-bab5-6a3e316cbe31-cam-video-1710497864263,20240313_1230_super_Z3RPBH,2024-04-30,38.075619,0,1
1710526842273-bcd82371-6c86-46bd-83da-c3fdd11496c1-cam-video-1710526864913,20240313_1230_super_Y5CDSG,2024-04-30,18.595831,0,1
.DS_Store,20240313_1230_super_Y5CDSG,2024-04-30,0.006148,0,0
1710526842273-c9be3e51-d151-47bd-a7fe-689236f35c0d-cam-video-1710526843251,20240313_1230_super_Y5CDSG,2024-04-30,128.058202,0,1
1710526842273-bcd82371-6c86-46bd-83da-c3fdd11496c1-cam-audio-1710526863543,20240313_1230_super_Y5CDSG,2024-04-30,5.059155,1,0
