groupId,playerId,AwarenessMonitoringGrowth_aggregated_normGrowthMindset,AwarenessMonitoringGrowth_aggregated_normSelfAwareness,AwarenessMonitoringGrowth_aggregated_normSelfMonitoring,AwarenessMonitoringGrowth_aggregated_rawGrowthMindset,AwarenessMonitoringGrowth_aggregated_rawSelfAwareness,AwarenessMonitoringGrowth_aggregated_rawSelfMonitoring,AwarenessMonitoringGrowth_raw_canAdjust,AwarenessMonitoringGrowth_raw_emotionalIntuition,AwarenessMonitoringGrowth_raw_fixedIntelligence,AwarenessMonitoringGrowth_raw_goingOnAroundMe,AwarenessMonitoringGrowth_raw_innermostThoughts,AwarenessMonitoringGrowth_raw_onlyLearnNewThings,AwarenessMonitoringGrowth_raw_othersThinkOfMe,AwarenessMonitoringGrowth_raw_tellInappropriate,AwarenessMonitoringGrowth_raw_troubleChanging,AwarenessMonitoringGrowth_time_seconds,CulturalConflictNorms_aggregated_normConflictOpenness,CulturalConflictNorms_aggregated_rawConflictOpenness,CulturalConflictNorms_raw_avoidConflict,CulturalConflictNorms_raw_conflictIsDetrimental,CulturalConflictNorms_raw_differencesAvoided,CulturalConflictNorms_raw_disagreementsEncouraged,CulturalConflictNorms_raw_emotionAccepted,CulturalConflictNorms_raw_openConflict,CulturalConflictNorms_raw_resolveImmediately,CulturalConflictNorms_time_seconds,TIPI_aggregated_normAgreeableness,TIPI_aggregated_normConscientiousness,TIPI_aggregated_normEmotionalStability,TIPI_aggregated_normExtroversion,TIPI_aggregated_normOpennessToExperience,TIPI_aggregated_rawAgreeableness,TIPI_aggregated_rawConscientiousness,TIPI_aggregated_rawEmotionalStability,TIPI_aggregated_rawExtroversion,TIPI_aggregated_rawOpennessToExperience,TIPI_raw_anxiety,TIPI_raw_calmness,TIPI_raw_carelessness,TIPI_raw_conventionality,TIPI_raw_criticalness,TIPI_raw_dependability,TIPI_raw_extroversion,TIPI_raw_openness,TIPI_raw_quietness,TIPI_raw_sympathy,TIPI_time_seconds,deal_sheet_agreement_binary,deal_sheet_deal_price,deal_sheet_return_fund_binary,deal_sheet_special_terms,deal_sheet_trip_binary,demographics,demographics_birth_year,demographics_country_reside,demographics_education_UK,demographics_education_US,demographics_employment_status,demographics_english_spoken,demographics_english_written,demographics_ethnicity_UK,demographics_gender,demographics_gender_other,demographics_income_UK,demographics_income_US,demographics_language_primary,demographics_latin_US,demographics_marital_status,demographics_race_US,post_negotiation_conflict_1,post_negotiation_conflict_2,post_negotiation_conflict_3,post_negotiation_conflict_4,post_negotiation_decision_leadership_1,post_negotiation_decision_leadership_2,post_negotiation_goal_similarity,post_negotiation_open_ended_feedback,post_negotiation_partner_competent,post_negotiation_partner_liked,post_negotiation_partner_tension,post_negotiation_viability_1,post_negotiation_viability_2,pre_negotiation_strategy,pre_negotiation_target_price,role
01HVPCPAW2VRNNZ4JDBJ06SF6Z,01HVPCG3DKWZZG35Z8SZ9HSQ2Y,0.333,0.556,0.833,3.000,4.333,6.000,6,6,3,4,2,3,7,6,2,24.503,0.381,3.286,6,4,5,3,4,2,3,34.401,0.833,0.667,0.583,0.833,0.417,6.000,5.000,4.500,6.000,3.500,3,4,3,5,2,5,7,4,3,6,34.05,Yes,"250,000",Yes,"No special terms, but since sabbatical is only 6 months paid, they agreed to help connect me to other scholarships for the remaining months in my 21-month sabbatical. ",Yes,,2005,United States,,3,Out of work but not currently looking for work,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['Asian'],1,3,2,1,7,2,1,"It seemed like the negotiation was strongly influenced by the Provost. While I did convince them to up the price a bit, I did not get them to increase it to 355,000, which is what I needed. ",7,3,3,5,5,"I would start the negotiation at a slightly higher price, around 375,000 to allow for bargaining. But, if I'm unable to achieve a deal, I will start with asking private investor groups, large corporations, and maybe even other universities. ","355,000",Star Scientist
01HVPCPAW2VRNNZ4JDBJ06SF6Z,01HVPCHJ9BYFVYECDPMY0NY00Y,0.333,0.500,0.792,3.000,4.000,5.750,7,6,3,4,4,3,4,5,3,25.589,0.548,4.286,3,3,3,5,3,4,5,25.401,0.750,0.667,0.583,0.750,0.750,5.500,5.000,4.500,5.500,5.500,4,5,4,3,3,6,6,6,3,6,26.446,Yes,"250,000",Yes,"We will provide 6 months paid for their sabbatical, and then our committee will aid them in the process of applying to other fellowships to raise half their year's salary .",Yes,,2005,United States,,3,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['Asian'],5,3,2,2,3,3,6,"I thought it was interesting to learn on the spot the unique personal situation they were going through. This was a good model of real life in which when you enter meetings, you have no idea about the personal circumstances that drive other's decisions, and you have to do your best to accommodate them within your given limits.",7,7,5,6,7,"I do not want to blame it on the IP committee. I want to emphasize their unique value to our institution and how I'm excited for the opportunities they have here. I plan to open with 188,000. f I'm not able to achieve my target price or go over 275,000, then I'd bring up the paid 6 months.","250,000",Provost
01HVPCPAW338R1RH1MTC622W90,01HVPCJ204410WY018BE49JZX3,0.917,1.000,1.000,6.500,7.000,7.000,7,7,6,7,7,7,7,7,1,23.055,0.476,3.857,5,3,2,3,3,4,5,21.036,0.667,0.500,0.833,0.750,0.667,5.000,4.000,6.000,5.500,5.000,1,5,6,5,5,6,7,7,4,7,24.583,Yes,275000,Yes,"40% of stake, 6 months paid sabbatical, 6 months unpaid, check-in at the end of sabbatical for possible 3 month extension",Yes,,2005,United States,,3,A student,5,5,,male,,,"$100,000-$149,999",English,No,Single Never Married,['Asian'],7,7,3,6,4,3,3,Was good! Complicated topic so took a second for both of us to understand what was going on,7,7,5,7,7,"Start higher, and then negotiate down.",275000,Provost
01HVPCPAW338R1RH1MTC622W90,01HVPCH522V4MA17XX7X92YDSH,0.917,0.722,0.708,6.500,5.333,5.250,6,6,6,5,5,7,6,6,5,24.999,0.548,4.286,5,2,5,3,5,6,4,24.208,0.250,0.833,0.583,0.500,0.500,2.500,6.000,4.500,4.000,4.000,3,4,2,4,6,6,3,4,3,3,25.949,Yes,275000,Yes,"275000 for 40%
6 months paid sabbatical, 6 months unpaid, check in at the end for 3 month extension",Yes,,2005,United States,,4,A student,5,5,,male,,,"$150,000 or more",English,No,Single Never Married,['Asian'],5,5,1,2,5,3,2,"Felt like I didn't get the good end of the stick
",7,7,4,6,7,start with 700000 and go down,"500,000",Star Scientist
01HVPCT93DFMHPKDP97ATJXBV6,01HVPCJKBHCMGDGQ8X1JKE8FBG,0.583,0.611,0.708,4.500,4.667,5.250,6,6,4,6,6,5,2,3,2,57.075,0.595,4.571,3,2,3,5,2,5,4,36.388,0.667,0.583,0.833,0.583,0.917,5.000,4.500,6.000,4.500,6.500,2,6,4,2,4,5,5,7,4,6,41.388,Yes,"90,000 (15K/month for 6-month sabbatical)",No,"Upon returning, professor will have a revamped lab with a secretary to assist in hiring/managing/training staff.",No,,2005,United States,,4,A student,5,5,,male,,,"$150,000 or more",English,No,Single Never Married,['Asian'],5,7,3,3,2,2,6,Awesome experience! The negotiation seemed very realistic,6,6,5,7,7,I'm going to start by asking the professor about their situation. Paid sabbatical for 6 months will be a good alternative. I will also ask them about their other options then explain why we are better.,"150,000",Provost
01HVPCT93DFMHPKDP97ATJXBV6,01HVPCK8RXAPVEMNZRBZ5053JC,1.000,0.722,0.708,7.000,5.333,5.250,6,3,7,6,4,7,6,6,2,32.007,0.381,3.286,2,5,6,1,5,3,5,34.909,0.417,0.250,0.500,0.250,0.417,3.500,2.500,4.000,2.500,3.500,6,6,6,6,3,3,3,5,6,2,32.434,Yes,90000,No,"upon returning, i will have a have a lab with assistant to help with routing tasks and staff management.",No,,2005,United States,,3,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['White'],7,5,2,1,6,5,6,"The dialogue itself was pretty constructive and we managed to achieve conditions that were somehow beneficial for both. However, our goals were so distinct that it would be hard to find a solution that would answer the needs of both of us.",5,6,1,6,6,"Opening bid- 400000
Explain the reasons for the decision, stress the fall in productivity and need for a new start.
The next best option- try negotiating with partner trolls.",355000,Star Scientist
01HVPCR3WBDYXRZ0WV2GNYDVXX,01HVPCGFXX4M5B2XCX8T16NTDJ,1.000,0.722,0.625,7.000,5.333,4.750,5,6,7,5,5,7,6,7,7,33.308,0.500,4.000,5,7,5,6,6,7,6,23.716,0.833,0.667,0.583,0.417,0.667,6.000,5.000,4.500,3.500,5.000,5,6,4,5,3,6,5,7,6,7,34.608,No,300000,Yes,No special terms were mentioned. ,Yes,,2001,United States,,6,A student,5,5,,male,,,"Less than $10,000",Hindi,No,Single Never Married,['Asian'],4,4,4,4,4,4,4,It was amazing. ,4,4,4,4,4,I would convince the provost to utilize the patent portfolio optimally for the mentioned value. ,300000,Star Scientist
01HVPCR3WBDYXRZ0WV2GNYDVXX,01HVPCGY5D0X0RAA34EW9QA17X,0.583,0.833,0.750,4.500,6.000,5.500,6,7,2,6,6,7,6,7,6,29.406,0.714,5.286,1,5,2,5,5,5,2,22.699,0.583,0.417,0.167,0.917,0.917,4.500,3.500,2.000,6.500,6.500,6,2,5,1,4,4,6,6,1,5,32.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provost
01HVPCRKPMGCFTW68J0XGNW63V,01HVPCK99Y991H801QBPRSJ9XK,0.333,0.500,0.875,3.000,4.000,6.250,6,7,3,5,4,3,3,6,2,30.506,0.357,3.143,3,5,4,3,2,3,6,20.109,0.667,0.833,0.750,0.500,0.750,5.000,6.000,5.500,4.000,5.500,3,6,2,3,3,6,5,6,5,5,17.728,Yes,"150,000",Yes,"1 year sabatical
return to the university after the sabatical",Yes,,2004,United States,,4,A student,5,5,,female,,,"$150,000 or more",English,No,Single Never Married,['Asian'],5,4,1,1,2,5,6,"The negotiation went pretty well. I was able to submit a deal with my target price. In addition, I was able to make sure that a good deal was struck for both parties. ",7,7,5,6,6,"Opening bid: 100,000
outside options: hire a different faculty member","200,000",Provost
01HVPCRKPMGCFTW68J0XGNW63V,01HVPCGXK79A5HKG22XP2HCJN4,0.083,0.611,1.000,1.500,4.667,7.000,7,7,1,5,4,2,5,7,1,40.769,0.619,4.714,2,3,2,6,3,4,5,50.747,1.000,0.750,0.583,1.000,0.833,7.000,5.500,4.500,7.000,6.000,5,6,3,2,1,6,7,6,1,7,50.709,Yes,"150,000",Yes,"The sabbatical will take place over the course of 1 year, rather than 6 months. This means that I, as the Star Scientist, will also be returning to the university after the sabbatical.",Yes,,2005,United States,,3,A student,5,5,,female,,,"$75,000-$99,999",English,No,Single Never Married,['Asian'],7,4,3,2,5,2,5,"Negotiation for me personally can be a little overwhelming and intimidating. However, I really appreciated that my partner was very open and willing to listen to my point of view, even articulately addressing or reiterating my argument at certain points during our conversation to let me know that she understood.",7,6,3,6,6,"- open with a bold statement about how much I have contributed to my field of study, renowned researcher with high stakes 
- can produce more work and research that is beneficial to the academic institution if I have a sabbatical
- outside options: next best option is to look towards investors but if that first appeal doesn't work, then I'll mention how the university and the provost undertake a poor reputation if they refuse to support fellow researchers
",335000,Star Scientist
