groupId,playerId,AwarenessMonitoringGrowth_aggregated_normGrowthMindset,AwarenessMonitoringGrowth_aggregated_normSelfAwareness,AwarenessMonitoringGrowth_aggregated_normSelfMonitoring,AwarenessMonitoringGrowth_aggregated_rawGrowthMindset,AwarenessMonitoringGrowth_aggregated_rawSelfAwareness,AwarenessMonitoringGrowth_aggregated_rawSelfMonitoring,AwarenessMonitoringGrowth_raw_canAdjust,AwarenessMonitoringGrowth_raw_emotionalIntuition,AwarenessMonitoringGrowth_raw_fixedIntelligence,AwarenessMonitoringGrowth_raw_goingOnAroundMe,AwarenessMonitoringGrowth_raw_innermostThoughts,AwarenessMonitoringGrowth_raw_onlyLearnNewThings,AwarenessMonitoringGrowth_raw_othersThinkOfMe,AwarenessMonitoringGrowth_raw_tellInappropriate,AwarenessMonitoringGrowth_raw_troubleChanging,AwarenessMonitoringGrowth_time_seconds,CulturalConflictNorms_aggregated_normConflictOpenness,CulturalConflictNorms_aggregated_rawConflictOpenness,CulturalConflictNorms_raw_avoidConflict,CulturalConflictNorms_raw_conflictIsDetrimental,CulturalConflictNorms_raw_differencesAvoided,CulturalConflictNorms_raw_disagreementsEncouraged,CulturalConflictNorms_raw_emotionAccepted,CulturalConflictNorms_raw_openConflict,CulturalConflictNorms_raw_resolveImmediately,CulturalConflictNorms_time_seconds,PostDiscussionGeneral_aggregated_normDiscussionDepth,PostDiscussionGeneral_aggregated_normDiscussionDisagreement,PostDiscussionGeneral_aggregated_normDiscussionEnjoy,PostDiscussionGeneral_aggregated_normDiscussionTension,PostDiscussionGeneral_aggregated_normSelfAnxious,PostDiscussionGeneral_aggregated_normSelfInsight,PostDiscussionGeneral_aggregated_normSelfLearned,PostDiscussionGeneral_aggregated_normSelfSpeakUp,PostDiscussionGeneral_aggregated_normSelfVoice,PostDiscussionGeneral_aggregated_rawDiscussionDepth,PostDiscussionGeneral_aggregated_rawDiscussionDisagreement,PostDiscussionGeneral_aggregated_rawDiscussionEnjoy,PostDiscussionGeneral_aggregated_rawDiscussionTension,PostDiscussionGeneral_aggregated_rawSelfAnxious,PostDiscussionGeneral_aggregated_rawSelfInsight,PostDiscussionGeneral_aggregated_rawSelfLearned,PostDiscussionGeneral_aggregated_rawSelfSpeakUp,PostDiscussionGeneral_aggregated_rawSelfVoice,PostDiscussionGeneral_raw_discussionDepth,PostDiscussionGeneral_raw_discussionDisagreement,PostDiscussionGeneral_raw_discussionEnjoy,PostDiscussionGeneral_raw_discussionTension,PostDiscussionGeneral_raw_selfAnxious,PostDiscussionGeneral_raw_selfInsight,PostDiscussionGeneral_raw_selfLearned,PostDiscussionGeneral_raw_selfSpeakUp,PostDiscussionGeneral_raw_selfVoice,PostDiscussionGeneral_time_seconds,PostDiscussionPerceptionOfOthers_aggregated_normCommon,PostDiscussionPerceptionOfOthers_aggregated_normLiking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_normPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_normPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_normPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_normPolite,PostDiscussionPerceptionOfOthers_aggregated_normSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawCommon,PostDiscussionPerceptionOfOthers_aggregated_rawLiking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerListening,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerReceptiveness,PostDiscussionPerceptionOfOthers_aggregated_rawPartnerTalking,PostDiscussionPerceptionOfOthers_aggregated_rawPolite,PostDiscussionPerceptionOfOthers_aggregated_rawSelfPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_common,PostDiscussionPerceptionOfOthers_raw_defensive,PostDiscussionPerceptionOfOthers_raw_liking,PostDiscussionPerceptionOfOthers_raw_partnerListening,PostDiscussionPerceptionOfOthers_raw_partnerPerspectiveTaking,PostDiscussionPerceptionOfOthers_raw_partnerTalking,PostDiscussionPerceptionOfOthers_raw_polite,PostDiscussionPerceptionOfOthers_raw_selfPerspectiveTaking,PostDiscussionPerceptionOfOthers_time_seconds,TIPI_aggregated_normAgreeableness,TIPI_aggregated_normConscientiousness,TIPI_aggregated_normEmotionalStability,TIPI_aggregated_normExtroversion,TIPI_aggregated_normOpennessToExperience,TIPI_aggregated_rawAgreeableness,TIPI_aggregated_rawConscientiousness,TIPI_aggregated_rawEmotionalStability,TIPI_aggregated_rawExtroversion,TIPI_aggregated_rawOpennessToExperience,TIPI_raw_anxiety,TIPI_raw_calmness,TIPI_raw_carelessness,TIPI_raw_conventionality,TIPI_raw_criticalness,TIPI_raw_dependability,TIPI_raw_extroversion,TIPI_raw_openness,TIPI_raw_quietness,TIPI_raw_sympathy,TIPI_time_seconds,deal_sheet_agreement_binary,deal_sheet_deal_price,deal_sheet_return_fund_binary,deal_sheet_special_terms,deal_sheet_trip_binary,demographics_birth_year,demographics_country_reside,demographics_education_US,demographics_employment_status,demographics_english_spoken,demographics_english_written,demographics_gender,demographics_income_US,demographics_language_primary,demographics_language_primary_expansion,demographics_latin_US,demographics_marital_status,demographics_race_US,game_time_minutes,post_negotiation_conflict_1,post_negotiation_conflict_2,post_negotiation_conflict_3,post_negotiation_conflict_4,post_negotiation_decision_leadership_1,post_negotiation_decision_leadership_2,post_negotiation_goal_similarity,post_negotiation_open_ended_feedback,post_negotiation_viability_1,post_negotiation_viability_2,pre_negotiation_strategy,pre_negotiation_target_price,role
01HYGGQH1YTD0YH3Q79X4HKEQH,01HYGGGBKDMY0BTT09H3SMBR3H,0.5,0.611,0.625,4.0,4.667,4.75,5,4,4,5,5,4,4,5,3,30.717,0.405,3.429,5,3,5,4,2,3,4,21.457,0.75,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.5,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4,3.0,3.0,2.0,4.0,3.0,38.29,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,26.283,0.417,0.833,0.333,0.25,0.417,3.5,6.0,3.0,2.5,3.5,5,3,3,4,5,7,3,3,6,4,25.433,Yes,"260,000",No,,Yes,1998.0,United States,6.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],21.08195,6.0,6.0,2.0,2.0,3.0,2.0,4.0,None. ,6.0,6.0,Start at 65% of the total value and then increase to 225. Offer full 6 months of paid leave. ,"150,000",Provost
01HYGGQH1YTD0YH3Q79X4HKEQH,01HYGGFQAXT8V6ESJEN25767V5,0.333,0.556,0.708,3.0,4.333,5.25,6,5,3,5,3,3,5,5,3,30.603,0.5,4.0,4,5,4,4,4,5,4,37.122,0.5,0.75,0.5,0.5,0.25,0.25,0.25,1.0,0.75,3.0,4.0,3.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,4.0,3.0,3,2.0,2.0,2.0,5.0,4.0,41.249,0.5,0.75,0.75,0.75,0.5,0.5,0.75,0.75,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,34.499,0.5,0.833,0.667,0.667,0.583,4.0,6.0,5.0,5.0,4.5,4,6,2,3,4,6,5,4,3,4,48.785,Yes,260K,No,There will be a spot for me when I return,No,2005.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['White'],21.08195,6.0,6.0,5.0,4.0,4.0,5.0,5.0,"No, I did not.",5.0,5.0,I am going to explain why I am valuable as a Star Scientist and why I need a vacation and 21 months off.,355000,Star Scientist
01HYGGNS7A8Y691JXB24RMZ83G,01HYGGFJ62CDHP5MXE3HMBT7JG,0.333,0.333,0.75,3.0,3.0,5.5,5,6,3,3,3,3,3,6,3,21.799,0.452,3.714,5,2,5,3,2,6,5,24.281,1.0,1.0,0.5,0.5,0.25,0.75,0.75,0.5,0.5,5.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3,2.0,4.0,4.0,3.0,3.0,21.58,0.5,0.75,0.75,0.25,0.75,0.75,0.75,0.25,3.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,19.883,0.333,0.917,0.5,0.667,0.333,3.0,6.5,4.0,5.0,3.0,5,5,1,5,6,6,5,3,3,4,28.881,Yes,265K,No,95% stake in the patents,Yes,2004.0,United States,3.0,A student,5.0,5.0,female,"$50,000-$74,999",English,,No,Single Never Married,['Asian'],27.95955,7.0,6.0,3.0,3.0,6.0,2.0,3.0,,6.0,5.0,"- Opening bid is 600K. Other scientists received 400K for less valuable patents.
- Leverage that I add value to the university and can receive better offers elsewhere but would like to work with the university to maintain mutually beneficial relationships.
- DO not go below 355K. ",450K,Star Scientist
01HYGGNS7A8Y691JXB24RMZ83G,01HYGGE106T4FRGGG5JDZJCJT2,0.417,0.889,0.708,3.5,6.333,5.25,5,5,4,7,6,3,6,6,3,33.635,0.429,3.571,3,6,5,3,4,5,5,24.663,1.25,1.0,0.75,0.75,0.25,0.25,0.5,1.0,0.5,6.0,5.0,6.0,4.0,2.0,2.0,3.0,5.0,3.0,6.0,5.0,4.0,4,2.0,2.0,3.0,5.0,3.0,44.434,0.75,1.0,1.0,1.0,0.0,0.5,1.0,0.75,4.0,5.0,5.0,5.0,1.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,30.182,0.667,0.75,0.333,0.417,0.5,5.0,5.5,3.0,3.5,4.0,5,3,3,5,4,6,4,5,5,6,28.199,Yes,"275,000",No,6 month sabattical,Yes,2005.0,United States,3.0,A student,5.0,5.0,male,"$150,000 or more",English,,No,Single Never Married,['Asian'],27.95955,7.0,6.0,2.0,6.0,2.0,6.0,6.0,All survey questions made sense.,6.0,6.0,"80,000 for 40% of the patent pool

Give the person a 3 month sabbatical at 10,000 a month

Guarantee the person's kids admission to the university","100,000 for 50% of the patent pool",Provost
01HYGGS2EPNP03PM16W01GW0BF,01HYGGGRD5QNS4J9CPGQW7MRYT,0.333,0.722,0.667,3.0,5.333,5.0,5,4,3,6,5,3,5,6,3,37.84,0.548,4.286,3,6,3,5,4,5,4,24.997,0.5,0.5,0.5,0.25,0.75,0.25,1.0,0.5,0.25,3.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,2,4.0,2.0,5.0,3.0,2.0,35.536,0.25,0.5,0.75,0.25,0.5,0.5,0.75,0.75,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,21.089,0.417,0.583,0.5,0.667,0.583,3.5,4.5,4.0,5.0,4.5,5,5,4,4,4,5,5,5,3,3,33.615,No,"355,000",No,"He must pay 80,000 back after his sabbatical",Yes,2003.0,United States,4.0,A student,5.0,5.0,female,"$150,000 or more",English,,No,Single Never Married,['Asian'],26.08075,6.0,7.0,5.0,4.0,5.0,2.0,2.0,"It mostly made sense, but it would be nice to know ahead of time what the other person is wanting out of the deal.",3.0,4.0,"Opening Bid
$150,000 for the patent buyout (for approximately 54.5% of the patent portfolio)

Outside Options
If a deal cannot be reached:

Revisit and Revise: Engage in further discussions to explore additional or alternative incentives that might meet their needs without exceeding the set boundaries.
Explore Faculty Retention Programs: Look into other faculty retention programs and initiatives within the university to offer as part of a revised negotiation strategy.
Leverage University Network: Utilize alumni and donor networks to potentially increase funding for retention efforts in future negotiations.","200,000",Provost
01HYGGS2EPNP03PM16W01GW0BF,01HYGGFMT4N04FCGFE9JWS6YH7,0.167,0.778,0.833,2.0,5.667,6.0,6,5,2,6,6,2,5,7,2,42.09,0.643,4.857,3,3,1,6,3,5,5,37.508,1.0,0.25,0.75,0.5,0.5,0.25,0.25,1.0,0.5,5.0,2.0,5.0,3.0,3.0,2.0,2.0,5.0,3.0,5.0,2.0,4.0,3,3.0,2.0,2.0,5.0,3.0,42.917,0.5,0.75,0.75,0.75,0.75,0.5,0.75,0.75,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,45.354,0.75,0.583,0.667,0.75,0.75,5.5,4.5,5.0,5.5,5.5,3,5,4,3,2,5,5,6,2,5,41.387,Yes,275k for 75%,Yes,An additional 80k loan to be deducted from salary upon returning to the university. ,Yes,2005.0,United States,3.0,A student,5.0,5.0,male,"$150,000 or more",English,,No,Single Never Married,['White'],26.08075,5.0,6.0,1.0,1.0,2.0,5.0,7.0,They all made sense. ,6.0,6.0,"Understand that I'm not just asking for money -- I'm selling a portion of a portfolio which is valued around this number. Explain that a colleague received more than this for a less valuable portfolio, so the number isn't crazy. ","355,000",Star Scientist
01HYGGVKJA0AWRSV6CD03BJQ16,01HYGGJQA9YVJN4CE176NPW4RN,0.25,0.722,0.833,2.5,5.333,6.0,6,6,3,7,7,2,2,6,2,37.962,0.762,5.571,3,2,2,7,7,7,7,28.668,1.25,0.25,1.0,1.0,0.0,1.0,0.5,1.0,0.75,6.0,2.0,6.0,5.0,1.0,5.0,3.0,5.0,4.0,6.0,2.0,5.0,5,1.0,5.0,3.0,5.0,4.0,20.76,0.5,1.0,1.0,0.75,1.0,0.5,1.0,0.5,3.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,3.0,1.0,5.0,5.0,4.0,3.0,5.0,3.0,24.966,0.667,0.833,0.667,0.917,1.0,5.0,6.0,5.0,6.5,7.0,4,6,2,1,5,6,7,7,2,7,35.354,Yes,"275,000",Yes,"- started off saying they couldnt do more than 54,000 for 6 months - however if i give 100% of my patent pool they'll give me $275,000 plus the 54,000 - i convinced them to raise the total to 90,000 so they'll give me 275,000 for 100% of my patent pool plus 90,000 resulting in 365,000 - they can't pay for more than 6 months but they can allow me to go for up to 24 months so i can leave for 12 months and get paid the full amount of 365,000 in the first 6 months - i must return to my job after - i can get loans for any emergencies - i will have my trip and my return fund - we can agree on a 10% raise and bonus for my original salary",Yes,2005.0,United States,3.0,A student,5.0,5.0,female,"$50,000-$74,999",English,,No,Single Never Married,['Black or African-American'],27.1678,5.0,1.0,1.0,1.0,1.0,7.0,5.0,Nope,7.0,4.0,"Open with 500,000 so it seems like I'm negotiating
- The next best option would be me taking a shorter sabbatical and me secretly working with a private company at the same time.","355,000",Star Scientist
01HYGGVKJA0AWRSV6CD03BJQ16,01HYGGJRH593CARDV96B89GFM8,0.75,0.889,0.667,5.5,6.333,5.0,6,6,4,7,5,7,7,5,5,28.834,0.381,3.286,3,7,4,3,4,3,5,15.547,1.0,0.5,0.75,1.0,0.0,0.75,0.75,0.75,0.5,5.0,3.0,5.0,5.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5,1.0,4.0,4.0,4.0,3.0,35.601,0.75,1.0,1.0,1.0,0.5,0.5,1.0,1.0,4.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,30.524,0.5,0.75,0.083,0.833,0.25,4.0,5.5,1.5,6.0,2.5,7,2,3,6,7,6,7,3,3,7,25.127,Yes,275000,No,"90,000 for 6 months of leave but total 12 months of leave",No,2004.0,United States,4.0,A student,5.0,5.0,female,"$40,000-$49,999",English,,No,Single Never Married,['White'],27.1678,6.0,6.0,1.0,1.0,3.0,1.0,6.0,no thanks,1.0,7.0,ask first for their preferred to be paid for 100% of the patent pool I hope to get more than 50% of the patent pool and try to go a little below the maximum that I can pay ,"100,000",Provost
01HYGGQ7PWKMP8E7DR30SQ7YQ0,01HYGGF8EQM6FXSA14V4YG9CE7,0.5,0.722,0.625,4.0,5.333,4.75,5,4,2,6,5,6,5,5,3,16.88,0.476,3.857,4,5,3,3,4,5,5,18.954,1.0,0.75,0.75,0.75,0.25,0.25,0.75,0.75,0.75,5.0,4.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4,2.0,2.0,4.0,4.0,4.0,24.86,0.0,0.75,0.75,0.75,0.25,0.75,0.75,0.25,1.0,4.0,4.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,19.281,0.583,0.583,0.667,0.333,0.333,4.5,4.5,5.0,3.0,3.0,4,6,4,6,3,5,3,4,5,4,22.085,Yes,"335,000",Yes,"Will be paid $275,000 up-front, plus a stipend of $10,000 per month for six months. ",Yes,2003.0,United States,4.0,Employed for wages,5.0,5.0,male,"$150,000 or more",English,,,Single Never Married,['Asian'],29.269483333333337,6.0,6.0,5.0,5.0,7.0,6.0,3.0,"No, they were clear and understandable. I understood them well. ",3.0,6.0,"I will ask for $600,000 USD. If I receive the money from the provost, I will remain with the university. If I do not, I will leave the university and sell parts of the patent portfolio elsewhere. I will drop science and research.","500,000",Star Scientist
01HYGGQ7PWKMP8E7DR30SQ7YQ0,01HYGGG6NXYFT6Q3T9J5X6KNC6,0.5,0.778,0.917,4.0,5.667,6.5,7,6,4,7,7,4,3,6,1,45.415,0.595,4.571,3,1,3,5,1,4,3,31.964,0.75,1.0,0.75,1.0,0.0,0.0,1.0,1.0,0.75,4.0,5.0,4.0,5.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,5,1.0,1.0,5.0,5.0,4.0,32.493,0.0,0.75,0.5,0.5,0.5,0.5,0.75,0.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,1.0,24.87,0.583,0.583,0.583,0.5,0.833,4.5,4.5,4.5,4.0,6.0,4,5,4,3,5,5,5,7,5,6,47.266,Yes,"275,000 with 10,000 for 6 months",Yes,with everything included (including return fund) it will cover all costs needed to go on vacation to maui,Yes,2004.0,United States,4.0,A student,5.0,5.0,female,"$100,000-$149,999",English,,No,Single Never Married,['Asian'],29.269483333333337,5.0,6.0,,3.0,2.0,3.0,5.0,I did not have any trouble understanding the survey questions ,5.0,7.0,increase if needed,"150,000",Provost
